사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,다른겸업여부,도로명주소,도로명우편번호,재개업일자,수리대상의료기기의유형,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
지체장애인지원센터,2025-01-24,193979.084654703,445550.881628603,2026-05-03 22:34:24,I,03,폐업,2026-01-26 15:52:02,,2025-01-24,,서울특별시 동작구 대방동 23-166,PHMG320223190033047400001,3190000,,"서울특별시 동작구 등용로12길 60, 다동 (대방동)",06932,,"전동휠체어, 전동스쿠터, 일반휠체어",03,폐업,,,02-824-6198,
장애인용품 물물교환센터,2014-09-15,206511.67393263,461668.784446921,2026-05-03 22:32:29,I,03,폐업,2014-09-15 17:36:20,,2011-02-23,139-859,서울특별시 노원구 중계4동 434번지 1호 세양빌딩 4층,PHMG320113100034047400003,3100000,N,"서울특별시 노원구 덕릉로 669, 4층 (중계동, 세양빌딩)",,,"환자운반차, 생계현상측정기기, 정형용품, 인체조직 또는 기능대치품, 정형용기기, 보청기",03,폐업,,,,
사랑의줄잇기,2024-11-05,205820.246516586,462290.92149826,2026-05-03 22:32:30,I,03,폐업,2024-11-06 11:34:03,,2014-10-13,,서울특별시 노원구 상계동 140번지 37호 지층,PHMG320143100034047400005,3100000,Y,"서울특별시 노원구 한글비석로47길 28, 지층 (상계동, 대도빌딩)",01679,,의료기기제품군(환자운반차),03,폐업,,,,
고려의료기,2025-05-29,205437.99609028,460765.486012553,2026-05-03 22:32:31,I,03,폐업,2025-05-29 14:05:47,,2025-03-19,,서울특별시 노원구 상계동 749-8 삼양빌딩,PHMG320253100034047400001,3100000,Y,"서울특별시 노원구 동일로 1350, 삼양빌딩 102호 (상계동)",01756,,"전동 휠체어, 수동 휠체어, 전동 침대, 보청기 등",03,폐업,,,02-395-8800,
로벨코리아(주),2022-10-18,199062.7921206,452680.037953364,2026-05-03 22:31:42,I,03,폐업,2022-10-19 09:40:08,,2005-05-18,110-360,서울특별시 종로구 와룡동 139번지 이화빌딩 5층,PHMG320053000034047400003,3000000,Y,"서울특별시 종로구 돈화문로 89 (와룡동,이화빌딩 5층)",,,치과용기기(power측정),03,폐업,,,02-765-5998,
청음보청기,2018-05-01,198525.851210964,451909.692402004,2026-05-03 22:31:42,I,03,폐업,2018-05-01 11:19:04,,2005-06-07,110-111,서울특별시 종로구 관철동 43번지 1호 동화빌딩 3층,PHMG320053000034047400005,3000000,Y,"서울특별시 종로구 종로8길 13 (관철동,동화빌딩 3층)",,,보청기,03,폐업,,,02-737-5460,
신영정밀,2015-05-08,199291.455030835,451899.748095471,2026-05-03 22:31:43,I,03,폐업,2015-05-08 16:12:01,,2005-06-20,110-430,서울특별시 종로구 장사동 42번지 1층,PHMG320053000034047400008,3000000,N,"서울특별시 종로구 돈화문로2길 5 (장사동,1층)",,,치과용기기,03,폐업,,,02-2279-6949,
명진과학,2016-08-01,197015.708191944,453620.901826019,2026-05-03 22:31:43,I,03,폐업,2016-08-01 16:38:02,,2005-08-08,110-032,서울특별시 종로구 신교동 1번지 28호,PHMG320053000034047400010,3000000,,서울특별시 종로구 필운대로13길 14 (신교동),,,"반기기, 심혈관용기계기구,전기수술장치",03,폐업,,,02-735-2435,
(주)이화바이오메딕스,2020-08-07,199722.033221495,454310.699049879,2026-05-03 22:31:43,I,03,폐업,2020-08-07 18:15:42,,2005-11-04,110-521,서울특별시 종로구 명륜1가 1번지 4호,PHMG320053000034047400012,3000000,Y,서울특별시 종로구 성균관로17길 59 (명륜1가),,,"직류전원장치,내전압시험기,누설전류계,멀티테스터,스톱워치,버어니어캠리퍼스,온습도계",03,폐업,,,02-2055-3820,
(주)지상양행,2011-06-01,199821.627625442,453360.147414481,2026-05-03 22:31:43,I,03,폐업,2011-09-09 09:42:43,,2005-04-22,110-524,서울특별시 종로구 명륜4가 187번지 이화빌딩 601호,PHMG320053000034047400014,3000000,,"서울특별시 종로구 창경궁로 236, 601호 (명륜4가,이화빌딩)",,,"심혈관용기계기구,체외진단용기기,생체현상측정기기,전기수술장치",03,폐업,,,,
