년간생산량,사업장명,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,취급목재제품,최종수정시점,인허가일자,지번주소,관리번호,인력보유현황,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,상태구분명,소재지전화번호,목재생산업종류명,목재생산업구분코드명
10000,주식회사 효산자원,500,187682.690357283,450578.892820906,2026-05-03 22:35:22,I,3,폐업,우드펠릿,2026-02-23 11:25:28,2018-05-23,서울특별시 강서구 등촌동 *** 등촌동두산위브센티움,315000090201800002,3명,3150000,"서울특별시 강서구 양천로 ***, 등촌동두산위브센티움 ***호 (등촌동)",07551,03,폐업,폐업,02-579-3688,,목재수입유통업
,그랜드이앤알 주식회사,,185032.421148111,450836.071292455,2026-05-03 22:35:23,I,1,정상,"우드펠릿(목재펠릿), 숯(일반, 성형)",2024-04-17 15:11:52,2018-07-25,서울특별시 강서구 마곡동 ***-* 보타닉파크타워*,315000090201800004,,3150000,"서울특별시 강서구 공항대로 ***, 보타닉파크타워* *층 **호 (마곡동)",07802,01,영업/정상,영업,02-578-3688,,목재수입유통업
,코리아후카 주식회사,10,183389.098360209,450451.186955984,2026-05-03 22:35:23,I,1,정상,목탄 등,2019-09-10 09:31:59,2019-09-10,서울특별시 강서구 공항동 *** 지하층,315000090201900002,2,3150000,"서울특별시 강서구 방화대로*나길 **, 지하층 (공항동)",07626,01,영업/정상,영업,02-6052-9919,,목재수입유통업
,(주)태선글로벌,,186915.480005327,451230.088219015,2026-05-03 22:35:25,I,1,정상,"우드팰릿, 우드칩",2026-02-23 12:59:20,2020-06-18,서울특별시 강서구 가양동 ****-* 이스타빌*차 ****호,315000090202000001,,3150000,"서울특별시 강서구 양천로**길 **-**, 이스타빌*차 (가양동)",07526,01,영업/정상,영업,,,목재수입유통업
,주식회사 큐앤고네이션,,187582.14468071,450728.898515109,2026-05-03 22:35:28,I,1,정상,"팰릿,톱밥,목분",2024-03-28 09:32:19,2020-08-05,서울특별시 강서구 가양동 ***-**,315000090202000005,,3150000,"서울특별시 강서구 양천로 ***, **층 *호 (가양동)",07532,01,영업/정상,영업,,,목재수입유통업
,주식회사 그린포레스트프로,,184655.264279055,451864.298152252,2026-05-03 22:35:28,I,1,정상,목재펠릿 등,2021-12-21 14:20:23,2020-12-21,서울특별시 강서구 마곡동 *** 두산더랜드파크,315000090202000007,,3150000,"서울특별시 강서구 마곡중앙로 ***-*, 두산더랜드파크 *층 ***호 (마곡동)",07788,01,영업/정상,영업,,,목재수입유통업
,성우코리아(주),,182956.84723355,451312.452597864,2026-05-03 22:35:28,I,1,정상,원목마루,2021-07-06 09:32:22,2021-07-06,서울특별시 강서구 방화동 ***-** 스카이그린빌 *층,315000090202100002,,3150000,"서울특별시 강서구 개화동로**길 **, 스카이그린빌 (방화동)",07620,01,영업/정상,영업,02-2662-5252,,목재수입유통업
100,윌트레이딩,10,187319.967877656,447593.657024712,2026-05-03 22:35:28,I,1,정상,"목재펠릿, 목탄",2022-04-27 15:27:03,2022-04-27,서울특별시 강서구 화곡동 ***-** 지디로뷰 ***호,315000090202200002,,3150000,"서울특별시 강서구 강서로*길 ***-*, *층 ***호 (화곡동, 지디로뷰)",07783,01,영업/정상,영업,,,목재수입유통업
,주식회사 피더블유그룹,,189124.441211963,449608.300304977,2026-05-03 22:35:28,I,1,정상,목재펠릿,2026-02-26 17:00:59,2022-06-16,서울특별시 강서구 염창동 ***-*,315000090202200003,,3150000,"서울특별시 강서구 양천로 ***, ***,***,***호 (염창동)",07557,01,영업/정상,영업,,,목재수입유통업
120000,(주)제이더블유티엔피,50,184971.522700042,450643.056387457,2026-05-03 22:35:28,I,1,정상,우드펠릿,2022-12-01 12:49:46,2022-10-07,서울특별시 강서구 마곡동 ***-** 이너매스마곡Ⅱ ****호,315000090202200005,2명,3150000,"서울특별시 강서구 마곡중앙*로 **, 이너매스마곡Ⅱ ****호 (마곡동)",07806,01,영업/정상,영업,,,목재수입유통업
,(주)한준스펙스인터내셔널,,183298.883517107,450504.220440721,2026-05-03 22:35:28,I,1,정상,목재펠릿,2026-02-23 12:54:37,2023-08-04,서울특별시 강서구 공항동 ***-*,315000090202300003,,3150000,"서울특별시 강서구 송정로 **-*, *층 (공항동)",07627,01,영업/정상,영업,02-2054-6795,,목재수입유통업
250000,홈플러스(주),24300,187119.948165892,450691.593173724,2026-05-03 22:35:28,I,1,정상,"사과나무, 대추나무",2024-06-05 18:13:30,2024-06-05,서울특별시 강서구 등촌동 ***-** 홈플러스강서점앤본사사옥,315000090202400001,4명,3150000,"서울특별시 강서구 화곡로 ***, 홈플러스강서점앤본사사옥 (등촌동)",07567,01,영업/정상,영업,,,목재수입유통업
,주식회사 파이니어,200,184655.264279055,451864.298152252,2026-05-03 22:35:28,I,1,정상,"우드펠릿, 우드칩",2024-08-19 09:10:44,2024-08-19,서울특별시 강서구 마곡동 *** 두산더랜드파크,315000090202400002,,3150000,"서울특별시 강서구 마곡중앙로 ***-*, 두산더랜드파크 A동 *층 *호 (마곡동)",07788,01,영업/정상,영업,,,목재수입유통업
100000,조양국제종합물류(주),2000,185764.855479103,451066.334052863,2026-05-03 22:35:29,I,1,정상,목재펠릿,2024-11-18 15:05:52,2024-11-18,서울특별시 강서구 등촌동 ***-* 동광빌딩,315000090202400004,1,3150000,"서울특별시 강서구 강서로 ***, 동광빌딩 *층 (등촌동)",07583,01,영업/정상,영업,,,목재수입유통업
80,(주)곰프렌즈,200,184971.522700042,450643.056387457,2026-05-03 22:35:30,I,1,정상,구조용재,2025-02-13 13:52:13,2025-02-13,서울특별시 강서구 마곡동 ***-** 이너매스마곡Ⅱ,315000090202500001,8,3150000,"서울특별시 강서구 마곡중앙*로 **, 이너매스마곡Ⅱ *층 ***호 (마곡동)",07806,01,영업/정상,영업,02266105515,,목재수입유통업
120000,(주)디엘케이,,184971.522700042,450643.056387457,2026-05-03 22:35:30,I,1,정상,목재펠릿,2025-05-29 15:20:44,2025-05-29,서울특별시 강서구 마곡동 ***-** 이너매스마곡Ⅱ,315000090202500004,1명,3150000,"서울특별시 강서구 마곡중앙*로 **, 이너매스마곡Ⅱ ***호 (마곡동)",07806,01,영업/정상,영업,,,목재수입유통업
,(주)글림텍,10,182941.05762285,452258.458332197,2026-05-03 22:35:30,I,1,정상,숯,2025-09-08 14:01:42,2025-09-08,서울특별시 강서구 방화동 ***-* 양서빌딩 ***호,315000090202500005,1,3150000,"서울특별시 강서구 양천로 **, 양서빌딩 *층 ***호 (방화동)",07602,01,영업/정상,영업,,,목재수입유통업
,(주)제이웰컴퍼니,1,185371.298773738,450793.771245265,2026-05-03 22:35:30,I,4,전출,성형숯,2026-02-25 16:14:51,2025-11-25,서울특별시 강서구 마곡동 ***-* 퀸즈파크나인,315000090202500006,,3150000,"서울특별시 강서구 공항대로 ***, 퀸즈파크나인 A동 *층 ***호 (마곡동)",07803,05,제외/삭제/전출,전입,,,목재수입유통업
,주식회사 예쿤인터내셔널,,185708.10793962,451589.014703966,2026-05-03 22:35:30,I,1,정상,우드펠릿,2025-12-02 09:12:36,2025-12-02,서울특별시 강서구 마곡동 *** 마곡 아이파크 디어반,315000090202500007,2명,3150000,"서울특별시 강서구 마곡중앙*로*길 **, 마곡 아이파크 디어반 ***호 (마곡동)",07792,01,영업/정상,영업,,,목재수입유통업
