사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
에이앤에이치(A&H),의류/패션/잡화/뷰티,2012-10-23,192277.55565381,432159.826762544,2026-05-03 22:07:54,I,03,폐업처리,2012-10-23 16:20:47,,2012-06-14,,,2012383018630200429,인터넷,3830000,"경기도 안양시 만안구 능곡로 **, *동 ***호 (안양동,우성아파트)",,,03,폐업,,,
티알인터내셔널,종합몰,,195226.736723834,430247.433545406,2026-05-03 22:25:54,I,01,정상영업,2026-01-02 17:32:40,,2026-01-02,,경기도 안양시 동안구 호계동 ***-** 호계 금정역 SK V* center,2026385003730200025,인터넷,3830000,"경기도 안양시 동안구 엘에스로 ***, 호계 금정역 SK V* center ***호 A***호 (호계동)",14118,,01,영업/정상,,,
마네퀸진(mannequinjin),의류/패션/잡화/뷰티,,195768.441345668,433306.804031828,2026-05-03 22:25:54,I,01,정상영업,2026-01-02 17:35:56,,2026-01-02,,경기도 안양시 동안구 비산동 **** 비산동 키즈맘센터,2026385003730200026,"인터넷, 기타",3830000,"경기도 안양시 동안구 관악대로 ***, 비산동 키즈맘센터 *층 A-***호 (비산동)",13944,,01,영업/정상,,,
와이앤제이스토어,종합몰 가전 컴퓨터/사무용품,,194025.825318297,433354.214371547,2026-05-03 22:25:54,I,01,정상영업,2026-01-02 11:06:18,,2026-01-02,,경기도 안양시 동안구 비산동 **** 평촌자이아이파크,2026385003730200005,인터넷,3830000,"경기도 안양시 동안구 비산로 **, ***동 ***호 (비산동, 평촌자이아이파크)",13924,,01,영업/정상,,,
비그(VIG),컴퓨터/사무용품 자동차/자동차용품,,195908.177952798,431130.98145858,2026-05-03 22:25:54,I,01,정상영업,2026-01-02 11:09:28,,2026-01-02,,"경기도 안양시 동안구 호계동 **** 무궁화 효성,한양아파트",2026385003730200006,인터넷,3830000,"경기도 안양시 동안구 동안로 **, ***동 ****호 (호계동, 무궁화 효성,한양아파트)",14100,,01,영업/정상,,,
인안웍스,교육/도서/완구/오락 컴퓨터/사무용품 가구/수납용품 의류/패션/잡화/뷰티,,196668.281176927,432902.36534764,2026-05-03 22:25:54,I,01,정상영업,2026-01-02 11:13:26,,2026-01-02,,경기도 안양시 동안구 관양동 ****,2026385003730200007,인터넷,3830000,"경기도 안양시 동안구 시민대로***번길 **-**, *층 ****호 (관양동)",14055,,01,영업/정상,,,
엔아이코퍼레이션 주식회사,종합몰,,196080.532197962,432244.867412549,2026-05-03 22:25:54,I,01,정상영업,2026-01-02 17:23:05,,2026-01-02,,경기도 안양시 동안구 관양동 **** 평촌아크로타워,2026385003730200022,"TV홈쇼핑, 인터넷, 기타",3830000,"경기도 안양시 동안구 시민대로 ***, 평촌아크로타워 *층 ***호 (관양동)",14067,,01,영업/정상,,,
마루모루마켓,종합몰,,195226.736723834,430247.433545406,2026-05-03 22:25:54,I,01,정상영업,2026-01-02 17:26:18,,2026-01-02,,경기도 안양시 동안구 호계동 ***-** 호계 금정역 SK V* center,2026385003730200023,인터넷,3830000,"경기도 안양시 동안구 엘에스로 ***, 호계 금정역 SK V* center ***-A***호 (호계동)",14118,,01,영업/정상,,,
투유니몰,종합몰,,196668.281176927,432902.36534764,2026-05-03 22:25:54,I,01,정상영업,2026-01-02 17:29:19,,2026-01-02,,경기도 안양시 동안구 관양동 ****,2026385003730200024,인터넷,3830000,"경기도 안양시 동안구 시민대로***번길 **-**, *층 ****호 (관양동)",14055,,01,영업/정상,,,
홍도르,의류/패션/잡화/뷰티,2009-12-16,,,2026-05-03 22:06:21,I,03,폐업처리,2009-12-17 15:26:39,,2009-09-28,430-040,경기도 안양시만안구 석수동 ***번지 *호 석수역푸르지오아파트 ***동 ***호,2009383018030200205,인터넷,3830000,,,,03,폐업,,,070-7557-1504
잡화게릿,종합몰,2021-12-20,195738.872342646,430473.482863137,2026-05-03 22:15:42,I,03,폐업처리,2021-12-21 09:47:10,,2020-11-30,,경기도 안양시 동안구 호계동 *** 흥화브라운빌아파트,2020385003730201859,인터넷,3830000,"경기도 안양시 동안구 경수대로***번길 **, ***동 ***호 (호계동, 흥화브라운빌아파트)",14113,,03,폐업,,,
옷장속엔 커피향기,의류/패션/잡화/뷰티,2022-12-13,,,2026-05-03 22:10:06,I,03,폐업처리,2022-12-13 10:55:57,,2016-05-13,,,2016385003730200294,인터넷,3830000,"경기도 안양시 동안구 경수대로***번길 **, ***호 (비산동)",13955,,03,폐업,,,031-342-1157
케이에프쇼핑30호점,종합몰,2025-12-31,,,2026-05-03 22:23:57,I,03,폐업처리,2026-01-02 09:31:28,,2025-04-28,,경기도 안양시 만안구 석수동 ***-*,2025384003330201292,인터넷,3830000,"경기도 안양시 만안구 안양로 ***-*, ***호 O**호 (석수동)",13967,,03,폐업,,,
으나웅,의류/패션/잡화/뷰티,,,,2026-05-03 22:21:47,I,01,정상영업,2024-06-05 09:44:05,,2024-06-01,,경기도 안양시 만안구 안양동 ***-* 국제빌라,2024384003330200582,인터넷,3830000,"경기도 안양시 만안구 냉천로***번길 **, 나동 ***호 (안양동, 국제빌라)",14030,,01,영업/정상,,,
득템몰,종합몰,2013-09-24,195202.167161317,432630.824638064,2026-05-03 22:08:21,I,03,폐업처리,2013-09-24 15:28:46,,2013-06-07,431-050,경기도 안양시 동안구 비산동 ****번지 *호 관악아파트 ***동 ***호,2013383018630200444,인터넷,3830000,,,,03,폐업,,,031-388-6598
정감마켓4506,종합몰 교육/도서/완구/오락 가전 컴퓨터/사무용품 가구/수납용품 의류/패션/잡화/뷰티 건강/식품 레져/여행/공연 자동차/자동차용품,,198096.037756958,432929.082740888,2026-05-03 22:22:33,I,01,정상영업,2024-03-25 10:34:47,,2024-03-25,,경기도 안양시 동안구 관양동 ****-* 인덕원마을삼성아파트,2024385003730200586,"인터넷, 기타",3830000,"경기도 안양시 동안구 안양판교로 **, ***동 ***호 (관양동, 인덕원마을삼성아파트)",13943,,01,영업/정상,,,
크로스웍스,건강/식품,,197558.453610148,434376.62898594,2026-05-03 22:20:32,I,07,직권말소,2025-11-13 17:20:39,,2023-01-02,,경기도 안양시 동안구 관양동 **** 동편마을*단지,2023385003730200009,인터넷,3830000,"경기도 안양시 동안구 동편로 **, ***동 ***호 (관양동, 동편마을*단지)",13928,,04,취소/말소/만료/정지/중지,,,
바르바이오,건강/식품,2022-01-14,196105.396782964,432770.98815275,2026-05-03 22:10:34,I,03,폐업처리,2022-01-13 13:22:57,,2016-09-30,,경기도 안양시 동안구 관양동 ****번지 *호 ***동 ***호,2016385003730200637,인터넷,3830000,"경기도 안양시 동안구 달안로 ***, ***동 ***호 (관양동, 한가람신라아파트)",14052,,03,폐업,,,070-8093-4885
빅혼(BIGHORN),기타,2015-11-18,197150.362224583,431908.820558227,2026-05-03 22:06:39,I,05,타시군구이관,2015-11-18 09:56:40,,2010-05-12,431-828,경기도 안양시동안구 평촌동 ***번지 *호 **통 *반  초원아파트 ***동 ****호,2010383018030200338,인터넷,3830000,,,,05,제외/삭제/전출,,,
사람에프앤비,건강/식품,2024-07-31,,,2026-05-03 22:20:17,I,05,타시군구이관,2024-07-31 13:17:46,,2018-10-26,,경기도 안양시 만안구 안양동 ***-* 영식타워,2023384003330200519,인터넷,3830000,"경기도 안양시 만안구 전파로**번길 **, 영식타워 *층 (안양동)",14086,,05,제외/삭제/전출,,,031-1522-8709
김현주 스토어,종합몰,,,,2026-05-03 22:20:05,I,01,정상영업,2023-03-28 17:11:37,,2023-03-24,,경기도 안양시 만안구 안양동 **-**,2023384003330200364,인터넷,3830000,"경기도 안양시 만안구 예술공원로**번길 **, *층 (안양동)",13958,,01,영업/정상,,,
래드손 (주),기타,,196668.281176927,432902.36534764,2026-05-03 22:15:25,I,01,정상영업,2020-10-06 09:55:48,,2016-01-07,,경기도 안양시 동안구 관양동 ****,2020385003730201570,인터넷,3830000,"경기도 안양시 동안구 시민대로***번길 **-**, 안양창업지원센터 ***호 (관양동)",14055,,01,영업/정상,,,031-426-8151
심플리즘(SIMPLISM),의류/패션/잡화/뷰티,2022-01-30,,,2026-05-03 22:11:09,I,03,폐업처리,2022-01-24 09:04:55,,2017-09-19,,경기도 안양시 만안구 박달동 ***번지 *호,2017384003330200423,인터넷,3830000,"경기도 안양시 만안구 삼봉로 **, ***동 ****호 (박달동, 금호아파트)",14017,,03,폐업,,,070-4045-1331
삼조전기,기타,,195688.283843608,429949.927810159,2026-05-03 22:11:50,I,01,정상영업,2017-11-02 11:42:24,,2017-11-02,,경기도 안양시 동안구 호계동 ***번지 *호 국제유통단지,2017385003730200835,인터넷,3830000,"경기도 안양시 동안구 엘에스로 **, **동 ***호 (호계동)",14117,,01,영업/정상,,,031-479-0771
굿세일마켓,종합몰,2025-12-06,,,2026-05-03 22:24:09,I,03,폐업처리,2025-12-05 15:13:47,,2025-05-29,,경기도 안양시 만안구 석수동 ***-*,2025384003330201547,인터넷,3830000,"경기도 안양시 만안구 안양로 ***-*, *** V**호 (석수동)",13967,,03,폐업,,,
글로픽2금정점,종합몰,2024-12-28,195226.736723834,430247.433545406,2026-05-03 22:23:22,I,03,폐업처리,2024-12-27 13:41:45,,2024-11-18,,경기도 안양시 동안구 호계동 ***-** 호계 금정역 SK V* center,2024385003730201898,인터넷,3830000,"경기도 안양시 동안구 엘에스로 ***, 호계 금정역 SK V* center ***호 Q***호 (호계동)",14118,,03,폐업,,,
지소긋,종합몰 기타,2021-08-01,193962.397122773,433758.077068605,2026-05-03 22:15:12,I,03,폐업처리,2021-08-03 13:55:41,,2020-07-28,,경기도 안양시 동안구 비산동 **** 그린빌 주공아파트,2020385003730201186,인터넷,3830000,"경기도 안양시 동안구 임곡로 **, 그린빌 주공아파트 ***동 ****호 (비산동)",13916,,03,폐업,,,
스타일502,종합몰,,,,2026-05-03 22:14:23,I,01,정상영업,2020-09-16 18:22:06,,2020-09-16,,경기도 안양시 만안구 석수동 ***-** 관악아파트,2020384003330200801,"인터넷, 기타",3830000,"경기도 안양시 만안구 만안로 ***, ***호 (석수동, 관악아파트)",13962,,01,영업/정상,,,
