사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
종합동물병원 Pet Together,,194936.558861676,443949.118691998,2026-05-03 22:39:04,I,0002,폐업,2019-07-18 13:28:32,,2002-12-02,0,,서울특별시 동작구 상도동 210-124 지하1층,319000001020020002,3190000,000,"서울특별시 동작구 양녕로 184-1 (상도동,지하1층)",,,03,폐업,,,02-822-3459
흑석동물병원,,196801.359624316,445056.759115545,2026-05-03 22:39:05,I,0002,폐업,2014-05-12 10:37:43,,2010-05-26,33.44,,서울특별시 동작구 흑석동 8-32,319000001020100004,3190000,000,서울특별시 동작구 현충로 100 (흑석동),06979,,03,폐업,,,02-817-0025
쿨펫동물병원 안산고잔점,,184766.070784522,423338.223688148,2026-05-03 22:01:55,I,0002,폐업,2012-05-29 13:24:41,,2011-02-03,13.6,,경기도 안산시 단원구 고잔동 707-2 홈플러스 3층,393000001020110001,3930000,000,"경기도 안산시 단원구 광덕대로 175 (고잔동,홈플러스 3층)",,,03,폐업,,,
사당동물병원,,197865.153767475,441627.436611564,2026-05-03 22:39:03,I,0000,정상,2013-09-14 18:11:26,,1999-01-25,66.5,,서울특별시 동작구 사당동 1047-44,319000001019990001,3190000,000,서울특별시 동작구 남부순환로 2051 (사당동),,,01,영업/정상,,,02-586-8275
하나사랑동물병원,,194447.902547563,444700.625640711,2026-05-03 22:39:04,I,0000,정상,2026-02-04 15:30:54,,2001-08-07,0,,서울특별시 동작구 상도동 366-24,319000001020010002,3190000,000,"서울특별시 동작구 상도로 171, 1층 (상도동)",06937,,01,영업/정상,,,02-822-7574
디아크동물종합병원,,194540.460292957,445499.769649145,2026-05-03 22:39:04,I,0000,정상,2024-10-18 10:26:02,,2002-09-14,57,,서울특별시 동작구 노량진동 246-1,319000001020020001,3190000,000,서울특별시 동작구 장승배기로27길 18 (노량진동),06929,,01,영업/정상,,,02-816-7582
동물은내친구,,197790.556730166,442326.174711123,2026-05-03 22:39:04,I,0000,정상,2014-11-03 15:54:38,,2003-02-25,0,,서울특별시 동작구 사당동 321-114,319000001020030001,3190000,000,서울특별시 동작구 사당로 252 (사당동),,,01,영업/정상,,,02-582-7708
다나동물병원,,198290.987454945,442079.914970215,2026-05-03 22:39:05,I,0000,정상,2022-11-03 14:00:38,,2007-05-22,99,,서울특별시 동작구 사당동 1019-54 오사빌딩 1층,319000001020070001,3190000,000,서울특별시 동작구 동작대로 47 (사당동),07014,,01,영업/정상,,,02-3471-0375
피닉스동물병원,,193339.388708545,444203.300907666,2026-05-03 22:39:05,I,0000,정상,2023-01-12 22:15:14,,2008-01-15,132.66,,서울특별시 동작구 대방동 395-4,319000001020080001,3190000,000,"서울특별시 동작구 상도로 43, 1층 (대방동, 정원빌딩)",06954,,01,영업/정상,,,02-813-7579
원동물병원,,197486.50162645,442493.781452129,2026-05-03 22:39:05,I,0000,정상,2025-10-30 15:32:10,,2010-03-25,131.28,,서울특별시 동작구 사당동 252-17 서림빌딩 202호,319000001020100001,3190000,000,"서울특별시 동작구 사당로 215, 서림빌딩 202호 (사당동)",07004,,01,영업/정상,,,02-587-5618
세인트필립 동물병원,,197869.588931315,441659.830528439,2026-05-03 22:39:05,I,0000,정상,2013-09-14 18:17:11,,2010-04-29,32.5,,서울특별시 동작구 사당동 1047-49 102호,319000001020100002,3190000,000,"서울특별시 동작구 남부순환로267길 5 (사당동,102호)",,,01,영업/정상,,,02-3486-7707
이수동물병원,,197768.078776787,442831.35560169,2026-05-03 22:39:05,I,0000,정상,2019-04-26 20:18:38,,2010-07-02,60,,서울특별시 동작구 사당동 162-96 1층,319000001020100005,3190000,000,"서울특별시 동작구 사당로23나길 30 (사당동,1층)",,,01,영업/정상,,,02-592-8875
정겨운동물병원,,195574.460138352,444203.274405267,2026-05-03 22:39:05,I,0000,정상,2025-03-10 16:04:03,,2011-02-09,83.23,,서울특별시 동작구 상도1동 261,319000001020110001,3190000,000,서울특별시 동작구 상도로 315 (상도1동),06970,,01,영업/정상,,,02-817-8172
굿파파 24시 반려동물건강검진센터,,198128.497755331,442514.202527665,2026-05-03 22:39:06,I,0000,정상,2025-07-29 11:47:37,,2011-12-07,209.99,,서울특별시 동작구 사당동 148-9 1층 및 2층,319000001020110002,3190000,000,"서울특별시 동작구 사당로 289, 1층 및 2층 (사당동)",07008,,01,영업/정상,,,02-593-8275
나무동물병원,,196966.286046163,444931.77134833,2026-05-03 22:39:06,I,0000,정상,2013-12-12 19:21:10,,2012-01-18,30.8,,서울특별시 동작구 흑석동 335-1,319000001020120001,3190000,000,"서울특별시 동작구 흑석한강로 2, 1층 105호 (흑석동)",06979,,01,영업/정상,,,02-813-4567
우리아이동물병원,,195234.741414997,444628.237982126,2026-05-03 22:39:06,I,0000,정상,2015-05-04 10:10:13,,2012-02-14,154.45,,서울특별시 동작구 상도동 34-18 1층 및 2층,319000001020120002,3190000,000,"서울특별시 동작구 상도로 262, 1층 및 2층 (상도동)",06965,,01,영업/정상,,,02-823-7500
상도힐링동물병원,,195791.557523948,443898.917364179,2026-05-03 22:39:06,I,0000,정상,2020-10-15 10:02:37,,2013-03-11,49.85,,서울특별시 동작구 상도동 486-7,319000001020130001,3190000,000,"서울특별시 동작구 상도로 353, 1층 (상도동)",06977,,01,영업/정상,,,02-812-7512
보라매웰종합동물병원,,193055.319381402,444170.270949995,2026-05-03 22:39:06,I,0000,정상,2025-04-01 15:08:12,,2013-07-17,88.48,,서울특별시 동작구 대방동 401-21,319000001020130002,3190000,000,"서울특별시 동작구 상도로 16, 1층 (대방동)",07055,,01,영업/정상,,,02-3280-7975
지엔동물병원,,195168.130481413,444775.977468284,2026-05-03 22:39:06,I,0000,정상,2022-03-16 12:21:29,,2014-10-06,,,서울특별시 동작구 상도동 22-151,319000001020140001,3190000,000,"서울특별시 동작구 상도로31길 87, 2층 (상도동)",06921,,01,영업/정상,,,02-812-8275
나을동물병원,,197267.513868619,442526.629721158,2026-05-03 22:39:06,I,0000,정상,2019-04-26 20:11:00,,2017-03-20,29.8,,서울특별시 동작구 사당동 248-5,319000001020170001,3190000,000,"서울특별시 동작구 사당로 196, 1층 102호 (사당동, 거묵프리미엄 상가)",07009,,01,영업/정상,,,02-521-5775
유케어종합동물병원,,194835.762213041,444759.157628603,2026-05-03 22:39:06,I,0000,정상,2024-04-03 15:06:13,,2018-01-03,108,,서울특별시 동작구 상도동 27-12 성은빌딩,319000001020180001,3190000,000,"서울특별시 동작구 상도로 214, 성은빌딩 1층 (상도동)",06964,,01,영업/정상,,,02-3280-8275
24시 품 동물의료센터,,195455.820503221,444687.36290355,2026-05-03 22:39:06,I,0000,정상,2024-11-28 10:20:01,,2020-02-04,343.46,,서울특별시 동작구 상도1동 623,319000001020200001,3190000,000,"서울특별시 동작구 양녕로 277-1, 지층, 1층, 2층, 3층 (상도1동)",06919,,01,영업/정상,,,02-812-7585
