건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,씨네드림,2010-07-01,203565.427701441,457714.884022453,,영화상영업,2026-05-03 22:30:14,I,03,폐업,,,2003-10-16,,2011-03-10 09:44:11,,2003-10-16,,서울특별시 강북구 번동 산 28-6,CDFF5211042003000001,3080000,,서울특별시 강북구 월계로 173  (번동),,03,폐업,,,,,,
,한화호텔앤드리조트 주식회사,2015-08-03,194632.526367463,446401.926526228,,영화상영업,2026-05-03 22:30:10,I,03,폐업,,,1987-01-23,,2015-08-21 15:53:28,,1987-01-23,,서울특별시 영등포구 여의도동 60,CDFF5211041987000001,3180000,,서울특별시 영등포구 63로 50 (여의도동),,03,폐업,,,,,,
,㈜에쉐르시네마,2009-12-17,191650.262823467,446234.789725611,,영화상영업,2026-05-03 22:30:10,I,03,폐업,,0,2005-02-16,0,2010-04-30 13:52:03,,2005-02-16,,서울특별시 영등포구 영등포동3가 8-1,CDFF5211042005000001,3180000,,서울특별시 영등포구 영중로8길 6  (영등포동3가),,03,폐업,,,,26337296,0,0
,㈜에쉐르종합건설,2009-12-18,191650.262823467,446234.789725611,,영화상영업,2026-05-03 22:30:10,I,03,폐업,,0,2005-02-16,0,2010-04-30 13:52:03,,2005-02-16,,서울특별시 영등포구 영등포동3가 8-1,CDFF5211042005000002,3180000,,서울특별시 영등포구 영중로8길 6  (영등포동3가),,03,폐업,,,,26337388,0,0
,영휘프로덕션,2014-03-31,191443.012550687,446609.110301727,,영화상영업,2026-05-03 22:30:10,I,03,폐업,,,2006-07-28,,2014-03-31 21:02:07,,2006-07-28,,서울특별시 영등포구 영등포동6가 52-9,CDFF5211042006000001,3180000,,서울특별시 영등포구 영신로42길 21 (영등포동6가),,03,폐업,,,,26786790,,
,인피니씨네마,2014-06-28,191087.758954321,446157.437289242,,영화상영업,2026-05-03 22:30:10,I,03,폐업,,,2007-09-11,,2014-12-26 10:47:59,,2007-09-11,,서울특별시 영등포구 문래동3가 55-16,CDFF5211042007000001,3180000,,,,03,폐업,,,,02-572-7147,,
,(주)엠티에스정보기술,2019-12-30,191457.663413167,447179.850506981,,영화상영업,2026-05-03 22:30:10,I,03,폐업,,,2014-06-02,,2019-12-30 15:43:06,,2014-06-02,,서울특별시 영등포구 영등포동8가 92 KnK디지털타워 1009호,CDFF5211042014000001,3180000,,"서울특별시 영등포구 영신로 220, 1009호 (영등포동8가, KnK디지털타워)",,03,폐업,,,,02-2655-9433,,
,(주) 리키필름,2016-03-29,190146.79444215,447018.198264889,,영화상영업,2026-05-03 22:30:11,I,03,폐업,,,2014-06-27,,2017-11-23 10:39:36,,2014-06-27,,서울특별시 영등포구 양평동3가 13,CDFF5211042014000002,3180000,,"서울특별시 영등포구 양산로 57-5, 301호 (양평동3가, 이노플렉스)",,03,폐업,,,,,,
,(주) 제이제이스타즈,2016-07-14,192165.352442523,446305.904130001,,영화상영업,2026-05-03 22:30:11,I,03,폐업,,,2014-10-24,,2017-04-20 12:41:46,,2014-10-24,,서울특별시 영등포구 영등포동2가 145 301호,CDFF5211042014000004,3180000,,"서울특별시 영등포구 버드나루로 1, 301호 (영등포동2가)",,03,폐업,,,,,,
,주식회사 레인메이커필름,2021-10-06,192785.997964211,447523.1165117,,영화상영업,2026-05-03 22:30:11,I,03,폐업,,,2018-06-15,,2021-10-06 16:41:56,,2018-06-15,,서울특별시 영등포구 여의도동 14-21 엘지여의도에클라트 320호,CDFF5211042018000001,3180000,,"서울특별시 영등포구 국회대로 780, 엘지여의도에클라트 320호 (여의도동)",07237,03,폐업,,,,,,
