건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,(주)합동영화,2012-02-21,198990.202955049,451044.895347229,,영화제작업,2026-05-03 22:41:27,I,03,폐업,,,1973-03-31,,2012-02-22 11:06:35,,1973-03-31,,서울특별시 중구 충무로*가 **-**,CDFF5211011973000001,3010000,,서울특별시 중구 삼일대로 *** (충무로*가),,03,폐업,,,,,,
,엠씨필름,2015-09-07,199173.685284871,451195.158960665,,영화제작업,2026-05-03 22:41:30,I,03,폐업,,,2001-03-10,,2015-09-07 15:47:07,,2001-03-10,,서울특별시 중구 충무로*가 **-*,CDFF5211012001000005,3010000,,서울특별시 중구 마른내로*길 ** (충무로*가),,03,폐업,,,,,,
,(주)시네서,2011-07-01,198455.731668414,451374.257435598,,영화제작업,2026-05-03 22:41:31,I,03,폐업,,,2001-09-19,,2011-07-01 17:36:46,,2001-09-19,,서울특별시 중구 을지로*가 ***-** 명신빌딩 ***호,CDFF5211012001000015,3010000,,"서울특별시 중구 명동*가길 **-*,  ***호 (을지로*가,명신빌딩)",,03,폐업,,,,,,
,하나영화사,2018-04-30,199070.36962461,451060.66124234,,영화제작업,2026-05-03 22:41:31,I,03,폐업,,,2002-05-22,,2018-04-30 14:31:55,,2002-05-22,,서울특별시 중구 충무로*가 **-* 인성빌딩 *층동,CDFF5211012002000006,3010000,,"서울특별시 중구 수표로 *, *층동 (충무로*가,인성빌딩)",,03,폐업,,,,,,
,진필름,2012-10-08,198989.394558244,451675.09180947,,영화제작업,2026-05-03 22:41:34,I,03,폐업,,,2005-04-22,,2012-10-08 14:33:48,,2005-04-22,,서울특별시 중구 수표동 **-* 천수빌딩 ***호,CDFF5211012005000004,3010000,,"서울특별시 중구 수표로 **,  ***호 (수표동,천수빌딩)",,03,폐업,,,,,,
,㈜스타이스트 디지탈랩,2016-08-22,197098.402787244,450486.142609794,,영화제작업,2026-05-03 22:41:38,I,03,폐업,,,2008-03-10,,2016-08-22 16:52:56,,2008-03-10,,서울특별시 중구 만리동*가 **-*,CDFF5211012008000003,3010000,,서울특별시 중구 만리재로**길 * (만리동*가),,03,폐업,,,,,,
,㈜악어컴퍼니,2016-06-23,199378.798616193,450888.785362222,,영화제작업,2026-05-03 22:41:38,I,03,폐업,,,2008-03-24,,2016-06-23 13:50:00,,2008-03-24,,서울특별시 중구 필동*가 **-* *층,CDFF5211012008000005,3010000,,"서울특별시 중구 퇴계로**길 * (필동*가,*층)",,03,폐업,,,,,,
,㈜푸른곰팡이필름,2024-12-31,199378.798616193,450888.785362222,,영화제작업,2026-05-03 22:41:39,I,03,폐업,,,2008-05-09,,2025-02-03 10:26:13,,2008-05-09,,서울특별시 중구 필동*가 **-* 동국대학교충무로영상센터 ***,CDFF5211012008000010,3010000,,"서울특별시 중구 퇴계로**길 * (필동*가,동국대학교충무로영상센터 ***)",,03,폐업,,,,,,
,제이원커뮤니케이션,2016-05-26,199712.234476409,450850.942803121,,영화제작업,2026-05-03 22:41:39,I,03,폐업,,,2008-08-06,,2016-05-26 11:53:35,,2008-08-06,,서울특별시 중구 필동*가 **-**,CDFF5211012008000013,3010000,,서울특별시 중구 서애로*길 ** (필동*가),,03,폐업,,,,,,
,한국영화사,2014-07-31,200947.32139638,450404.007849838,,영화제작업,2026-05-03 22:41:40,I,03,폐업,,,2009-07-16,,2014-07-31 14:53:19,,2009-07-16,,서울특별시 중구 신당동 ***-** *층,CDFF5211012009000006,3010000,,"서울특별시 중구 다산로 *** (신당동,*층)",,03,폐업,,,,,,
