건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,시설규모,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
문화시설,LG아트센터,2022-03-11,203184.108901561,444431.873863292,공연장,공연장,2026-05-03 22:30:36,I,03,폐업,,,,,2022-03-11 13:04:55,,1999-12-06,,서울특별시 강남구 역삼동 679 GS강남타워,CDFE1230001999000001,3220000,상업지역,"서울특별시 강남구 논현로 508, GS강남타워 5층 (역삼동)",06141,03,폐업,유흥업소밀집지역,,,02-2005-0114,,
문화시설,우림청담씨어터,2011-12-30,203421.791624553,446821.046234321,공연장,공연장,2026-05-03 22:30:36,I,03,폐업,,,,9,2012-01-12 11:29:07,,2003-02-07,135-954,서울특별시 강남구 청담동 86-1 I&H 빌딩 지하2층,CDFE1230002003000001,3220000,일반주거지역,"서울특별시 강남구 도산대로 403  (청담동,I&H 빌딩 지하2층)",,03,폐업,,,,,13,4
,유시어터,2016-12-13,203577.618585141,446668.364448735,공연장,공연장,2026-05-03 22:30:37,I,03,폐업,,,,,2018-10-16 17:46:37,,2003-01-09,135-950,서울특별시 강남구 청담동 22-13,CDFE1230002003000004,3220000,,서울특별시 강남구 도산대로58길 16 (청담동),,03,폐업,,,,,,
,코엑스아트홀,2021-07-30,205130.591678902,445590.096837802,공연장,공연장,2026-05-03 22:30:38,I,03,폐업,,,,,2021-08-02 13:39:45,,2004-12-23,135-090,서울특별시 강남구 삼성동 159 코엑스 컨벤션센터 2층,CDFE1230002004000002,3220000,,"서울특별시 강남구 영동대로 511 (삼성동,코엑스 컨벤션센터 2층)",,03,폐업,,,,60007889,,
,라트어린이극장,2015-10-13,203660.241345596,442453.675253502,공연장,공연장,2026-05-03 22:30:38,I,03,폐업,,,,,2015-10-14 23:43:03,,2005-04-18,135-854,서울특별시 강남구 도곡동 514-1,CDFE1230002005000002,3220000,,서울특별시 강남구 논현로 164 (도곡동),,03,폐업,,,,,,
,브루클린,2015-07-07,202388.409218153,444062.485291869,공연장,공연장,2026-05-03 22:30:39,I,03,폐업,,,,,2015-07-08 09:54:49,,2005-06-18,135-932,서울특별시 강남구 역삼동 820-11 시계탑빌딩 지하 1층,CDFE1230002005000003,3220000,,"서울특별시 강남구 강남대로 402 (역삼동,시계탑빌딩 지하 1층)",,03,폐업,,,,,,
,클럽앤비(NB),2010-12-29,203473.925098875,446939.225244374,공연장,공연장,2026-05-03 22:30:40,I,03,폐업,,,,,2011-01-03 10:58:35,,2006-01-05,135-954,서울특별시 강남구 청담동 85-4,CDFE1230002006000001,3220000,,서울특별시 강남구 선릉로 818  (청담동),,03,폐업,,,,,,
교육연구시설,성암아트센타,2023-10-26,203727.879660112,445425.225062925,공연장,공연장,2026-05-03 22:30:40,I,03,폐업,,,,5,2023-10-26 13:29:57,,2006-02-03,135-833,서울특별시 강남구 논현동 268-16 3층,CDFE1230002006000002,3220000,일반주거지역,"서울특별시 강남구 선릉로111길 6 (논현동,3층)",,03,폐업,,,,02-543-0826,7,2
,오디토리움,2016-12-31,205130.591678902,445590.096837802,공연장,공연장,2026-05-03 22:30:40,I,03,폐업,,,,,2017-01-04 20:12:48,,2006-03-13,135-090,서울특별시 강남구 삼성동 159,CDFE1230002006000003,3220000,,서울특별시 강남구 영동대로 511 (삼성동),,03,폐업,,,,60001147,,
문화시설,LIG아트홀,2015-03-30,202606.5180728,444109.694550304,공연장,공연장,2026-05-03 22:30:40,I,03,폐업,,,,7,2015-06-03 09:39:13,,2006-05-22,135-912,서울특별시 강남구 역삼동 649-11 엘아이지타워 지하2층,CDFE1230002006000004,3220000,일반상업지역,"서울특별시 강남구 테헤란로 117 (역삼동,엘아이지타워 지하2층)",,03,폐업,기타,,,02-6900-3900,26,19
