자동환기여부,건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,편의시설여부,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상구여부,비상계단여부,기존게임업외업종명,제작취급품목내용,시설면적,소방시설여부,지상층수,청소년실수,청소년실여부,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,조명시설유무,조명시설조도,관리번호,개방자치단체코드,통로너비,제공게임물명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,방음시설여부,음향시설여부,특수조명여부,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총게임기수,총층수,지하층수,비디오재생기명
N,,당신의 노래연습장,2005-06-08,,,유통관련업,노래연습장업,,2026-05-03 22:37:55,I,03,폐업,N,N,,,,,,,N,,2005-06-08 10:52:29,,1992-07-08,110-090,서울특별시 종로구 교북동 12-16,,,CDFF3242051992000001,3000000,,,,서울특별시 종로구 통일로 200  (교북동),,03,폐업,N,,N,,,,,,,,
N,,라이브노래연습장,2005-03-31,199965.552486441,453459.106833426,유통관련업,노래연습장업,,2026-05-03 22:38:05,I,03,폐업,N,N,,,,,,,N,,2005-03-31 13:13:21,,1995-02-20,110-522,서울특별시 종로구 명륜2가 34-0,,,CDFF3242051995000003,3000000,,,,서울특별시 종로구 대명길 22  (명륜2가),,03,폐업,N,,N,,,,,,,,
,,한일노래연습장,1999-12-06,200080.679961559,452929.998582696,유통관련업,노래연습장업,,2026-05-03 22:38:05,I,03,폐업,,,,,0,,,,,,2003-02-07 09:11:35,,1995-03-11,110-460,서울특별시 종로구 연건동 86,,,CDFF3242051995000004,3000000,,,,서울특별시 종로구 대학로5가길 11  (연건동),,03,폐업,,,,,,,,,,,
N,,난초노래방,2003-07-10,,,유통관련업,노래연습장업,,2026-05-03 22:38:05,I,03,폐업,N,N,,,,,,,N,,2003-07-10 18:27:00,,1995-05-02,110-522,서울특별시 종로구 명륜2가 24-2,,,CDFF3242051995000005,3000000,,,,,,03,폐업,N,,N,,,,,,,,
N,,밀레니엄,2005-03-15,199947.250070441,453427.537768103,유통관련업,노래연습장업,,2026-05-03 22:38:05,I,03,폐업,N,N,,,,,,,N,,2005-03-15 15:44:32,,1995-05-17,110-524,서울특별시 종로구 명륜4가 51-0,,,CDFF3242051995000006,3000000,,,,서울특별시 종로구 대명길 25  (명륜4가),,03,폐업,N,,N,,,,,,,,
N,,뮤직파워노래연습장,2020-04-23,198816.493844918,451913.950189702,유통관련업,노래연습장업,,2026-05-03 22:38:05,I,03,폐업,N,N,,,111.01,,7,,,12,2020-04-24 09:12:37,,1995-06-07,,서울특별시 종로구 관철동 7-1 (4층),,,CDFF3242051995000007,3000000,,,,"서울특별시 종로구 삼일대로 391 (관철동,(4층))",,03,폐업,N,,N,,,,,,9,2,
N,,가자노래방,2004-11-01,199867.096699895,453411.269175447,유통관련업,노래연습장업,,2026-05-03 22:38:05,I,03,폐업,N,N,,,,,,,N,,2004-11-01 16:39:47,,1995-06-16,110-522,서울특별시 종로구 명륜2가 186-2,,,CDFF3242051995000008,3000000,,,,서울특별시 종로구 대명길 42  (명륜2가),,03,폐업,N,,N,,,,,,,,
N,,싸이판,2007-08-23,201754.53460193,452523.341707762,유통관련업,노래연습장업,,2026-05-03 22:38:05,I,03,폐업,N,N,,,141.12,,,,N,,2007-08-23 10:01:30,,1995-08-02,110-824,서울특별시 종로구 숭인동 189-0 지하1층,,,CDFF3242051995000010,3000000,,,,"서울특별시 종로구 종로67길 3-8  (숭인동,지하1층)",,03,폐업,N,,N,,,,,,,,
N,,청해노래연습실,2008-04-08,,,유통관련업,노래연습장업,,2026-05-03 22:38:05,I,03,폐업,N,N,,,65.73,,,,N,,2008-04-08 18:01:42,,1995-08-16,110-837,서울특별시 종로구 창신동 583-0 (지하1층),,,CDFF3242051995000011,3000000,,,,,,03,폐업,N,,N,,,,36735733,,,,
N,,꿈돌이 노래연습장,2004-01-13,200180.614971988,453354.910382443,유통관련업,노래연습장업,,2026-05-03 22:38:05,I,03,폐업,N,N,,,,,,,N,,2004-01-13 14:07:26,,1995-08-16,110-809,서울특별시 종로구 동숭동 1-65,,,CDFF3242051995000012,3000000,,,,서울특별시 종로구 대학로10길 15-15  (동숭동),,03,폐업,N,,N,,,,,,,,
