사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
약수매점,2020-07-31,209493.414735627,474347.097254245,2009년11월법개정전자료,2026-05-03 22:04:34,I,2001-09-04,2,폐업처리,2020-07-31 15:19:37,,2001-09-04,,경기도 의정부시 자일동 산 92번지 3호 기념비휴식공간,2001382007905611643,3820000,"경기도 의정부시 호국로1828번길 233, 기념비휴식공간 (자일동)",11766,03,폐업,,,031-846-7029
신도할인마트,2008-12-31,204828.740426128,471715.07225404,2009년11월법개정전자료,2026-05-03 22:04:58,I,2007-12-13,2,폐업처리,2008-12-31 16:36:10,,2007-12-13,480-130,경기도 의정부시 금오동 344번지 17호 신도브래뉴2차@상가 A동,2007382013105600176,3820000,"경기도 의정부시 동일로 660 (금오동,신도브래뉴2차@상가 A동)",,03,폐업,,,031-841-2258
지에스(GS25) 민락월드,,208213.102260157,471522.87215345,제7조의3제2항에따른경우,2026-05-03 22:05:18,I,2019-08-06,0,정상영업,2022-09-26 16:05:48,,2019-08-06,,경기도 의정부시 민락동 806번지,2019382026105600024,3820000,"경기도 의정부시 용민로 198, 103호 (민락동)",11813,01,영업/정상,,,
농민마트,,203336.874716176,469896.820914906,제7조의3제2항에따른경우,2026-05-03 22:05:22,I,2022-11-07,0,정상영업,2022-11-07 13:49:57,,2022-11-07,,경기도 의정부시 의정부동 605,2022382025505600017,3820000,경기도 의정부시 범골로 76(의정부동),11628,01,영업/정상,,,
송천농장,2005-05-06,,,,2026-05-03 22:04:42,I,,2,폐업처리,2008-02-23 00:00:00,,2003-10-14,,경기도 의정부시 가능동 336번지 10호,2003382007905612391,3820000,,,03,폐업,,,031-877-1485
LG의정용현,2003-02-24,207381.601356807,469838.478837134,2009년11월법개정전자료,2026-05-03 22:04:40,I,2003-02-24,2,폐업처리,2008-02-01 13:51:19,,2003-02-24,,경기도 의정부시 용현동 189번지 1호,2003382007905600036,3820000,경기도 의정부시 시민로 465 (용현동),,03,폐업,,,031-847-3919
무,2004-01-07,202726.487880845,471045.063992214,,2026-05-03 22:04:28,I,,2,폐업처리,2008-02-23 00:00:00,,1981-05-14,,경기도 의정부시 가능동 산82번지 0호,2000382007905601135,3820000,경기도 의정부시 호국로1162번길 24 (가능동),,03,폐업,,,031-875-6931
지에스25 호원스타일점,,203989.713856366,467696.124354416,제7조의3제2항에따른경우,2026-05-03 22:05:23,I,2023-05-24,0,정상영업,2023-05-24 10:14:14,,2023-05-24,,경기도 의정부시 호원동 247-53 휴엘리시안,2023382025505600005,3820000,"경기도 의정부시 전좌로 4, 103동 101호 (호원동, 휴엘리시안)",11643,01,영업/정상,,,
소현슈퍼,2001-09-13,205466.520559579,469637.845378084,,2026-05-03 22:04:31,I,,2,폐업처리,2008-02-23 00:00:00,,1991-12-03,,경기도 의정부시 신곡동 312번지 20호,2001382007905600000,3820000,경기도 의정부시 동일로454번길 59-7 (신곡동),,03,폐업,,,
미니스톱 의정부장암점,2021-11-05,204741.927781768,469321.824946099,제7조의3제2항에따른경우,2026-05-03 22:05:14,I,2016-10-24,2,폐업처리,2021-11-05 17:01:37,,2016-10-24,,,2016382017905600138,3820000,"경기도 의정부시 회룡로 188, 지층 101호 (장암동, 장암골드프라자)",11718,03,폐업,,,
금오하이퍼마켓,2011-09-05,,,제7조의3제2항에따른경우,2026-05-03 22:05:04,I,2011-07-07,2,폐업처리,2011-09-05 11:53:27,,2011-07-07,480-909,경기도 의정부시 신곡2동 금오주공아파트 상가동 204.205호,2011382017905600091,3820000,,,03,폐업,,,
시민슈퍼,,202801.532313596,471629.30865398,,2026-05-03 22:04:28,I,,3,직권취소,2008-02-23 00:00:00,2001-11-02,1985-06-25,,경기도 의정부시 가능동 684번지 28호,2000382007905601091,3820000,경기도 의정부시 가능로15번길 11 (가능동),,04,취소/말소/만료/정지/중지,,,
무,2001-12-18,204162.875117284,470413.411337791,,2026-05-03 22:04:03,I,,2,폐업처리,2008-02-23 00:00:00,,1987-07-06,,경기도 의정부시 의정부동 139번지 39호,2000382007905600410,3820000,경기도 의정부시 평화로 494 (의정부동),,03,폐업,,,
GS25 호원사랑점,2017-11-02,204222.260625535,468118.770387264,제7조의3제2항에따른경우,2026-05-03 22:05:09,I,2013-07-23,2,폐업처리,2017-11-02 11:01:15,,2013-07-23,,,2013382017905600079,3820000,"경기도 의정부시 안말로85번길 20 (호원동, 우성빌딩)",11709,03,폐업,2014-02-24,2014-03-23,
브이마트편의점,2003-09-19,,,,2026-05-03 22:04:36,I,,2,폐업처리,2008-02-23 00:00:00,,2002-02-04,,경기도 의정부시 가능동 16번지 7 호,2002382007905600023,3820000,,,03,폐업,,,031-853-2216
태양슈퍼,2005-11-23,203390.550227932,469577.523530417,,2026-05-03 22:04:38,I,,2,폐업처리,2008-02-23 00:00:00,,2002-10-21,,경기도 의정부시 호원동 366번지 27호,2002382007905600942,3820000,경기도 의정부시 범골로 38 (호원동),,03,폐업,,,031-877-6577
그랜드마트,2017-03-15,203390.550227932,469577.523530417,2009년11월법개정전자료,2026-05-03 22:04:53,I,2005-12-06,2,폐업처리,2017-03-15 14:13:45,,2005-12-06,,경기도 의정부시 호원동 366번지 27  호,2005382007905600190,3820000,경기도 의정부시 범골로 38 (호원동),,03,폐업,,,031-877-6577
시티오브 엑스프레스,2014-04-10,204247.437307074,470741.852577205,2009년11월법개정전자료,2026-05-03 22:03:19,I,1995-02-07,2,폐업처리,2014-04-11 11:01:43,,1995-02-07,,경기도 의정부시 의정부동 176번지 8호,2000382007905600029,3820000,경기도 의정부시 태평로73번길 46 (의정부동),,03,폐업,,,031-846-7308
