자동환기여부,건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,편의시설여부,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상구여부,비상계단여부,기존게임업외업종명,제작취급품목내용,시설면적,소방시설여부,지상층수,청소년실수,청소년실여부,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,조명시설유무,조명시설조도,관리번호,개방자치단체코드,통로너비,제공게임물명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,방음시설여부,음향시설여부,특수조명여부,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총게임기수,총층수,지하층수,비디오재생기명
,,씨네비디오방,1999-12-23,192480.448629367,454130.620015583,유통관련업,비디오물감상실업,,2026-05-03 22:38:00,I,03,폐업,,,,,0,,,,,,2003-04-17 19:25:54,,1996-09-05,122-924,서울특별시 은평구 응암동 590-23,,,CDFF1242011996000001,3110000,,,,서울특별시 은평구 응암로13길 14  (응암동),,03,폐업,,,,,,,,,,,
,,조은 비디오감상실,2006-09-14,192985.784429928,457270.732166456,유통관련업,비디오물감상실업,,2026-05-03 22:38:00,I,03,폐업,,,,,,,,,,,2008-07-09 10:34:46,,1996-09-06,122-842,서울특별시 은평구 대조동 185-25,,,CDFF1242011996000002,3110000,,,,서울특별시 은평구 연서로28길 11  (대조동),,03,폐업,,,,,,,,,,,자동
,,아모르비디오방,2004-03-20,192858.217722796,457198.585211038,유통관련업,비디오물감상실업,,2026-05-03 22:38:00,I,03,폐업,,,,,,,,,,,2005-03-29 13:58:41,,1996-09-06,122-842,서울특별시 은평구 대조동 199-1 4층,,,CDFF1242011996000003,3110000,,,,"서울특별시 은평구 연서로26길 4  (대조동,4층)",,03,폐업,,,,,,,,,,,자동
,,씨티21비디오방,2005-03-25,192840.990110586,457336.571190515,유통관련업,비디오물감상실업,,2026-05-03 22:38:01,I,03,폐업,,,,,,,,,,,2005-03-29 13:17:06,,1996-09-06,122-959,서울특별시 은평구 갈현동 456-36 지층,,,CDFF1242011996000004,3110000,,,,"서울특별시 은평구 연서로 219  (갈현동,지층)",,03,폐업,,,,,,,22139294,,,,자동
,,신성 비디오감상실,1998-09-30,192691.867489849,457423.246944288,유통관련업,비디오물감상실업,,2026-05-03 22:38:01,I,03,폐업,,,,,0,,,,,,2003-04-17 19:25:54,,1996-09-06,122-959,서울특별시 은평구 갈현동 453-20,,,CDFF1242011996000005,3110000,,,,서울특별시 은평구 연서로29길 21-3  (갈현동),,03,폐업,,,,,,,,,,,
,,21세기비디오방,2003-03-17,192797.913568842,457557.619490861,유통관련업,비디오물감상실업,,2026-05-03 22:38:01,I,03,폐업,,,,,0,,0,,,,2003-04-17 19:25:54,,1996-09-06,122-809,서울특별시 은평구 갈현동 402-2 지층,,,CDFF1242011996000007,3110000,,,,"서울특별시 은평구 통일로 863-23  (갈현동,지층)",,03,폐업,,,,,,,,,0,0,
,,터미널영화관,2005-04-12,193519.842696237,456728.319721599,유통관련업,비디오물감상실업,,2026-05-03 22:38:01,I,03,폐업,,,,,,,,,,,2005-04-13 09:14:43,,1996-09-06,122-837,서울특별시 은평구 대조동 2-9 지층,,,CDFF1242011996000008,3110000,,,,"서울특별시 은평구 통일로 757  (대조동,지층)",,03,폐업,,,,,,,,,,,자동
,,라이브,2005-07-21,193550.329000062,456660.673521534,유통관련업,비디오물감상실업,,2026-05-03 22:38:01,I,03,폐업,,,,,,,,,,,2005-07-21 16:47:11,,1996-09-07,122-837,서울특별시 은평구 대조동 3-16 3층,,,CDFF1242011996000009,3110000,,,,"서울특별시 은평구 통일로71길 32  (대조동,3층)",,03,폐업,,,,,,,,,,,자동
,,피카디리비디오방,2000-12-27,192818.654190432,457464.592251225,유통관련업,비디오물감상실업,,2026-05-03 22:38:01,I,03,폐업,,,,,0,,0,,,,2003-04-17 19:25:54,,1996-09-09,122-809,서울특별시 은평구 갈현동 399-24 3층,,,CDFF1242011996000010,3110000,,,,"서울특별시 은평구 연서로29길 14-16  (갈현동,3층)",,03,폐업,,,,,,,,,0,0,
,,예원비디오방,1999-05-15,192567.388381826,456627.822179043,유통관련업,비디오물감상실업,,2026-05-03 22:38:01,I,03,폐업,,,,,0,,,,,,2003-04-17 19:25:54,,1996-09-19,122-813,서울특별시 은평구 갈현동 465-23,,,CDFF1242011996000012,3110000,,,,서울특별시 은평구 서오릉로 150  (갈현동),,03,폐업,,,,,,,,,,,
