건물지상층수,건물소유구분명,건물지하층수,사업장명,욕실수,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,발한실여부,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
3,임대,1,영진탕,,공동탕업,,,,,186636.978327805,444456.446712143,2026-05-03 22:42:26,I,01,영업,,2018-12-20 11:30:21,1972-10-18,209.94,152-834,서울특별시 구로구 고척동 253-14,N,,3160000-202-1972-00227,3160000,서울특별시 구로구 고척로32길 11 (고척동),08235,01,영업/정상,공동탕업,N,02-2612-1713,1,,1,
2,,,온정탕,,공동탕업,,,,,186899.30897632,444239.550542017,2026-05-03 22:42:26,I,01,영업,,2020-01-31 17:46:46,1982-11-03,287.20,152-836,서울특별시 구로구 고척동 312-13,N,,3160000-202-1982-00237,3160000,서울특별시 구로구 경인로35길 86 (고척동),08229,01,영업/정상,공동탕업,N,02-683-0214,1,,2,
4,자가,0,남금사우나,0,공동탕업,,,,,187107.972923942,443072.334253129,2026-05-03 22:42:51,I,01,영업,,2024-11-21 10:34:14,1987-09-11,539.22,152-815,서울특별시 구로구 개봉동 346-25,Y,,3160000-202-1987-00261,3160000,서울특별시 구로구 개봉로15길 15 (개봉동),08348,01,영업/정상,공동탕업,N,02-2681-9898,3,0,3,0
3,임대,1,우신탕,2,공동탕업,,,,,184941.706201411,443572.873488073,2026-05-03 22:42:56,I,01,영업,,2024-11-21 10:11:58,1988-11-02,307.16,152-883,서울특별시 구로구 궁동 213-21,Y,,3160000-202-1988-00267,3160000,서울특별시 구로구 오리로 1265 (궁동),08257,01,영업/정상,공동탕업,Y,02-2615-1870,0,1,0,1
3,임대,0,신호탕,0,공동탕업,,,,,189839.037397326,443082.280412939,2026-05-03 22:43:02,I,01,영업,,2024-11-21 10:11:38,1991-09-02,572.16,152-872,서울특별시 구로구 구로동 734-14,Y,,3160000-202-1991-00277,3160000,서울특별시 구로구 구로동로22길 17-10 (구로동),08311,01,영업/정상,공동탕업,N,02-612-3565,1,0,3,0
8,자가,2,제일탕,0,공동탕업,,,,,186968.288544829,442651.907780511,2026-05-03 22:43:04,I,01,영업,,2024-11-21 10:11:19,1996-05-07,623.09,152-815,서울특별시 구로구 개봉동 361-1,Y,,3160000-202-1996-00280,3160000,서울특별시 구로구 개봉로3길 51 (개봉동),08353,01,영업/정상,공동탕업,N,02-2617-1133,0,2,0,2
4,자가,1,삼원대중탕,0,공동탕업,,,,,186316.978959122,444753.769047762,2026-05-03 22:43:07,I,01,영업,,2024-11-21 10:10:57,1996-12-26,441.52,152-804,서울특별시 구로구 개봉동 115-2,Y,,3160000-202-1996-00287,3160000,서울특별시 구로구 고척로27길 67 (개봉동),08243,01,영업/정상,공동탕업,N,02-2617-1723,2,0,3,0
6,임대,1,대성탕,0,공동탕업,,,,,186080.434730583,443371.570967758,2026-05-03 22:43:09,I,01,영업,,2024-11-21 10:10:39,1997-11-10,446.24,152-896,서울특별시 구로구 오류동 137-8,Y,,3160000-202-1997-00296,3160000,서울특별시 구로구 오류로8길 57 (오류동),08341,01,영업/정상,공동탕업,N,02-2689-7999,0,1,0,1
5,임대,1,유전사우나,0,공동탕업,,,,,187455.362442348,442912.030216598,2026-05-03 22:43:09,I,01,영업,,2024-11-21 10:02:19,1998-12-30,486.62,152-812,서울특별시 구로구 개봉동 277-7,Y,,3160000-202-1998-00293,3160000,서울특별시 구로구 개봉로12길 43 (개봉동),08333,01,영업/정상,공동탕업,N,02-2611-4338,0,0,0,0
3,임대,1,개봉목욕탕,0,공동탕업,,,,,187307.924980657,443578.666315309,2026-05-03 22:43:10,I,01,영업,,2025-07-01 13:29:55,1998-01-07,429.00,152-090,서울특별시 구로구 개봉동 471-0 삼호A상가 지층동,Y,,3160000-202-1998-00297,3160000,"서울특별시 구로구 남부순환로95길 16, 지층동 (개봉동,삼호A상가)",08328,01,영업/정상,공동탕업,N,02-2689-0380,0,1,0,1
12,임대,1,호수대중목욕탕,0,공동탕업,,,,,187541.754954531,444897.757615026,2026-05-03 22:43:10,I,01,영업,,2024-11-21 10:00:57,2000-08-16,"1,221.00",152-837,서울특별시 구로구 고척동 329 청솔우성상가 지층동,Y,,3160000-202-2000-00001,3160000,"서울특별시 구로구 중앙로 101, 지층동 (고척동,청솔우성상가)",08228,01,영업/정상,공동탕업,N,02-2619-2177,0,1,0,1
5,자가,1,금강사우나,2,공동탕업,,,,,186274.371938259,444942.306774479,2026-05-03 22:43:11,I,01,영업,,2024-11-21 09:58:33,2000-08-30,462.00,152-804,서울특별시 구로구 개봉동 108-13,Y,,3160000-202-2000-00002,3160000,서울특별시 구로구 고척로27바길 6 (개봉동),08243,01,영업/정상,공동탕업,N,02-2617-3019,2,1,2,1
13,,2,오하시스싸우나,0,한증막업,,,,,187504.613167943,444886.798172714,2026-05-03 22:43:15,I,01,영업,,2024-11-21 09:53:48,2002-05-14,"1,485.00",152-837,서울특별시 구로구 고척동 333-0,Y,,3160000-202-2002-00004,3160000,서울특별시 구로구 고척로 238 (고척동),08228,01,영업/정상,한증막업,N,02-2619-8463,0,1,0,2
8,자가,2,오류24시사우나,2,공동탕업,,,,,186143.039450549,443851.276037986,2026-05-03 22:43:18,I,01,영업,,2024-11-21 09:53:30,2004-02-20,"1,016.00",152-893,"서울특별시 구로구 오류동 38-1 대서프라자 지하1,2층",Y,,3160000-202-2004-00003,3160000,"서울특별시 구로구 경인로23길 8 (오류동,대서프라자 지하1,2층)",08268,01,영업/정상,공동탕업,Y,02-2615-5055,0,1,0,2
