건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,,味차이,,2023-06-27,,206132.909754258,458436.655271044,관광사업,관광식당업,2026-05-03 22:37:51,I,03,폐업,,,,,,,,,,,2023-08-14 15:33:26,,2008-09-09,139-801,서울특별시 노원구 공릉동 312-24,CDFI3261042008000003,3100000,,서울특별시 노원구 동일로191가길 73 (공릉동),,03,폐업,,,,,,,,,,,,
,,(주)아워홈 실크스파이스,,2011-10-26,,,,,관광식당업,2026-05-03 22:52:13,I,03,폐업,,,,,,,,,,,2013-02-22 16:35:33,,1999-12-11,135-985,서울특별시 강남구 역삼동 GS강남타워 지하1층,CDFI3261041999000001,3220000,,,,03,폐업,,,,,,,20051008,,,,,
,,동전개발(주)우노코엑스,,2013-12-31,,205130.591678902,445590.096837802,,관광식당업,2026-05-03 22:52:14,I,03,폐업,,,,,,,,,,,2014-01-15 15:11:07,,2002-01-08,135-091,서울특별시 강남구 삼성동 159 코엑스몰 C-1,CDFI3261042002000001,3220000,,"서울특별시 강남구 영동대로 511 (삼성동,코엑스몰 C-1)",,03,폐업,,,,,,,,,,,,
,,(주)압구정 공을기,,2014-10-08,,202375.906191344,446320.935032071,,관광식당업,2026-05-03 22:52:14,I,03,폐업,,,,,,,,,,,2015-09-04 11:32:38,,2003-12-30,135-812,"서울특별시 강남구 논현동 7-14 정안빌딩 2,3층",CDFI3261042003000002,3220000,,"서울특별시 강남구 도산대로 174 (논현동,정안빌딩 2,3층)",,03,폐업,,,,,,,,,,,,
,,타이타이압구정,,2014-10-08,,,,,관광식당업,2026-05-03 22:52:14,I,03,폐업,,,,,,,,,,,2015-09-04 11:35:08,,2004-09-01,135-724,서울특별시 강남구 압구정동 현대백화점 본점 5층,CDFI3261042004000002,3220000,,,,03,폐업,,,,,,,02-3438-6105,,,,,
,,강가 신사점,,2014-10-31,,202473.802776108,447098.174184132,,관광식당업,2026-05-03 22:52:14,I,03,폐업,,,,,,,,,,,2015-09-04 11:28:16,,2005-06-28,135-894,서울특별시 강남구 신사동 610-5,CDFI3261042005000002,3220000,,서울특별시 강남구 논현로 868 (신사동),,03,폐업,,,,,,,34443610,,,,,
,,크리스탈제이드팰리스레스토랑,,2012-07-09,,,,,관광식당업,2026-05-03 22:52:15,I,03,폐업,,,,,,,,,,,2012-07-20 08:40:40,,2005-12-09,135-732,서울특별시 강남구 삼성동 그랜드인터콘티넨탈호텔 1층,CDFI3261042005000004,3220000,,,,03,폐업,,,,,,,02-3288-8138,,,,,
,,(주)타워차이,,2015-12-02,,204602.563399428,442794.574490766,,관광식당업,2026-05-03 22:52:15,I,03,폐업,,,,,,,,,,,2015-12-08 16:31:27,,2006-05-16,135-856,서울특별시 강남구 도곡동 467-29 타워팰리스 스포츠클럽 지상1층,CDFI3261042006000003,3220000,,"서울특별시 강남구 언주로30길 26 (도곡동,타워팰리스 스포츠클럽 지상1층)",,03,폐업,,,,,,,20577007,,,,,
,,태가원,,2016-02-05,,,,,관광식당업,2026-05-03 22:52:16,I,03,폐업,,,,,,,,,,,2016-02-17 14:52:59,,2006-11-30,135-842,서울특별시 강남구 대치동 대치현대아파트 101-109 983-1 해암빌딩 1층,CDFI3261042006000007,3220000,,,,03,폐업,,,,,,,02-556-5227,,,,,
,,(주)니하오마중원,,2016-02-01,,205430.675401509,445034.546016578,,관광식당업,2026-05-03 22:52:17,I,03,폐업,,,,,,,,,,,2016-02-16 09:18:35,,2007-07-09,135-846,서울특별시 강남구 대치동 945-11 지상2층,CDFI3261042007000001,3220000,,"서울특별시 강남구 테헤란로98길 14 (대치동,지상2층)",,03,폐업,,,,,,,02-501-6900,,,,,
