영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,물랑졸리,,205873.632122708,449076.360164134,2026-05-03 22:37:55,I,01,영업,0,,,,,,,,,2022-07-29 15:42:14,2022-07-29,,143-917,서울특별시 광진구 화양동 **-**,N,,3040000-134-2022-00219,,3040000,"서울특별시 광진구 아차산로**길 **-*, *층 (화양동)",05015,01,영업/정상,전자상거래(통신판매업),,,,
,자가,셀라케어,2018-10-15,205845.640820199,448878.432163797,2026-05-03 22:36:29,I,02,폐업,0,,,,,,,,,2018-10-15 15:30:47,2011-08-16,.00,143-917,서울특별시 광진구 화양동 **-**,N,,3040000-134-2011-00093,,3040000,서울특별시 광진구 아차산로**길 ** (화양동),05019,03,폐업,통신판매,,,,
,,씽킹빅,2006-12-22,206878.851530805,451690.578259804,2026-05-03 22:34:43,I,02,폐업,0,,,,,,,,,2004-09-07 00:00:00,2004-09-07,,143-901,서울특별시 광진구 중곡동 ***-* 현지오피스텔***호,N,,3040000-134-2004-00265,,3040000,,,03,폐업,다단계판매,,,,
,,이더랜드,2019-11-22,194203.816230628,443487.098585196,2026-05-03 22:32:31,I,02,폐업,0,,,,,,,,,2019-11-22 13:06:53,2018-01-10,,156-030,서울특별시 동작구 상도동 *** 상도*차갑을명가아파트,N,,3190000-134-2018-00003,,3190000,"서울특별시 동작구 국사봉길 ***, ***동 ***호 (상도동, 상도*차갑을명가아파트)",07050,03,폐업,전자상거래(통신판매업),,,,
,,더제이스킨&바디,2023-12-22,194870.38438442,444631.112679216,2026-05-03 22:32:53,I,02,폐업,0,,,,,,,,,2023-12-22 09:24:57,2021-10-29,,156-030,서울특별시 동작구 상도동 *** 상도*차두산위브트레지움아파트,N,,3190000-134-2021-00172,,3190000,"서울특별시 동작구 상도로**길 **, 업무시설동 *층 ***호 (상도동, 상도*차두산위브트레지움아파트)",06964,03,폐업,전자상거래(통신판매업),,,,
,,비아 인터네셔널,2024-11-05,195573.304039615,445868.076456773,2026-05-03 22:33:01,I,02,폐업,0,,,,,,,,,2024-11-05 09:09:50,2024-01-02,,156-813,서울특별시 동작구 본동 *** 유원강변아파트,N,,3190000-134-2024-00001,,3190000,"서울특별시 동작구 노량진로**가길 **, ***동 ***호 (본동, 유원강변아파트)",06902,03,폐업,전자상거래(통신판매업),,,,
,,국군복지단 국방부(위)군악대마트,,197169.288395329,444523.104084003,2026-05-03 22:32:49,I,01,영업,0,0,0,0,,,,0,,2022-06-28 16:56:10,2020-10-27,,156-080,서울특별시 동작구 동작동 산 **-* 국립서울현충원,N,,3190000-134-2020-00138,,3190000,"서울특별시 동작구 현충로 ***, 국립서울현충원 (동작동)",06984,01,영업/정상,영업장판매,02-2225-6392,,,
,,월드종합라이센스,2018-07-18,197130.588662494,443265.601679408,2026-05-03 22:31:59,I,02,폐업,0,,,,,,,,,2018-07-18 14:56:26,2005-01-12,,156-819,서울특별시 동작구 사당동 ***-*,N,,3190000-134-2005-00018,,3190000,서울특별시 동작구 사당로**사길 ** (사당동),06989,03,폐업,다단계판매,,,,
,,솔림원,2024-05-10,206232.014507331,450174.133962364,2026-05-03 22:36:35,I,02,폐업,0,0,0,0,,,,0,,2024-05-10 14:27:12,2011-08-12,.00,143-839,서울특별시 광진구 군자동 ***-***,N,,3040000-134-2011-00173,,3040000,"서울특별시 광진구 동일로**길 **-**, *층 *-*호 (군자동)",05001,03,폐업,전자상거래(통신판매업),0505-503-1212,,,
,자가,(주)딜리버리케어,2022-11-23,198262.008202,442392.834351809,2026-05-03 22:32:34,I,02,폐업,0,0,0,0,,,,0,,2022-11-23 13:43:58,2018-10-01,.00,156-824,서울특별시 동작구 사당동 ****-** 메종슈에뜨이수,N,,3190000-134-2018-00113,,3190000,"서울특별시 동작구 사당로**길 **, 메종슈에뜨이수 지*층 B***-*,*호 (사당동)",07013,03,폐업,전자상거래(통신판매업),070-7913-7942,,,
