건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,아파트,이화,,2016-06-23,,176428.796867676,446587.317410091,,외국인관광 도시민박업,2026-05-03 22:39:22,I,03,폐업,,,,213.24,213,19,,,,,2016-06-24 17:53:52,,2012-05-31,403-913,인천광역시 부평구 삼산동 494 엠코타운@ 106동 1903호,CDFI2262212012000001,3540000,일반주거지역,인천광역시 부평구 후정로 7 (삼산동),,03,폐업,,,아파트지역,,,,,20,1,,,
,아파트,코미하우스,,2018-11-05,,177033.488044345,444770.791508395,,외국인관광 도시민박업,2026-05-03 22:39:23,I,03,폐업,,,,168.02,168,6,,,,,2018-11-05 16:20:05,,2012-06-12,,인천광역시 부평구 부개동 497-1 신명보람@ 201동 603호,CDFI2262212012000002,3540000,일반주거지역,"인천광역시 부평구 길주남로 175, 201동 603호 (부개동, 신명보람아파트)",21346,03,폐업,,,아파트지역,,,,,20,1,,,
,아파트,MAX GUEST HOUSE,,2015-03-18,,176738.918283704,443154.133639119,,외국인관광 도시민박업,2026-05-03 22:39:24,I,03,폐업,,,,131.83,132,5,,,,,2015-03-19 14:23:35,,2013-01-11,403-774,인천광역시 부평구 부개동 512,CDFI2262212013000001,3540000,일반주거지역,인천광역시 부평구 부일로 69 (부개동),,03,폐업,,,아파트지역,,,,032-506-7325,24,2,,,
,아파트,vic-stone home,,2019-01-02,5000000,175537.8633501,444623.580271024,,외국인관광 도시민박업,2026-05-03 22:39:25,I,03,폐업,,,,155.05,155,,,,,,2019-01-02 17:21:38,,2015-05-07,,인천광역시 부평구 부평동 947 래미안부평 108동 3103호,CDFI2262212015000001,3540000,일반주거지역,"인천광역시 부평구 길주남로10번길 21, 108동 3103호 (부평동, 래미안부평)",21357,03,폐업,,,,,,,,,,,,
,아파트,인천아웃백게스트하우스,,2021-05-22,,175528.295207993,443813.383267079,,외국인관광 도시민박업,2026-05-03 22:39:26,I,03,폐업,Guesthouse,Incheon outback Guesthouse,,75.25,75,14,3,,,,2021-05-25 16:32:39,,2016-08-26,,인천광역시 부평구 부평동 204-9 투엠캐슬 906호,CDFI2262212016000001,3540000,일반상업지역,"인천광역시 부평구 주부토로 12, 906호 (부평동, 투엠캐슬)",21393,03,폐업,,,,,,,,15,1,,,
,단독주택,와이투컴퍼니,,2020-08-27,,175285.478062691,442873.314454883,,외국인관광 도시민박업,2026-05-03 22:39:26,I,03,폐업,,,,,,2,6,,,,2020-08-31 13:40:09,,2018-10-01,,인천광역시 부평구 부평동 743-54,CDFI2262212018000001,3540000,일반주거지역,인천광역시 부평구 남부역로5번길 10-8 (부평동),21408,03,폐업,,,,,,,,2,1,,,
,,가람하우스,,2020-02-06,250000000,176626.995444677,442541.032916002,,외국인관광 도시민박업,2026-05-03 22:39:26,I,03,폐업,,,,106.07,106,,5,,,,2020-02-06 19:08:25,,2019-01-21,,인천광역시 부평구 부개동 256-12,CDFI2262212019000001,3540000,주거지역,인천광역시 부평구 동수로162번길 14-1 (부개동),21421,03,폐업,,,,,,,,2,,,,
,아파트,DK&JUNE's house,,2022-12-27,,174813.598544308,445034.602705157,,외국인관광 도시민박업,2026-05-03 22:39:26,I,03,폐업,,,,84.87,85,15,1,,,,2022-12-28 08:06:14,,2019-10-04,,인천광역시 부평구 청천동 259 쌍용아파트,CDFI2262212019000003,3540000,일반주거지역,"인천광역시 부평구 길주로494번길 12, 3동 1302호 (청천동, 쌍용아파트)",21364,03,폐업,,,주택가주변,,,,,16,1,,,
,,Goose Stay,,2024-05-29,,175945.694477333,444901.012463159,,외국인관광 도시민박업,2026-05-03 22:39:27,I,03,폐업,,,,93.11,93,,2,,,,2024-05-30 13:27:39,,2023-10-06,,인천광역시 부평구 부평동 895,CDFI2262212023000001,3540000,,"인천광역시 부평구 신트리로 68-3, 302호 (부평동)",21355,03,폐업,,,,,,,,,,,,
,,브라운맨션,,2024-01-17,,176127.227020896,445095.55306963,,외국인관광 도시민박업,2026-05-03 22:39:27,I,03,폐업,,,,,,,,,,,2024-01-18 11:17:04,,2023-10-11,,인천광역시 부평구 갈산동 397-18,CDFI2262212023000002,3540000,,"인천광역시 부평구 장제로249번길 9, 4층 (갈산동)",21337,03,폐업,,,,,,,,,,,,
