사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가일자,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
의료법인 강릉동인병원,의료법인,,367907.742253301,476277.486798588,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,1981-08-06,,강원특별자치도 강릉시 포남동  1085번지 1호 동인병원 0동,,,,198164200001000003,6530000,"강원특별자치도 강릉시 강릉대로419번길 42-0, 0동 동인병원층 (포남동,동인병원)",,01,영업/정상,443,,,033-651-6161
희정의료재단,의료법인,,286428.645589124,511504.251536348,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,1989-09-09,,강원특별자치도 양구군 양구읍 정림리 188번지 3호,,,,198964200001000001,6530000,강원특별자치도 양구군 양구읍 양구새싹로 7-7,,01,영업/정상,60,,,033-854-7114
의산의료재단,의료법인,,367350.283573308,474653.814138023,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,1992-12-31,,강원특별자치도 강릉시 옥천동  286번지 6호,,,,199264200001000001,6530000,강원특별자치도 강릉시 옥가로 30 (옥천동),,01,영업/정상,120,,,033-649-0100
벧엘의료재단,의료법인,,347326.26760385,432331.809061914,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2000-04-04,,강원특별자치도 정선군 정선읍 봉양리 390번지 11호,,,,200064200001000001,6530000,강원특별자치도 정선군 정선읍 비봉로 53,,01,영업/정상,,,,033-563-1911
성심의료재단,의료법인,,286872.070865377,511751.83541539,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2001-10-25,,강원특별자치도 양구군 양구읍 상리 256번지 9호,,,,200164200001000004,6530000,강원특별자치도 양구군 양구읍 중심로 160,,01,영업/정상,65,,,033-482-3001
의료법인아나의료재단,의료법인,,367629.928350308,474812.329131094,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2005-05-30,,강원특별자치도 강릉시 옥천동  326번지,,,,200464200001000001,6530000,강원특별자치도 강릉시 용지로 129 (옥천동),,01,영업/정상,202,,,033-642-1100
의료법인 도경의료재단,의료법인,,380673.482125389,410583.346035512,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2009-04-13,,강원특별자치도 삼척시 도계읍 심포리 197번지 6호,,,,200964200001000001,6530000,강원특별자치도 삼척시 도계읍 강원남부로 632,,01,영업/정상,80,,,033-554-4717
의료법인 온세움의료재단,의료법인,,338197.766804118,522865.442373193,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2010-03-16,,강원특별자치도 속초시 교동  669번지 1호,,,,201064200001000002,6530000,강원특별자치도 속초시 중앙로 11 (교동),,01,영업/정상,299,,,033-639-8800
의료법인 금석의료재단,의료법인,,330015.564028515,410050.982404069,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2011-06-27,,강원특별자치도 영월군 영월읍 하송리 252번지 2호 푸른사랑병원 0동,,,,201164200001000001,6530000,"강원특별자치도 영월군 영월읍 중앙로 10-0, 0동 푸른사랑병원층 (푸른사랑병원)",,01,영업/정상,46,,,033-374-7575
의료법인 기호의료재단,의료법인,,386974.192783286,448557.45116627,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2012-10-31,,강원특별자치도 동해시 천곡동  884번지 0호 동해요양병원 0동 0호,,,,201264200001000004,6530000,"강원특별자치도 동해시 중앙로 218-0, 0동 동해요양병원층 0호 (천곡동,동해요양병원)",,01,영업/정상,624,,,033-530-0114
의료법인 유안의료재단,의료법인,,321414.822893207,458363.631656906,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2015-04-09,,,,,,201564200001000001,6530000,강원특별자치도 평창군 봉평면 기풍로 199,,01,영업/정상,50,,,
의료법인 신의의료재단,의료법인,,337836.052479028,522299.520965202,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2017-11-23,,강원특별자치도 속초시 교동  977번지 25호,,,,201764200001000001,6530000,강원특별자치도 속초시 온천로 291-0 (교동),,01,영업/정상,151,,,
의료법인 해솔의료재단,의료법인,,386995.199984986,448481.419892167,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2019-11-19,,강원특별자치도 동해시 천곡동  888번지 0호 한마음병원,,,,201964200001000001,6530000,"강원특별자치도 동해시 중앙로 210-0, 한마음병원층 (천곡동,한마음병원)",,01,영업/정상,109,,,033-533-8275
재단법인 정선의료재단,재단법인,,362023.877879962,415331.483541067,2026-04-06 03:03:03,U,BBBB,,0,,,2026-04-05 00:00:00,2019-12-23,,강원특별자치도 정선군 사북읍 사북리 305번지 16호 정선군립병원,,,,201964200001000002,6530000,"강원특별자치도 정선군 사북읍 지장천로 727-0, 정선군립병원층 (정선군립병원)",,01,영업/정상,30,,,033-592-3121
