영업소면적,사업장명,사업장구분명,업태구분명,폐업일자,위탁업체명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,실험실면적,실험실반,실험실번지,실험실산,실험실지역코드,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소건물층구분,실험실도로명주소코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소시군구코드,실험실도로명주소우편번호,실험실도로명특수주소,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실통,실험실호,실험실우편번호,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,엔트로피,환경전문공사업,,,,189700.355755718,446888.903509382,2026-04-12 03:03:03,U,BBBB,영업,,,,,,,,,,,,,,,,,,,,,2026-04-11 11:16:16,2012-01-17,,서울특별시 영등포구 양평동2가 37-1 동아프라임밸리 708호,318000067201200001,3180000,"서울특별시 영등포구 영등포로5길 19, 708호 (양평동2가, 동아프라임밸리)",,,01,영업/정상,,,02-817-0867
,에스케이에코엔지니어링 주식회사,환경전문공사업,토목 건설업,,,198176.159239663,452574.67151361,2026-04-09 03:03:03,U,BBBB,영업,,,,,,,,,,,,,,,,,,,,,2026-04-08 14:17:22,2021-11-23,,서울특별시 종로구 중학동 14 트윈 트리 빌딩,300000067202100003,3000000,"서울특별시 종로구 율곡로 6, 트윈 트리 빌딩 B동 (중학동)",,,01,영업/정상,,,02-3700-8509
,(주)갭텍,환경전문공사업,,,,,,2026-04-07 21:05:01,I,N,신규,,,,,,,,,,,,,,,,,,,,,2026-04-06 17:44:15,2026-04-06,,경기도 수원시 팔달구 인계동 1015-1 401호,641000009202600052,6410000,"경기도 수원시 팔달구 경수대로 424-1, 401호 (인계동)",,,01,영업/정상,,,
,주식회사 하이엔드엔지니어링,환경전문공사업,,,,,,2026-04-07 21:05:01,I,N,신규,,,,,,,,,,,,,,,,,,,,,2026-04-06 17:45:42,2026-04-06,,경기도 시흥시 배곧동 294-1 골드테크노밸리 329호,641000009202600053,6410000,"경기도 시흥시 서울대학로 77, 골드테크노밸리 329호 (배곧동)",,,01,영업/정상,,,
,에코심플렉스 주식회사,환경전문공사업,환경설비 건설업,,(주)한국이엠씨,184938.581939251,452014.702392576,2026-04-11 03:03:03,U,BBBB,영업,,,763,1,1150010500,38,,0,3155058,1150010500,1,11500,07789,5층 (마곡동),,,,,4,,2026-04-10 16:06:24,2024-02-07,,서울특별시 강서구 마곡동 763-4,315000067202400001,3150000,"서울특별시 강서구 마곡중앙14로 38, 5층 (마곡동)",07789,,01,영업/정상,,,02-3483-2900
,에코심플렉스 주식회사,환경전문공사업,,,,184938.581939251,452014.702392576,2026-04-11 03:03:03,U,BBBB,영업,,,763,1,1150010500,38,,0,3155058,1150010500,1,11500,07789,5층 (마곡동),,,,,4,,2026-04-10 09:41:36,2024-02-07,,서울특별시 강서구 마곡동 763-4,315000067202400002,3150000,"서울특별시 강서구 마곡중앙14로 38, 5층 (마곡동)",07789,,01,영업/정상,,,02-3483-2900
,(주)영동환경이앤텍,환경전문공사업,,,,284028.975216268,424549.946849535,2026-04-09 03:03:03,U,N,신규,,,,,,63,7,0,4457439,5113038000,0,51130,26400,,,,,,,,2026-04-08 15:07:11,2026-04-08,,,642000009201500023,6530000,강원특별자치도 원주시 판부면 오성마을길 63-7,26400,,01,영업/정상,,,
,주식회사 이앤에이,환경전문공사업,,2026-04-13,,293716.374704997,439710.421022806,2026-04-14 03:03:03,U,Q,폐업,,,37,0,5173031032,56,0,0,4478305,5173031032,0,51730,25249,,,,,,11,25249,2026-04-13 17:20:00,2026-04-13,,강원특별자치도 횡성군 우천면 양적리 37-11,653000009202500001,6530000,강원특별자치도 횡성군 우천면 수남로266번길 56,25249,,03,폐업,,,
,(주)태영건설,환경전문공사업,,,,189541.850018502,435187.738812827,2026-04-08 21:05:01,I,N,신규,,,,,,,,,,,,,,,,,,,,,2026-04-07 17:32:00,2026-04-07,,경기도 광명시 일직동 512-3,641000009202600054,6410000,경기도 광명시 신기로 20(일직동),14345,,01,영업/정상,,,
,(주)바이오워터,환경전문공사업,,,,,,2026-04-08 21:05:01,I,N,신규,,,,,,,,,,,,,,,,,,,,,2026-04-07 17:36:30,2026-04-07,,경기도 포천시 소흘읍 송우리 68-3 A동,641000009202600055,6410000,"경기도 포천시 소흘읍 솔모루로 164, A동 2층",,,01,영업/정상,,,
