건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
2,임대,0,고클린,건물위생관리업,,,,,284496.05309005,426184.299184774,2026-04-11 03:03:03,U,01,영업,1,2026-04-10 15:14:02,2026-04-02,42.37,,강원특별자치도 원주시 단구동 520-1,N,,4191000-206-2026-00016,4191000,"강원특별자치도 원주시 치악로1735번길 60, 1층 일부호 (단구동)",26446,01,영업/정상,건물위생관리업,,1,0,1,0
0,임대,0,광인에스테이트서비스 주식회사,건물위생관리업,,,,,195547.140326252,447976.775939762,2026-04-09 22:51:56,I,01,영업,0,2026-04-08 16:17:17,2026-04-08,6.60,140-040,서울특별시 용산구 산천동 202 삼성테마트,N,0,3020000-206-2026-00002,3020000,"서울특별시 용산구 원효로 51, 3층 308호 (산천동, 삼성테마트)",04359,01,영업/정상,건물위생관리업,02-540-1799,3,,,
0,,0,주식회사 한결솔루션,건물위생관리업,,,,,205142.103666569,451167.624821007,2026-04-09 22:21:52,I,01,영업,0,2026-04-08 10:09:27,2026-04-08,44.74,130-843,서울특별시 동대문구 장안동 413-5 JAX타워,N,0,3050000-206-2026-00004,3050000,"서울특별시 동대문구 천호대로 357, JAX타워 4층 403호,404호 (장안동)",02633,01,영업/정상,건물위생관리업,,4,,4,
0,,0,(주)프라임파트너스,건물위생관리업,,,,,203931.098064589,444622.849264371,2026-04-09 22:21:54,I,01,영업,0,2026-04-08 09:56:58,2026-04-08,41.70,135-513,서울특별시 강남구 역삼동 702-13 성지하이츠1,N,0,3220000-206-2026-00006,3220000,"서울특별시 강남구 테헤란로 313, 성지하이츠1 6층 601호 (역삼동)",06151,01,영업/정상,건물위생관리업,,6,,6,
0,임대,0,전문크린,건물위생관리업,,,,,221081.109407118,434203.131254481,2026-04-09 21:21:51,I,01,영업,0,2026-04-08 11:36:28,2026-04-08,36.08,464-100,경기도 광주시 탄벌동 544-2,N,0,5540000-206-2026-00007,5540000,"경기도 광주시 회안대로 639, 2층 201호 (탄벌동)",12748,01,영업/정상,건물위생관리업,,2,,2,
0,,0,스마트케어클린,건물위생관리업,,,,,187619.596959162,444186.923109714,2026-04-07 22:21:14,I,01,영업,0,2026-04-06 10:14:41,2026-04-06,18.00,152-828,서울특별시 구로구 고척동 103-4 고척산업용품종합상가,N,1,3160000-206-2026-00006,3160000,"서울특별시 구로구 중앙로3길 50, 고척산업용품종합상가 가동 2층 가225호 (고척동)",08225,01,영업/정상,건물위생관리업,,2,,2,
0,,0,(주)지엠리얼티파트너스,건물위생관리업,,,,,202625.088754547,445889.622770298,2026-04-07 22:21:54,I,01,영업,0,2026-04-06 15:43:09,2026-04-06,40.00,135-818,서울특별시 강남구 논현동 86 금강빌딩,N,0,3220000-206-2026-00005,3220000,"서울특별시 강남구 논현로 708, 금강빌딩 2층 2호,3호 (논현동)",06052,01,영업/정상,건물위생관리업,,,,,
2,,1,(주)피코,건물위생관리업,,,,,197178.385508551,415375.949375507,2026-04-07 21:51:53,I,01,영업,0,2026-04-06 11:03:49,2024-01-04,151.40,441-851,경기도 수원시 권선구 오목천동 551-6,N,6,3760000-206-2024-00019,3740000,"경기도 수원시 권선구 오목천로 59, 3층 (오목천동)",16636,01,영업/정상,건물위생관리업,031-213-4115,2,0,2,0
,,,(주)그린에코시스템,건물위생관리업,,,,,179963.528648272,443305.210001312,2026-04-07 21:21:51,I,01,영업,,2026-04-06 15:52:35,2026-04-06,.00,,경기도 부천시 원미구 심곡동 305-3 지하1층 일부,N,,3871000-206-2026-00004,3860000,"경기도 부천시 원미구 장말로 289, 지하1층 일부 (심곡동)",14611,01,영업/정상,건물위생관리업,,,,,
0,,0,청아람케어,건물위생관리업,,,,,178684.46883454,463167.696305969,2026-04-07 21:21:50,I,01,영업,0,2026-04-06 13:48:50,2026-04-06,5.00,411-838,경기도 고양시 일산서구 주엽동 110 효원메이저 1002호 일부(내부261),N,0,4100100-206-2026-00002,3940000,"경기도 고양시 일산서구 중앙로 1449, 효원메이저 1002호 일부(내부261)호 (주엽동)",10387,01,영업/정상,건물위생관리업,,,,,
0,자가,0,(주)행복한생각들,건물위생관리업,,,,,199310.960632204,436133.924232434,2026-04-07 21:21:52,I,01,영업,0,2026-04-06 14:46:48,2026-04-06,15.50,427-800,경기도 과천시 별양동 1-13 제일쇼핑,Y,0,3970000-206-2026-00002,3970000,"경기도 과천시 별양상가2로 14, 제일쇼핑 2층 230호 (별양동)",13837,01,영업/정상,건물위생관리업,,,,,
9,임대,2,오산환경,건물위생관리업,,,,,206188.176264159,404410.688515698,2026-04-07 21:51:54,I,01,영업,0,2026-04-06 15:37:09,2026-04-06,3.30,447-805,경기도 오산시 원동 349-7 코스모타워 2층 201호 일부,N,0,4000000-206-2026-00006,4000000,"경기도 오산시 오산로160번길 15, 코스모타워 2층 201호 일부 (원동)",18143,01,영업/정상,건물위생관리업,,2,0,2,0
0,,0,워터탱크,건물위생관리업,,,,,349904.146154817,465221.889257738,2026-04-07 21:21:50,I,01,영업,0,2026-04-06 10:37:12,2026-04-06,70.00,,강원특별자치도 평창군 대관령면 횡계리 376-21,N,1,4281000-206-2026-00002,4281000,"강원특별자치도 평창군 대관령면 올림픽로 18, 2층 203호",25347,01,영업/정상,건물위생관리업,,,,,
0,,0,주식회사 동명티알엠,건물위생관리업,,,,,192220.634825499,409210.688140443,2026-04-07 21:51:52,I,01,영업,0,2026-04-06 16:51:49,2026-04-06,4.50,,경기도 화성시 만세구 팔탄면 기천리 230-5 팔탄면 기천리 단독주택 A동 1층 일부(101호),N,0,5740000-206-2026-00009,5530000,"경기도 화성시 만세구 팔탄면 건달산로128번길 58, 팔탄면 기천리 단독주택 A동 1층 일부(101호)",18526,01,영업/정상,건물위생관리업,,,,,
,,,진화 주식회사,건물위생관리업,,,,,190961.514557758,410808.297888504,2026-04-09 03:03:03,U,01,영업,,2026-04-08 12:33:48,2026-04-06,92.00,,경기도 화성시 효행구 비봉면 청요리 291-9 1동 2층,N,,5750000-206-2026-00003,5530000,"경기도 화성시 효행구 비봉면 주석로 719, 1동 2층",18525,01,영업/정상,건물위생관리업,031-224-4050,,,,
0,,0,(주)엠에스시스템아이엔씨,건물위생관리업,,,,,176759.9,448182.77,2026-04-11 03:03:03,U,01,영업,0,2026-04-10 09:30:01,2022-01-10,137.60,407-813,인천광역시 계양구 계산동 1080-7 미래사랑빌딩,N,4,3550000-206-2022-00006,3550000,"인천광역시 계양구 오조산로57번길 7-1, 미래사랑빌딩 8층 802호 (계산동)",21069,01,영업/정상,건물위생관리업,032-549-6095,,,,
2,임대,0,와이제이(YJ)클린환경,건물위생관리업,,,,,260477.930700134,508440.545443123,2026-04-14 03:03:03,U,01,영업,0,2026-04-13 13:23:37,2023-04-18,21.25,,강원특별자치도 화천군 하남면 거례리 450-3 1층 160호,N,0,4311000-206-2023-00001,4311000,"강원특별자치도 화천군 하남면 춘화로 3066, 1층 160호",24142,01,영업/정상,건물위생관리업,,2,,,
0,,0,럭키클린,건물위생관리업,,,,,175322.829762396,433304.243386176,2026-04-08 22:53:36,I,01,영업,0,2026-04-07 15:41:13,2022-03-24,5.00,405-825,인천광역시 남동구 논현동 632-1 칼리오페,N,0,3530000-206-2022-00016,3530000,"인천광역시 남동구 논고개로123번길 35, 칼리오페 에이동 817-868호 (논현동)",21653,01,영업/정상,건물위생관리업,,,,,
,,,무궁화홈크린,건물위생관리업,,,,,182656.116635666,446038.401933207,2026-04-08 21:21:50,I,01,영업,,2026-04-07 15:34:00,2026-04-07,.00,,경기도 부천시 오정구 작동 64-1,N,,3891000-206-2026-00002,3860000,"경기도 부천시 오정구 까치로105번길 12-19, 1층 일부호 (작동)",14474,01,영업/정상,건물위생관리업,1588-0581,,,,
0,임대,0,주식회사 오투컴퍼니,건물위생관리업,,,,,222820.596467192,434019.84777839,2026-04-08 21:21:51,I,01,영업,0,2026-04-07 14:03:54,2026-04-07,12.00,464-807,경기도 광주시 역동 8-20,N,0,5540000-206-2026-00006,5540000,"경기도 광주시 중앙로 95-3, 602-4호 (역동)",12759,01,영업/정상,건물위생관리업,,6,,6,
0,,0,(주)한국위생연구소,건물위생관리업,,,,,198255.761425267,442315.07631672,2026-04-11 22:21:51,I,01,영업,0,2026-04-10 11:44:26,2020-10-15,105.52,156-824,서울특별시 동작구 사당동 1007-32,N,0,3190000-206-2020-00004,3190000,"서울특별시 동작구 사당로30길 41, 3층 (사당동)",07013,01,영업/정상,건물위생관리업,02-2231-3238,,1,,1
0,,0,대성하우징,건물위생관리업,,,,,210986.460698452,441725.293491662,2026-04-11 22:21:52,I,01,영업,0,2026-04-10 09:49:28,2016-12-21,11.12,138-960,서울특별시 송파구 문정동 634 가든파이브라이프,N,0,3230000-206-2016-00054,3230000,"서울특별시 송파구 충민로 66, 가든파이브라이프 제에프-9121호 (문정동)",05838,01,영업/정상,건물위생관리업,02-6403-4647,,,,
