사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
중앙동물병원,,205168.265613105,456283.72045511,2026-04-14 03:03:03,U,0000,정상,2026-04-13 10:58:05,,2007-03-29,48.3,,서울특별시 성북구 석관동 268-11,307000001020070001,3070000,000,서울특별시 성북구 돌곶이로 56 (석관동),02784,,01,영업/정상,,,
24시루시드동물메디컬센터,,202635.07229069,456360.433254943,2026-04-07 03:03:03,U,0000,정상,2026-04-06 10:41:08,,2019-01-30,0,,서울특별시 강북구 미아동 42-11 덕신빌딩 4층,308000001020190001,3080000,000,"서울특별시 강북구 월계로 3, 덕신빌딩 4층 (미아동)",01220,,01,영업/정상,,,02-941-7900
동물사랑동물병원,,198208.255,420434.24,2026-04-11 03:03:03,U,0000,정상,2026-04-10 15:23:58,,2003-12-31,0,,경기도 수원시 팔달구 화서동 724-4,374000001020030020,3740000,000,경기도 수원시 팔달구 일월로22번길 15 (화서동),,,01,영업/정상,,,031-298-7502
미래동물의료센터,,211414.975241532,431396.057503657,2026-04-14 03:03:03,U,0000,정상,2026-04-13 14:55:13,,2017-07-13,318.5,,경기도 성남시 분당구 서현동 80-1,378000001020170011,3780000,000,"경기도 성남시 분당구 서현로255번길 1, 1층 (서현동)",13572,,01,영업/정상,,,031-705-2475
마포아이뷰 안과동물병원,,194846.214072081,448803.139538176,2026-04-14 22:05:16,I,0000,정상,2026-04-13 10:21:30,,2026-04-13,,,서울특별시 마포구 용강동 179,313000001020260002,3130000,000,"서울특별시 마포구 토정로31길 12, 2층 (용강동)",04166,,01,영업/정상,,,02-6952-7526
쉼터동물병원,,169646.050126393,457341.243800072,2026-04-14 23:08:11,I,0000,정상,2026-04-13 16:43:32,,2026-04-13,200,,인천광역시 서구 마전동 36-4,356000001020260002,3560000,000,인천광역시 서구 가현산로23번길 36 (마전동),22603,,01,영업/정상,,,
화성특례시 반려동물 진료센터,,,,2026-04-14 21:32:01,I,0000,정상,2026-04-13 17:20:04,,2026-04-13,306.89,,경기도 화성시 병점구 송산동 228-4,576000001020260001,5530000,O00,"경기도 화성시 병점구 효심2나길 6, 2층 (송산동)",18355,,01,영업/정상,,,031-5189-4921
본 동물의료센터,,200595.90836099,422245.119156235,2026-04-09 03:03:03,U,0000,정상,2026-04-08 09:36:02,,2015-08-04,1950.3,,경기도 수원시 장안구 송죽동 499 블루버드 빌딩,374000001020150008,3740000,000,"경기도 수원시 장안구 경수대로 937, 블루버드 빌딩 (송죽동)",16305,,01,영업/정상,,,031-248-8275
24시 숨 동물병원,,202556.937357192,417421.935882249,2026-04-07 03:03:03,U,0000,정상,2026-04-06 13:33:12,,2017-07-18,620.75,,경기도 수원시 권선구 권선동 1022-7,374000001020170008,3740000,000,"경기도 수원시 권선구 권선로 715, 1,2(일부)층 (권선동)",16571,,01,영업/정상,,,031-548-2475
강서늘봄동물병원,,186435.657737883,449713.364048961,2026-04-11 22:02:00,I,0000,정상,2026-04-10 10:38:37,,2026-04-10,0,,서울특별시 강서구 화곡동 986-16 경일빌딩,315000001020260001,3150000,000,"서울특별시 강서구 화곡로 277, 경일빌딩 1층 (화곡동)",07687,,01,영업/정상,,,
세교 벤 동물병원,,,,2026-04-11 21:32:00,I,0000,정상,2026-04-09 10:24:32,,2026-04-09,0,,경기도 오산시 가수동 408-4 101호,400000001020260002,4000000,000,"경기도 오산시 초평중앙로 127-4, 101호 (가수동)",18125,,01,영업/정상,,,031-375-8882
24시 지구촌 동물메디컬 센터,,189826.582553287,443997.249541906,2026-04-10 03:03:03,U,0000,정상,2026-04-09 14:58:27,,1999-12-09,84,,서울특별시 구로구 구로동 512-2 하이빌골드타워,316000001019990002,3160000,000,"서울특별시 구로구 구로중앙로 107, 하이빌골드타워 A동 B101호 (구로동)",08283,,01,영업/정상,,,
힐링동물병원 &  건강검진센터,,195405.15774039,449263.217634202,2026-04-07 03:03:03,U,0000,정상,2026-04-06 17:33:41,,2013-03-15,0,,서울특별시 마포구 공덕동 385-65 공덕SK리더스뷰,313000001020130001,3130000,000,"서울특별시 마포구 백범로31길 7, 101동 104,105호 (공덕동, 공덕SK리더스뷰)",04147,,01,영업/정상,,,02-713-8275
동물의료센터24인치,,192103.614282017,444816.002381357,2026-04-08 03:03:03,U,0000,정상,2026-04-07 10:34:17,,2025-05-26,0,,서울특별시 영등포구 신길동 236 JS타워,318000001020250001,3180000,000,"서울특별시 영등포구 가마산로 496, JS타워 205~207,303~304,306~307호 (신길동)",07388,,01,영업/정상,,,02-6953-2427
