사업장명,사업장부지용도구분명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지면적,지번주소,제조구분명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자
(주)한국나노가스,,제조,,262385.762931651,419825.689597402,2026-04-10 03:03:03,U,01,영업중,2026-04-09 09:42:11,2016-11-04,,경기도 여주시 강천면 간매리 132-1,충전,2016570003502100001,5700000,경기도 여주시 강천면 강문로 480,12616,,01,영업/정상,,
에스케이텔레콤(주),업무용,제조,,198614.978577595,451577.838950867,2026-04-14 03:03:03,U,01,영업중,2026-04-13 17:53:03,2020-09-24,,서울특별시 중구 을지로2가 11 SK텔레콤빌딩,냉동,2020301017702100002,3010000,"서울특별시 중구 을지로 65, SK텔레콤빌딩 지하6층 (을지로2가)",04539,,01,영업/정상,,
국립평화통일민주교육원,지정되지않음,제조,2026-04-08,200234.13213979,459923.973286241,2026-04-10 03:03:03,U,03,폐업,2026-04-09 15:41:58,2011-06-09,,서울특별시 강북구 수유동 535-353,냉동,2011308013902100001,3080000,,,,03,폐업,,
롯데쇼핑(주)롯데몰 김포공항점,,제조,,182524.823835629,451438.25089679,2026-04-14 03:03:03,U,01,영업중,2026-04-13 12:31:49,2011-07-12,,"서울특별시 강서구 방화동 886 김포공항, 롯데몰, 스카이시티",냉동,2011315012302100003,3150000,"서울특별시 강서구 하늘길 38, 김포공항, 롯데몰, 스카이시티 (방화동)",07505,,01,영업/정상,,
에코심플렉스 주식회사,지정되지않음,제조,,184841.846415698,452316.417141747,2026-04-08 03:03:03,U,01,영업중,2026-04-07 16:39:25,2021-09-07,,서울특별시 강서구 마곡동 61-1 수소충전소,충전,2021315020402100001,3150000,"서울특별시 강서구 양천로 225, 수소충전소 (마곡동)",07520,2025-10-28,01,영업/정상,,
(주)세우비디,기타,제조,,211725.257519354,445195.482107596,2026-04-11 03:03:03,U,01,영업중,2026-04-10 09:16:43,1991-11-01,,서울특별시 송파구 오금동 4-14,냉동,1991323007802200041,3230000,서울특별시 송파구 중대로 317 (오금동),,,01,영업/정상,,
홈플러스(주) 신도림점,,제조,,190005.132500398,445250.538868558,2026-04-08 03:03:03,U,01,영업중,2026-04-07 17:37:39,2007-09-11,0,서울특별시 구로구 신도림동 337,냉동,2007316011702100001,3160000,서울특별시 구로구 경인로 661 (신도림동),,,01,영업/정상,,
주식회사 케이티,,제조,,209337.104501753,445744.864426145,2026-04-10 03:03:03,U,01,영업중,2026-04-09 15:35:24,2020-06-15,,서울특별시 송파구 신천동 29-1,,2020323024802100002,3230000,서울특별시 송파구 잠실로 209 (신천동),05552,,01,영업/정상,,
인천가좌 액화수소 자동차 충전소,공업용,제조,,169040.822210665,443356.012018342,2026-04-08 03:03:03,U,01,영업중,2026-04-07 14:12:23,2023-08-31,5521,인천광역시 서구 가좌동 178-131,충전,2023356025902100001,3560000,인천광역시 서구 보도진로30번길 26 (가좌동),22847,,01,영업/정상,,
㈜집합건물과 사람들,,제조,,166236.146855942,444829.608007217,2026-04-09 03:03:03,U,01,영업중,2026-04-08 10:24:07,2023-11-02,,인천광역시 서구 원창동 394-13,냉동,2023356025902100002,3560000,인천광역시 서구 북항로 261 (원창동),22856,,01,영업/정상,,
씨제이제일제당(주)인천제3공장,기타,제조,,165509.01008669,439651.998814635,2026-04-11 03:03:03,U,01,영업중,2026-04-10 09:30:48,1990-09-22,,"인천광역시 중구 항동7가 45 씨제이제일제당, 삼양유지(주)",냉동,2015349011902100003,3490000,"인천광역시 중구 축항대로87번길 30, 씨제이제일제당, 삼양유지(주) (항동7가)",22347,,01,영업/정상,,
씨제이제일제당(주)인천1공장,주상기타,제조,,167771.380020709,439842.138139522,2026-04-14 03:03:03,U,01,영업중,2026-04-13 06:54:40,1996-12-20,,인천광역시 중구 신흥동3가 7-121,냉동,1996349001202100042,3490000,인천광역시 중구 아암대로 20 (신흥동3가),,,01,영업/정상,,
한영기업(주)인천지점,,제조,,174703.673985973,432585.734047464,2026-04-09 03:03:03,U,01,영업중,2026-04-08 15:28:20,2022-07-05,,인천광역시 남동구 고잔동 163-20 한영기업(주),충전,2022353017902200001,3530000,"인천광역시 남동구 고잔로 8-13, 한영기업(주) (고잔동)",21677,,01,영업/정상,,
씨제이제일제당(주) 인천2공장,,제조,,166767.508712755,437648.939305631,2026-04-08 03:03:03,U,01,영업중,2026-04-07 15:32:34,2011-12-05,,인천광역시 중구 신흥동3가 64,냉동,2011349007502210274,3490000,"인천광역시 중구 서해대로140번길 49, CJ제일제당(주) (신흥동3가)",22341,,01,영업/정상,,
