사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업내용,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
상승AD,,199173.646607904,485952.086646408,2026-04-11 03:03:03,U,20,정상,2026-04-10 17:59:51,2023-09-04,경기도 양주시 남면 상수리 ***-*,2023559023708500006,5590000,경기도 양주시 남면 감악산로**번길 ***,11409,,"광고물제작, 안내판, 현수막",01,영업/정상,,,
이즈사인,2026-04-09,199301.186579795,451507.933810125,2026-04-10 03:03:03,U,40,폐업,2026-04-09 14:28:21,2019-11-15,서울특별시 중구 을지로*가 ***-**,2022301018608500005,3010000,"서울특별시 중구 충무로 **-*, *층 (을지로*가)",04549,,옥외광고물 디자인·제작·설치,03,폐업,,,
해누리광고기획,,199522.490411828,451106.979383922,2026-04-07 03:03:03,U,20,정상,2026-04-06 13:16:41,2026-04-06,서울특별시 중구 충무로*가 ***-**,2012301011108500008,3010000,"서울특별시 중구 충무로*길 **, ***호 (충무로*가)",04557,,간판 및 실사출력,01,영업/정상,,,02-2264-5560
SM광고,2026-04-07,195374.992241211,442238.390591362,2026-04-08 03:03:03,U,40,폐업,2026-04-07 14:05:54,2026-04-07,서울특별시 관악구 봉천동 ***-**,2018320011608500004,3200000,서울특별시 관악구 봉천로 *** (봉천동),08758,,간판제작,03,폐업,,,
트리니티에셋매니지먼트 주식회사,,204443.112716057,446883.752194794,2026-04-09 03:03:03,U,20,정상,2026-04-08 15:26:50,2023-07-03,서울특별시 강남구 청담동 ** 청담빌딩,2023322017408500010,3220000,"서울특별시 강남구 도산대로 ***, 청담빌딩 (청담동)",06071,,"옥외광고물 제작 및 설치, 옥외광고업 영업대행",01,영업/정상,,,02-514-4875
포스텍네트웍스(주),,189350.592434703,442143.206055455,2026-04-09 03:03:03,U,20,정상,2026-04-08 12:56:04,2018-02-07,서울특별시 금천구 가산동 ***-*** 가산 W CENTER ****호,2013317015208500006,3170000,"서울특별시 금천구 가산디지털*로 ***, 가산 W CENTER **** **** **** ****호 (가산동)",08503,,옥외광고물(LED전광판 등) 제작·설치 및 대행,01,영업/정상,,,
(주)파인가든,,211076.676886809,442049.870090752,2026-04-09 03:03:03,U,20,정상,2026-04-08 13:26:15,2019-08-16,서울특별시 송파구 문정동 **-* 지하*층,2013323021108500001,3230000,서울특별시 송파구 송파대로 ***-* (문정동),05817,,옥외광고업,01,영업/정상,,,
마리아트,,172620.550093935,433868.393629335,2026-04-10 03:03:03,U,20,정상,2026-04-09 09:28:22,2026-04-09,인천광역시 남동구 고잔동 *** (주)한국볼타,2010353007708500010,3530000,인천광역시 남동구 남동서로 *** (주)한국볼타 *층 (고잔동),21633,,광고물제작 및 대행,01,영업/정상,,,
런앤메이크(RUN&MAKE) 협동조합,,196684.112776708,417215.21076854,2026-04-11 03:03:03,U,20,정상,2026-04-10 13:55:41,2025-12-21,경기도 수원시 권선구 호매실동 ****-*,2025374040908500019,3740000,"경기도 수원시 권선구 호매실로**번길 **, ***호 (호매실동)",16630,,옥외광고업,01,영업/정상,,,
단디애드,2026-04-10,211438.059905043,437854.931923593,2026-04-11 03:03:03,U,40,폐업,2026-04-10 13:05:16,2024-03-15,경기도 성남시 수정구 태평동 ****,2024379004308500002,3780000,경기도 성남시 수정구 수정북로*번길 ** (태평동),13310,,옥외광고사업(광고물 및 게시시설 제작업 불가),03,폐업,,,
주식회사 굿사인,,213284.742417906,433565.737288175,2026-04-09 03:03:03,U,20,정상,2026-04-08 10:36:11,2023-08-02,,2021381005308500012,3780000,"경기도 성남시 분당구 판교로 ***, 분당테크노파크 E동 ***호 (야탑동)",13516,,간판 및 광고물 제조업,01,영업/정상,,,
