사업장명,업태보관및창고업,업태제조업,업태판매업,업태운송및택배업,폐업일자,법인여부명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,시설/장비현황,냉동냉장창고면적,냉동냉장창고동수,일반창고면적,일반창고동수,보관장소면적,보관요율,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
주식회사 두발로싹스,1,1,1,,,법인,209579.57553436,470129.852826137,2026-04-08 03:03:03,U,01,영업중,9,0,0,0,271.06,1,0,0,2026-04-07 16:35:36,2026-03-13,,경기도 의정부시 고산동 977-1,2026382039532500001,3820000,경기도 의정부시 쌀광길 69 (고산동),11818,,01,영업/정상,,,
쿠팡풀필먼트서비스 유한회사 INC30,1,,,,,법인,170061.257720232,444768.144417543,2026-04-14 03:03:03,U,01,영업중,350,"Pallet Rack, 지게차, Conveyor, 메자닌, MTS, 수직반송기, 네트워크 장비 등",0,0,46333.69,1,0,,2026-04-13 19:03:59,2023-12-21,,인천광역시 서구 석남동 223-693 인천 석남동 에스앤케이 복합물류센터,2023356019032500023,3560000,"인천광역시 서구 거북로 13, 인천 석남동 에스앤케이 복합물류센터 (석남동)",22793,,01,영업/정상,,,02-6150-8830
쿠팡풀필먼트서비스유한회사(INC4),1,,,,,법인,165187.269375104,451598.707360442,2026-04-14 03:03:03,U,01,영업중,1000,"pallet rack. 지게차, conveyor. 메자닌, MTS, 수직반송기, 네트워크 장비 등",0,0,103545.64,1,0,,2026-04-13 19:05:39,2024-04-25,,인천광역시 서구 오류동 1545-2 쿠팡 인천메가물류센터,2024356019032500015,3560000,"인천광역시 서구 갑문4로 25, 쿠팡 인천메가물류센터 (오류동)",22849,,01,영업/정상,,,
쿠팡풀필먼트서비스유한회사(INC5),1,,,,,법인,164704.455589381,451600.347754566,2026-04-14 03:03:03,U,01,영업중,200,"pallet rack, 지게차, conveyor, 메자닌, MTS, 수직반송기, 네트워크장비 등",0,0,50210.46,1,0,,2026-04-13 19:10:50,2024-04-25,,인천광역시 서구 오류동 1544-2 스카이박스2,2024356019032500016,3560000,"인천광역시 서구 갑문3로 34, 스카이박스2 (오류동)",22849,,01,영업/정상,,,
쿠팡풀필먼트서비스 유한회사 TW1,,,,1,,법인,165848.473861556,444693.815639697,2026-04-14 03:03:03,U,01,영업중,50,"컨베이어(수동분류기),포장작업대,수평랙",0,0,14524.43,1,0,,2026-04-13 19:07:28,2024-07-04,,인천광역시 서구 원창동 394-15,2024356019032500022,3560000,"인천광역시 서구 북항단지로 91, 10층 (원창동)",22856,,01,영업/정상,,,070-5147-8767
"쿠팡풀필먼트서비스 유한회사(INC26,28,36)",1,,,,,법인,167198.018709993,445636.155156436,2026-04-14 03:03:03,U,01,영업중,1140,"팔래트 랙,지게차,컨베이어,메자닌 등",0,0,224636.59,1,0,,2026-04-13 19:03:08,2024-11-05,,인천광역시 서구 원창동 391-9,2024356029132500007,3560000,"인천광역시 서구 북항로120번길 55, 청라로지스틱스센터 2~9층 (원창동)",22853,,01,영업/정상,,,
쿠팡풀필먼트서비스 유한회사 INC13,1,,,1,,법인,167380.239346316,445439.523939747,2026-04-14 03:03:03,U,01,영업중,70,"Pallet Rack, 지게차, Conveyor, 메자닌, MTS, 수직반송기, 네트웍스 장비 등",0,0,33996.12,1,0,,2026-04-13 19:00:08,2024-12-23,,인천광역시 서구 원창동 391-18,2024356029132500009,3560000,인천광역시 서구 북항로 28-23 (원창동),22853,,01,영업/정상,,,
"쿠팡풀필먼트서비스 유한회사(INC32,41,42,43)",1,,,,,법인,170127.095585525,445155.281992845,2026-04-14 03:03:03,U,01,영업중,727,"pallet Rack, 지게차, 컨베이어, 메자닌, MTS, 수직반송기, 네트워크장비 등",0,0,216440.79,1,0,,2026-04-13 19:05:01,2025-08-20,,인천광역시 서구 석남동 224-20 인천 석남 혁신물류센터,2025356029132500020,3560000,"인천광역시 서구 봉수대로 370, 석남 혁신물류센터 1~7층 (석남동)",22788,,01,영업/정상,,,
쿠팡로지스틱스서비스 유한회사,1,,,,,법인,167198.018709993,445636.155156436,2026-04-07 03:03:03,U,01,영업중,100,"전동지게차,. 도크레벨러, 컨베이어, 상품포장기",0,0,32462.12,1,0,,2026-04-06 13:29:29,2026-02-06,,인천광역시 서구 원창동 391-9,2026356029132500002,3560000,"인천광역시 서구 북항로120번길 55, 1층 (원창동)",22853,,01,영업/정상,,,02-1544-9898
주식회사 우아한청년들,1,,,1,,법인,174388.051036022,432089.056482532,2026-04-14 03:03:03,U,01,영업중,279,"수직ev 5대, 지게차 25대",0,0,11335,1,11335,,2026-04-13 09:36:32,2023-04-07,,인천광역시 남동구 고잔동 655-5,2023353022132500001,3530000,"인천광역시 남동구 논현고잔로 87, 4,5층 (고잔동)",21687,,01,영업/정상,,,070-4352-5581
