사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
GS25 동탄프라임점,,206325.039007167,411418.618291691,2026-04-10 03:03:03,U,13,영업중,2026-04-09 11:07:22,,2019-06-03,,경기도 화성시 동탄구 반송동 **-* 동탄 위버폴리스,PHMG120195530021047000049,5530000,"경기도 화성시 동탄구 동탄지성로 **, ***-*,***호 (반송동, 동탄 위버폴리스)",18454,01,영업/정상,,,031-613-7892,10
(주)씨어스,,206980.535244214,403378.747494224,2026-04-14 03:03:03,U,13,영업중,2026-04-13 16:00:09,,2023-08-08,,경기도 오산시 고현동 **,PHMG120234000018047000035,4000000,"경기도 오산시 동부대로 ***-**, 오산더테라스퀘어 나동 나-***호 (고현동)",18151,01,영업/정상,,,,49.02
세븐일레븐 구리한진점,2026-04-08,212492.25614655,457354.512612534,2026-04-09 03:03:03,U,03,폐업,2026-04-08 17:45:28,,2022-02-09,,경기도 구리시 인창동 ** 한진아파트,PHMG120223980021047000022,3980000,"경기도 구리시 동구릉로***번길 **, 한진아파트 상가동 *층 (인창동)",11908,03,폐업,,,031-571-6361,54
(주)엘지헬로비전(LG Hellovision Corp.),,190075.380363452,453345.947683972,2026-04-08 03:03:03,U,15,전출,2026-04-07 11:02:50,,2019-08-30,,서울특별시 마포구 상암동 ****번지 *호 드림타워,PHMG120193130033047000098,3130000,"서울특별시 마포구 월드컵북로**길 **, 드림타워 *층 (상암동)",03923,05,제외/삭제/전출,,,070-7373-2304,
(주)에스원,,206567.447121226,405062.239490073,2026-04-07 03:03:03,U,13,영업중,2026-04-06 16:07:52,,2009-06-09,447-060,경기도 오산시 원동 ***번지 *호 임금빌딩 *층 ***호,PHMG120094000018047000005,4000000,경기도 오산시 운천로 ** (원동),18139,01,영업/정상,,,1588-3112,25.3
나누미케어,,188931.464707078,460819.239631188,2026-04-08 03:03:03,U,13,영업중,2026-04-07 09:42:26,,2024-10-11,,경기도 고양시 덕양구 원흥동 ***-* 반도 유스퀘어,PHMG120243940138047000164,3940000,"경기도 고양시 덕양구 삼송로 **, 반도 유스퀘어 ***(일부)호 (원흥동)",10564,01,영업/정상,,,,
(주)에스원 강남,,203407.8160666,443259.898442295,2026-04-08 03:03:03,U,13,영업중,2026-04-07 11:03:30,,2009-06-08,,서울특별시 강남구 도곡동 ***-** 양제벤처타워,PHMG120093220033047000097,3220000,"서울특별시 강남구 도곡로 ***, 양제벤처타워 *층 (도곡동)",06261,01,영업/정상,,,,
수리엔의료기판매,,179539.301134652,455740.47159469,2026-04-08 03:03:03,U,15,전출,2026-04-07 09:11:00,,2023-06-16,,경기도 김포시 고촌읍 신곡리 ****-* 세종프라자,PHMG120234090023047000124,4090000,"경기도 김포시 고촌읍 장차로**번길 **, 세종프라자 ***-***호",10126,05,제외/삭제/전출,,,,
대봉엘에스(주),,169380.980832227,429280.603659556,2026-04-07 03:03:03,U,13,영업중,2026-04-06 10:42:02,,2025-11-27,,인천광역시 연수구 송도동 ***-* 대봉엘에스 송도 B&H Plex,PHMG120253520019047000120,3520000,"인천광역시 연수구 송도미래로 ***, 대봉그룹 송도 B&H Plex (송도동)",21989,01,영업/정상,,,,
에코플라이,2026-04-07,192303.25830217,433926.696443695,2026-04-09 03:03:03,U,03,폐업,2026-04-08 10:23:54,,2022-05-25,,경기도 안양시 만안구 안양동 ***-* 지층,PHMG120223830262047000100,3830000,"경기도 안양시 만안구 안양로 ***-*, 지층 (안양동)",13985,03,폐업,,,,
(주)경기일보,,200285.727240972,422467.392237579,2026-04-14 03:03:03,U,13,영업중,2026-04-13 17:08:19,,2020-04-08,,경기도 수원시 장안구 송죽동 ***번지 *호,PHMG120203740031047000016,3740000,"경기도 수원시 장안구 경수대로***번길 *, *층 (송죽동)",16303,01,영업/정상,,,,
(주)진스텍,,169424.109924844,442692.722669138,2026-04-10 03:03:03,U,15,전출,2026-04-09 16:03:27,,2012-09-12,,인천광역시 동구 송림동 ***번지 인천산업용품유통단지,PHMG120123500020047000012,3500000,"인천광역시 동구 방축로**번길 **, 인천산업용품유통단지 **동 ***, ***호 (송림동)",22530,05,제외/삭제/전출,,,032-777-9305,78.18
라이프케어,,192037.140346383,445369.211797828,2026-04-09 03:03:03,U,15,전출,2026-04-08 09:03:33,,2024-10-11,,서울특별시 영등포구 신길동 ***-** 인의빌딩,PHMG120253180034047000069,3180000,"서울특별시 영등포구 신길로 ***, 인의빌딩 *층 (신길동)",07347,05,제외/삭제/전출,,,,
카리스,2026-04-13,212412.487561058,429704.139380722,2026-04-14 03:03:03,U,03,폐업,2026-04-13 14:14:46,,2023-09-19,,경기도 성남시 분당구 분당동 ** 건영아파트 ***동 ****호,PHMG120233780064047000146,3780000,"경기도 성남시 분당구 장안로 **, ***동 ****호 (분당동, 건영아파트)",13583,03,폐업,,,,
에스원 강화영업소,,155181.307315535,471410.631913071,2026-04-10 03:03:03,U,13,영업중,2026-04-09 09:07:11,,2022-04-08,,인천광역시 강화군 강화읍 갑곳리 ***,PHMG120223570013047000038,3570000,"인천광역시 강화군 강화읍 대월로 *, *층",23025,01,영업/정상,,,,69.3
세븐일레븐 남양주금강점,2026-04-08,216937.274058669,469987.315193009,2026-04-09 03:03:03,U,03,폐업,2026-04-08 14:20:08,,2022-02-15,,경기도 남양주시 진접읍 장현리 *** 광릉숲 금강펜테리움,PHMG120223990310047000065,3990000,"경기도 남양주시 진접읍 금강로****번길 *, 상가동 ***,***호 (광릉숲 금강펜테리움)",12002,03,폐업,,,,
(주)윈메딕스,,206306.301931615,419313.955217649,2026-04-08 03:03:03,U,13,영업중,2026-04-07 10:55:37,,2012-09-11,,경기도 용인시 기흥구 영덕동 ***-* 이씨티,PHMG120244050148047000046,4050000,"경기도 용인시 기흥구 흥덕*로**번길 **, 이씨티 A동 ***호,***호 (영덕동)",16954,01,영업/정상,,,,
주식회사 카오시스,,204887.701121862,415210.981954646,2026-04-08 03:03:03,U,13,영업중,2026-04-07 15:12:01,,2024-10-10,,경기도 수원시 영통구 망포동 ***-* 센타프라자,PHMG120243740106047000091,3740000,"경기도 수원시 영통구 영통로 ***, 센타프라자 ***-B*호 (망포동)",16687,01,영업/정상,,,,
주식회사 에이플,2026-04-09,202513.119414067,443478.806945055,2026-04-11 03:03:03,U,03,폐업,2026-04-10 15:54:55,,2023-10-05,,서울특별시 서초구 서초동 ****-* 신덕빌딩,PHMG120233210034047000224,3210000,"서울특별시 서초구 강남대로 ***, *층 (서초동)",06626,03,폐업,,,,
씨제이올리브영 주식회사 하남 감일점,2026-04-10,214238.69659547,445332.275285291,2026-04-11 03:03:03,U,03,폐업,2026-04-10 10:31:40,,2021-04-06,,경기도 하남시 감일동 ***-*,PHMG120214040023047000052,4040000,"경기도 하남시 신우실로 **, 푸리마타워 ***~***호 (감일동)",12996,03,폐업,,,02-3784-5294,86.29
세브란스신용협동조합,,194584.959249312,451381.585492051,2026-04-09 03:03:03,U,13,영업중,2026-04-08 15:47:04,,2015-06-19,120-752,서울특별시 서대문구 신촌동 ***번지 세브란스병원 본관*층,PHMG120153120033047000037,3120000,"서울특별시 서대문구 연세로 **-*, *층 (신촌동, 세브란스병원 본관)",03722,01,영업/정상,,,02-2227-8208,
(주)미르티앤씨,2026-04-10,192333.071961599,434060.990315155,2026-04-11 03:03:03,U,03,폐업,2026-04-10 14:22:39,,2022-04-21,,경기도 안양시 만안구 안양동 ***-* 보석빌딩 ***호호,PHMG120223830262047000087,3830000,"경기도 안양시 만안구 박달우회로 ***, 보석빌딩 ***호 (안양동)",13989,03,폐업,,,02-2057-3878,
(주)코리아세븐 미사안강점,,216668.936475106,451486.158412733,2026-04-10 03:03:03,U,13,영업중,2026-04-09 17:57:43,,2024-11-29,,경기도 하남시 망월동 ****-* 미사강변 안강프라이빗뷰 ***호,PHMG120244040023047000168,4040000,"경기도 하남시 미사강변중앙로 ***, 미사강변 안강프라이빗뷰 ***호 (망월동)",12913,01,영업/정상,,,,36
피엘웍스,2026-04-09,209068.896480357,415886.878136892,2026-04-10 03:03:03,U,03,폐업,2026-04-09 11:22:49,,2018-10-04,,경기도 용인시 기흥구 공세동 ***번지,PHMG120184050148047000051,4050000,경기도 용인시 기흥구 한일로 **-** (공세동),17099,03,폐업,,,031-625-2201,
더 트리니티 스파(강남점),2026-04-07,203599.062771687,444556.062267296,2026-04-08 03:03:03,U,03,폐업,2026-04-07 17:13:42,,2021-07-28,,서울특별시 강남구 역삼동 *** 센터필드,PHMG120213220033047000461,3220000,"서울특별시 강남구 테헤란로 ***, 센터필드 *층 w***호 (역삼동)",06142,03,폐업,,,,
스펜서바이오메디컬테크놀로지,2026-04-02,190553.19929924,442817.101422194,2026-04-07 03:03:03,U,03,폐업,2026-04-06 14:56:22,,2015-06-30,,,PHMG120153160034047000145,3160000,"서울특별시 구로구 디지털로**길 ** (구로동, 벽산디지털밸리*차)",08377,03,폐업,,,,
케어엔젤 포천양주지사,,228784.643729159,496066.299905484,2026-04-08 03:03:03,U,13,영업중,2026-04-07 08:55:41,,2020-06-10,,경기도 포천시 일동면 화대리 ***-*,PHMG120205600005047000006,5600000,"경기도 포천시 일동면 화동로 ****-**, *층",11117,01,영업/정상,,,,130
주식회사바모스메디,,205311.283256449,420682.801161761,2026-04-10 03:03:03,U,13,영업중,2026-04-09 16:42:07,,2024-12-02,,경기도 수원시 영통구 하동 **** 광교 효성해링턴 타워,PHMG120253740033047000025,3740000,"경기도 수원시 영통구 광교중앙로 ***, 광교 효성해링턴 타워 에이동 ****호 (하동)",16514,01,영업/정상,,,,
디에스(DS)무역,,192573.026782673,453234.891430476,2026-04-08 03:03:03,U,15,전출,2026-04-07 13:26:46,,2024-06-28,,서울특별시 서대문구 북가좌동 *-** ***호,PHMG120243120033047000031,3120000,"서울특별시 서대문구 증가로**가길 *, ***호 (북가좌동)",03669,05,제외/삭제/전출,,,,
칼자이스비전코리아(주),,,,2026-04-11 03:03:03,U,13,영업중,2026-04-10 14:40:08,,2005-04-04,,서울특별시 송파구 문정동 ***-* 소노타워,PHMG120213230034047000337,3230000,"서울특별시 송파구 법원로 ***, 소노타워 ****호 (문정동)",05836,01,영업/정상,,,02-3140-2800,
아이스그림눈썹앤탈모커버아카데미 강동본점,,212027.481158905,446598.591776331,2026-04-08 03:03:03,U,13,영업중,2026-04-07 14:56:31,,2024-01-16,,서울특별시 강동구 둔촌동 ***-* 올림픽파크포레온,PHMG120243240033047000004,3240000,"서울특별시 강동구 양재대로 ****, 파크포레온스테이션* B***호 (둔촌동, 올림픽파크포레온)",05410,01,영업/정상,,,,
히어링몰 엘리,2026-04-07,209634.838106536,427516.500850969,2026-04-10 03:03:03,U,03,폐업,2026-04-09 09:11:52,,2004-02-07,463-500,경기도 성남시 분당구 구미동 **번지 *호 분당프라자 ***호,PHMG120043780064047000006,3780000,"경기도 성남시 분당구 돌마로 **, ***호 (구미동, 분당프라자)",13627,03,폐업,,,,6.98
희림상사,2026-04-07,197611.357756618,447903.3147094,2026-04-10 03:03:03,U,03,폐업,2026-04-09 15:07:39,,2023-04-25,,서울특별시 용산구 한강로*가 ***-* (주)성윤통상,PHMG120233020033047000030,3020000,"서울특별시 용산구 한강대로**다길 *, (주)성윤통상 *층 (한강로*가)",04382,03,폐업,,,02-793-0600,
중고가전재활용,,212421.555271648,445475.306013026,2026-04-10 03:03:03,U,15,전출,2026-04-09 17:05:49,,2023-08-02,,경기도 하남시 감일동 ***-**,PHMG120224040023047000247,4040000,"경기도 하남시 동남로 ***, *층 (감일동)",12993,05,제외/삭제/전출,,,,49.5
GS25주안사거리점,,171616.572649955,439923.897670332,2026-04-14 03:03:03,U,13,영업중,2026-04-13 13:50:58,,2022-03-03,,인천광역시 미추홀구 주안동 ***-**,PHMG120223510513047000147,3510500,"인천광역시 미추홀구 석바위로 **, ***호 (주안동)",22136,01,영업/정상,,,,48
오엔엠할리야드코리아 유한회사,,205026.399941685,445067.07146082,2026-04-08 03:03:03,U,13,영업중,2026-04-07 18:38:52,,2022-03-15,,서울특별시 강남구 삼성동 ***-** WeWork빌딩,PHMG120223220033047000308,3220000,"서울특별시 강남구 테헤란로 ***, WeWork빌딩 **-*** (삼성동)",06168,01,영업/정상,,,02-6676-2849,
새사랑요양센터,,197158.514500397,415698.522272363,2026-04-14 03:03:03,U,13,영업중,2026-04-13 13:22:55,,2010-05-27,,경기도 수원시 권선구 오목천동 ***-*,PHMG120103740032047000009,3740000,"경기도 수원시 권선구 서수원로***번길 *, ***호 (오목천동)",16636,01,영업/정상,,,,39
턴업에스테닉 피부관리 고양일산점,,180842.086155646,461406.473246905,2026-04-10 03:03:03,U,13,영업중,2026-04-09 09:37:47,,2020-08-06,,경기도 고양시 일산동구 마두동 *** 백마프라자,PHMG120203940139047000021,3940000,"경기도 고양시 일산동구 강송로 ***, 백마프라자 ***호 (마두동)",10416,01,영업/정상,,,,60.77
