사업장명,폐업일자,법인구분명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,구분명,소재지전화번호
화성삼성인력,,개인,192027.649049388,403275.252746775,2026-04-07 03:03:03,U,20,영업중,2026-04-06 10:01:27,2021-12-13,,경기도 화성시 만세구 향남읍 평리 73-7,2021553038814500039,5530000,경기도 화성시 만세구 향남읍 발안로 7,18592,01,영업/정상,유료,031-831-8823
스탭스주식회사,,법인,200841.86944868,450423.826271111,2026-04-11 03:03:03,U,20,영업중,2026-04-10 14:17:17,2001-11-08,,서울특별시 중구 신당동 426번지 3호 bs빌딩,2002301007111500027,3010000,서울특별시 중구 동호로14길 7 (신당동),,01,영업/정상,유료,02-2178-8024
시티인력,,개인,201792.385974356,451501.242346397,2026-04-11 03:03:03,U,20,영업중,2026-04-10 17:06:34,1999-12-04,,서울특별시 중구 황학동 708번지,2002301007111500029,3010000,서울특별시 중구 퇴계로87길 1 (황학동),,01,영업/정상,유료,02-2252-9100
(주)콘페리인터내셔널,,법인,198351.818737482,451921.60302604,2026-04-07 03:03:03,U,20,영업중,2026-04-06 19:20:14,2001-02-28,,서울특별시 종로구 서린동 33번지 영풍빌딩 11층,2001300007611500013,3000000,"서울특별시 종로구 청계천로 41 (서린동, 영풍빌딩 11층)",,01,영업/정상,유료,02-2003-6772
뉴욕상하이컨설팅그룹주식회사,2026-04-07,법인,198213.955223154,452045.296742706,2026-04-08 03:03:03,U,50,타시군구이관,2026-04-07 10:18:40,2018-04-16,,서울특별시 종로구 청진동 128 Tower 8,2022300020214500006,3000000,"서울특별시 종로구 종로5길 7, Tower 8 7층 (청진동)",03157,05,제외/삭제/전출,유료,
인사경영연구원,2026-04-03,개인,198208.386453774,452193.293825248,2026-04-10 03:03:03,U,40,폐업,2026-04-09 15:54:03,2025-03-21,,서울특별시 종로구 청진동 3-2 청일빌딩 301-A호,2025300024514500005,3000000,"서울특별시 종로구 종로5길 38-1, 청일빌딩 3층 301-A호 (청진동)",03158,03,폐업,유료,
(주)로버트월터스코리아,,법인,198591.48750042,451623.0201872,2026-04-14 03:03:03,U,20,영업중,2026-04-13 15:10:06,2010-10-01,,서울특별시 중구 을지로2가 204 삼화타워,2011301010314500006,3010000,"서울특별시 중구 을지로5길 16, 삼화타워 19층 (을지로2가)",04539,01,영업/정상,유료,02-6454-7000
주식회사 팔도인력,,법인,197178.566663897,450739.393958251,2026-04-10 03:03:03,U,20,영업중,2026-04-09 17:10:28,2012-03-15,,서울특별시 중구 중림동 65번지 1호,2012301012514500003,3010000,서울특별시 중구 청파로 441-2 (중림동),,01,영업/정상,유료,02-363-1373
글로벌 직업정보,2026-04-08,개인,200510.28666759,451400.561935357,2026-04-09 03:03:03,U,40,폐업,2026-04-08 15:58:35,2017-01-04,,서울특별시 중구 광희동1가 187-5,2017301013114500001,3010000,"서울특별시 중구 을지로44길 27, 경성빌딩 3층 301호 (광희동1가)",04561,03,폐업,유료,
(주)코스모링크,,법인,199016.982076626,450955.859967323,2026-04-09 03:03:03,U,20,영업중,2026-04-08 16:33:04,2023-05-10,,서울특별시 중구 주자동 18-3,2023301020214500011,3010000,"서울특별시 중구 퇴계로 162-8, 흥국빌딩 별관 5층 (주자동)",04627,01,영업/정상,유료,
주식회사 라이프플래닝연구소,2026-04-06,법인,198459.656304955,451484.997004171,2026-04-07 03:03:03,U,40,폐업,2026-04-06 14:51:28,2023-10-30,,서울특별시 중구 을지로2가 198 을지 한국빌딩,2023301020214500022,3010000,"서울특별시 중구 을지로 50, 을지 한국빌딩 17층 1702호 (을지로2가)",04534,03,폐업,유료,02-2266-2960
에임커리어(주),2025-11-28,법인,202336.909549387,445123.90893791,2026-04-10 03:03:03,U,20,영업중,2026-04-09 15:15:29,2020-09-16,,서울특별시 강남구 논현동 170 스페이스모노빌딩,2025322025014500043,3220000,"서울특별시 강남구 논현로115길 71, 스페이스모노빌딩 6층 3호 (논현동)",06118,01,영업/정상,유료,02-6952-0300
금빛행정사사무소,,개인,200612.848675101,451299.379284015,2026-04-08 03:03:03,U,20,영업중,2026-04-07 13:01:44,2025-07-10,,서울특별시 중구 광희동2가 266 성우빌딩,2025301024314500007,3010000,"서울특별시 중구 퇴계로 324, 성우빌딩 3층 (광희동2가)",04614,01,영업/정상,유료,
주식회사 비온에이치알,,법인,197346.664858178,451164.44975357,2026-04-11 03:03:03,U,20,영업중,2026-04-10 09:47:10,2022-08-17,,서울특별시 중구 순화동 5-2 순화빌딩 1707호,2025301024314500016,3010000,"서울특별시 중구 서소문로 89, 순화빌딩 17층 BS-1707호 (순화동)",04516,01,영업/정상,유료,02-3453-5578
주식회사 원비즈파트너스,,법인,197517.157288952,451193.921380271,2026-04-11 03:03:03,U,20,영업중,2026-04-10 17:55:16,2026-01-23,,서울특별시 중구 서소문동 55-4 배재빌딩,2026301024314500002,3010000,"서울특별시 중구 서소문로 103, 배재빌딩 2층 (서소문동)",04516,01,영업/정상,유료,02-6431-2009
(주)코니언정보,,법인,209637.078215509,449832.485937903,2026-04-14 03:03:03,U,20,영업중,2026-04-13 13:35:29,2023-08-29,,서울특별시 광진구 광장동 114 크레스코빌딩,2023304023414500010,3040000,"서울특별시 광진구 아차산로78길 44, 크레스코빌딩 814호 (광장동)",04969,01,영업/정상,유료,02-713-8801
