사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
대한관광개발(주),2018131518,4종,,,198662.073220851,451337.206272624,2026-04-07 03:03:03,U,11,영업,,3,대기배출업소관리,2026-04-06 10:48:58,2015-12-28,,서울특별시 중구 명동1가 6-3 로얄호텔,301000021201500164,3010000,,,,"서울특별시 중구 명동길 61, 로얄호텔 (명동1가)",04538,,01,영업/정상,,,02-2429-5714,
종로1234가동주민센터,1018300140,5종,일반 공공 행정,2026-04-06,199067.469332,452465.523961861,2026-04-07 03:03:03,U,4,폐쇄,300,8,대기배출업소관리,2026-04-06 15:36:54,2024-12-04,,서울특별시 종로구 익선동 99 종로1.2.3.4가동 주민센터,300000021202400009,3000000,,,,"서울특별시 종로구 삼일대로30길 47, 종로1.2.3.4가동 주민센터 (익선동)",03132,,04,취소/말소/만료/정지/중지,,,02-2148-5242,일반 공공 행정
주식회사 아이모터스랩,6698603533,5종,자동차 종합 수리업,,205289.890542936,448443.155466301,2026-04-14 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-13 13:26:01,2025-07-23,,서울특별시 성동구 성수동2가 243-3,303000021202500005,3030000,,300,,서울특별시 성동구 뚝섬로15길 16 (성수동2가),04786,,01,영업/정상,,,,자동차 종합 수리업
효문고등학교,2108303645,4종,고등 교육기관,2026-04-06,201547.118215494,461140.740655699,2026-04-07 03:03:03,U,4,폐쇄,,,대기배출업소관리,2026-04-06 14:29:03,2024-12-27,,"서울특별시 도봉구 쌍문동 468 효문중,고등학교",309000021202400020,3090000,,365,,"서울특별시 도봉구 우이천로 432, 효문중,고등학교 (쌍문동)",01372,,04,취소/말소/만료/정지/중지,,,02-992-0778,고등 교육기관
서울시메트로구호선주식회사,,4종,기타 육상 운송지원 서비스업,,181881.234660314,453174.899157458,2026-04-09 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-08 09:53:17,2009-06-02,,서울특별시 강서구 개화동 388-1,315000021200900002,3150000,,20,,서울특별시 강서구 개화동로8길 38 (개화동),07505,,01,영업/정상,,,02-2656-0192,기타 육상 운송지원 서비스업
광진구시설관리공단 중곡동문화체육센터,2068207233,4종,공공관계 서비스업,,207416.176199123,451726.824779759,2026-04-08 03:03:03,U,11,영업,320,8,대기배출업소관리,2026-04-07 19:35:56,2015-12-10,,서울특별시 광진구 중곡동 168-8 중곡문화체육센터,304000021201500021,3040000,,320,,"서울특별시 광진구 능동로 433, 중곡문화체육센터 (중곡동)",04904,,01,영업/정상,,,02-3408-4947,공공관계 서비스업
현대자동차(주)양재동 사옥,1018109147,4종,승용차 및 기타 여객용 자동차 제조업,,203705.426304066,440222.152896766,2026-04-08 03:03:03,U,5,제외사항,,,대기배출업소관리,2026-04-07 16:17:02,2020-09-09,,,321000021202000009,3210000,,,,서울특별시 서초구 헌릉로 12 (내곡동),06794,,05,제외/삭제/전출,,,34644528,승용차 및 기타 여객용 자동차 제조업
한국노동조합총연맹,1168201218,5종,,2026-04-17,193474.240829093,446636.663614573,2026-04-14 03:03:03,U,4,폐쇄,100,8,대기배출업소관리,2026-04-13 14:53:35,2016-01-21,,서울특별시 영등포구 여의도동 35 한국노총,318000021201600021,3180000,,100,,"서울특별시 영등포구 국제금융로6길 26 (여의도동, 한국노총)",07328,,04,취소/말소/만료/정지/중지,,,02-6277-0137,
중랑자동차공업주식회사,2048185861,5종,자동차 수리업,,206440.36766806,454616.462699465,2026-04-08 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-07 09:12:29,1984-08-20,,서울특별시 중랑구 중화동 209-3,306000021199800002,3060000,,300,,서울특별시 중랑구 망우로 191 (중화동),,,01,영업/정상,,,02-438-8600,자동차 수리업
서울과학기술대학교,2178300732,4종,,,206981.454072644,458960.471391303,2026-04-11 03:03:03,U,11,영업,120,4,대기배출업소관리,2026-04-10 14:13:02,2015-12-29,,,310000021201500015,3100000,,120,,서울특별시 노원구 공릉로 232 (공릉동),01811,,01,영업/정상,,,,
(주)케이이씨디바이스,2148792435,5종,부동산 임대업,,203762.112124282,441652.086259927,2026-04-11 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-10 14:20:37,2022-05-27,,서울특별시 서초구 양재동 275-5 태석빌딩,321000021202200003,3210000,,,,"서울특별시 서초구 마방로10길 5, 태석빌딩 (양재동)",06775,,01,영업/정상,,,,부동산 임대업
현대자동차(주)양재동 사옥,1018109147,4종,승용차 및 기타 여객용 자동차 제조업,,203705.426304066,440222.152896766,2026-04-14 03:03:03,U,11,영업,365,12,대기배출업소관리,2026-04-13 11:02:02,2015-10-23,,,321000021201500017,3210000,,365,,서울특별시 서초구 헌릉로 12 (내곡동),06794,,01,영업/정상,,,34644528,승용차 및 기타 여객용 자동차 제조업
명일우성아파트입주자대표회의,4118287407,4종,부동산 관리업,,213354.806799715,449887.005648161,2026-04-11 03:03:03,U,11,영업,365,3.5,대기배출업소관리,2026-04-10 15:05:49,2020-11-23,,서울특별시 강동구 명일동 42 고덕우성아파트 관리사무소,324000021202000004,3240000,,365,,"서울특별시 강동구 고덕로62길 76 (명일동, 우성아파트)",05268,,01,영업/정상,,,02-428-3095,부동산 관리업
해성2빌딩,7806500105,4종,사업시설 유지관리 서비스업,,205062.07810674,444945.098457896,2026-04-07 03:03:03,U,11,영업,240,12,대기배출업소관리,2026-04-06 14:08:00,2015-12-07,,서울특별시 강남구 대치동 942-10,322000021201500073,3220000,,240,,서울특별시 강남구 테헤란로 508 (대치동),,,01,영업/정상,,,02-528-1215,사업시설 유지관리 서비스업
한무쇼핑(주) 무역센터현대백화점,1208101942,4종,백화점,,205210.358779172,445154.42225208,2026-04-07 03:03:03,U,11,영업,365,15,대기배출업소관리,2026-04-06 14:07:52,2015-12-18,,서울특별시 강남구 삼성동 159-7,322000021201500103,3220000,,365,,서울특별시 강남구 테헤란로 517 (삼성동),,,01,영업/정상,,,02-3467-6193,백화점
삼성에프엔위탁관리부동산투자회사(주) 에프엔타워 잠실,5478702513,5종,부동산업,,209052.280129898,445853.011540219,2026-04-07 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-06 09:27:18,2022-11-14,,서울특별시 송파구 신천동 7-22,323000021202200006,3230000,,,,서울특별시 송파구 올림픽로 295 (신천동),05510,,01,영업/정상,,,02-2203-8494,부동산업
가락알파마트(주),3018801138,5종,부동산업,2026-04-07,209219.191144283,444182.219682377,2026-04-08 03:03:03,U,4,폐쇄,250,12,대기배출업소관리,2026-04-07 17:16:48,2025-01-02,,서울특별시 송파구 석촌동 254-1 파크팰리스,323000021202400044,3230000,,,,"서울특별시 송파구 가락로12길 4 (석촌동, 파크팰리스)",05695,,04,취소/말소/만료/정지/중지,,,02-413-5656,부동산업
한국토지주택공사,1208209373,5종,토공사업,,,,2026-04-10 03:03:03,U,11,영업,300,6,대기배출업소관리,2026-04-09 17:46:12,2025-11-13,,서울특별시 송파구 장지동 915,323000021202500003,3230000,,300,,서울특별시 송파구 헌릉로 870 (장지동),05845,,01,영업/정상,,,02-6078-6860,토공사업
(주)에코프라임,3118128440,5종,토양 및 지하수 정화업,,167588.673914944,438003.841533286,2026-04-11 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-10 16:59:35,2023-01-10,,인천광역시 미추홀구 용현동 627-651,351050021202300001,3510500,,300,,,,,01,영업/정상,,,,토양 및 지하수 정화업
우진사료공업(주),,4종,사료 제조업,,169544.218502768,443276.472498201,2026-04-10 03:03:03,U,11,영업,300,43,대기배출업소관리,2026-04-09 13:52:20,2003-04-25,,인천광역시 서구 가좌동 178-30,356000021198301559,3560000,,300,,인천광역시 서구 백범로934번길 32 (가좌동),,,01,영업/정상,,,032-576-3131,사료 제조업
(주)에이에스에이텍,1198155526,5종,그외 기타 전자부품 제조업,,174537.757435988,432906.030064938,2026-04-10 03:03:03,U,11,영업,,,대기배출업소관리,2026-04-09 17:17:31,2015-12-10,,인천광역시 남동구 고잔동 120-3,353000021201500017,3530000,,300,,인천광역시 남동구 청능대로484번길 8-13 (고잔동),21686,,01,영업/정상,,,070-5038-5130,그외 기타 전자부품 제조업
