건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,한실수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,양실수
0,임대,0,더그랜드호텔 명동,관광호텔,,,,,198797.29864019,451041.893325607,2026-04-11 03:03:03,U,01,영업,,0,2026-04-10 10:23:22,2013-02-01,"1,758.22",100-861,서울특별시 중구 충무로2가 62-2 외 1필지,N,,3010000-201-2013-00002,3010000,서울특별시 중구 명동8가길 38 (충무로2가),04537,01,영업/정상,관광호텔,02-777-7900,1,0,7,0,50
0,,0,서울 호텔 신신,관광호텔,,,,,198047.674063427,451117.674050616,2026-04-11 03:03:03,U,01,영업,,0,2026-04-10 10:24:41,2013-03-21,"2,329.08",100-080,서울특별시 중구 북창동 93-43 지1층~7층,N,,3010000-201-2013-00005,3010000,"서울특별시 중구 남대문로5길 17-5 (북창동, 지1층~7층)",04526,01,영업/정상,관광호텔,02-1877-2538,1,1,7,0,45
0,임대,0,유에이치 스테이 명동,일반호텔,,,,,198841.348970952,451075.90120027,2026-04-08 03:03:03,U,01,영업,0,0,2026-04-07 14:02:38,2015-05-08,456.28,100-860,서울특별시 중구 충무로2가 12-27,N,0,3010000-201-2015-00019,3010000,"서울특별시 중구 명동8가길 47, 7,8층 (충무로2가)",04537,01,영업/정상,일반호텔,02-754-1616,8,0,8,0,12
0,자가,0,루미아호텔,관광호텔,,,,,198142.881185174,450638.810478052,2026-04-11 03:03:03,U,01,영업,0,0,2026-04-10 11:11:39,2015-05-18,"1,116.78",100-873,서울특별시 중구 회현동1가 99-18,Y,0,3010000-201-2015-00020,3010000,서울특별시 중구 퇴계로8길 31-9 (회현동1가),04634,01,영업/정상,관광호텔,02-755-1300,5,1,5,1,34
0,임대,0,코트야드 메리어트 서울 명동,관광호텔,,,,,197891.564897442,450990.593465563,2026-04-07 03:03:03,U,01,영업,0,0,2026-04-06 11:40:42,2016-05-03,"18,980.75",100-094,서울특별시 중구 남대문로4가 17-23,N,0,3010000-201-2016-00011,3010000,"서울특별시 중구 남대문로 9, 4~20층 (남대문로4가)",04526,01,영업/정상,관광호텔,,4,0,20,0,409
0,,0,동대문파크 호스텔(Dongdaemunpark hostel),관광호텔,2026-04-06,,,,200647.159357664,451357.621131056,2026-04-07 03:03:03,U,02,폐업,0,0,2026-04-06 16:07:14,2016-12-16,313.28,100-412,서울특별시 중구 광희동2가 43-1 3~6층,N,0,3010000-201-2016-00024,3010000,"서울특별시 중구 퇴계로 329 (광희동2가, 3~6층)",,03,폐업,관광호텔,02-2264-7888,3,0,6,0,15
2,,0,리플러스,관광호텔,,,,,200758.994732114,451302.330983146,2026-04-13 03:03:03,U,01,영업,0,0,2026-04-12 13:20:03,2017-08-09,172.23,100-412,"서울특별시 중구 광희동2가 163-2 1,2층",N,0,3010000-201-2017-00017,3010000,"서울특별시 중구 퇴계로66길 7-1 (광희동2가, 1,2층)",04614,01,영업/정상,관광호텔,,1,0,2,0,8
0,,0,하센 영인 호텔,관광호텔,,,,,199329.785160077,450473.272809688,2026-04-11 03:03:03,U,01,영업,0,0,2026-04-10 10:21:19,2017-08-22,658.07,100-250,"서울특별시 중구 예장동 1-43 1층, 2층, 3층",N,0,3010000-201-2017-00020,3010000,"서울특별시 중구 필동로8길 77 (예장동, 1층, 2층, 3층)",04626,01,영업/정상,관광호텔,02-2275-5019,1,0,3,0,25
6,자가,1,더안,여관업,,,,,193465.706143733,442500.71073096,2026-04-10 03:03:03,U,01,영업,,7,2026-04-09 15:35:16,1994-10-06,959.60,151-892,서울특별시 관악구 신림동 1433-109,N,,3200000-201-1994-00077,3200000,서울특별시 관악구 신림로65길 47 (신림동),08759,01,영업/정상,여관업,02-883-7797,1,1,6,1,24
0,임대,0,오크우드 여의도 파크 서울,숙박업(생활),,,,,192866.856097244,447341.334688661,2026-04-14 03:03:03,U,01,영업,0,0,2026-04-13 13:53:39,2022-10-25,"6,155.04",150-872,서울특별시 영등포구 여의도동 15-13,N,0,3180000-214-2022-00001,3180000,서울특별시 영등포구 국회대로68길 24 (여의도동),07237,01,영업/정상,숙박업(생활),,2,0,13,0,161
4,자가,1,모텔 하이브(HIVE),여관업,,,,,191458.008113425,446620.592520735,2026-04-07 03:03:03,U,01,영업,,3,2026-04-06 11:47:26,2003-02-26,265.00,150-036,서울특별시 영등포구 영등포동6가 49-2,N,,3180000-201-2003-00183,3180000,서울특별시 영등포구 영등포로35길 17-4 (영등포동6가),07251,01,영업/정상,여관업,02-2635-3033,2,0,4,0,14
3,자가,1,리베로모텔,여관업,2026-04-10,,,,192388.528876889,453510.783905601,2026-04-11 03:03:03,U,02,폐업,,22,2026-04-10 14:47:58,1981-10-02,244.23,120-812,서울특별시 서대문구 북가좌동 273-9,N,,3120000-201-1981-01412,3120000,서울특별시 서대문구 응암로 130 (북가좌동),03667,03,폐업,여관업,02-373-7103,2,0,3,0,0
