사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
새봄약국,,188502.886822432,449377.63880433,2026-04-08 22:02:11,I,0000,정상,2026-04-07 14:32:31,,2026-04-07,,,서울특별시 양천구 목동 966 목동에버하임,314000001120260003,3140000,000,"서울특별시 양천구 목동중앙북로 68, 104호 (목동, 목동에버하임)",07948,,01,영업/정상,,,02-2062-9987
대치왕솔약국,,205707.089399978,443914.194133105,2026-04-08 22:02:12,I,0000,정상,2026-04-07 10:39:10,,2026-04-07,,,서울특별시 강남구 대치동 316 은마상가 B블럭 1층 116호,322000001120260015,3220000,000,"서울특별시 강남구 삼성로 212-2, 은마상가 B블럭 1층 116호 (대치동)",06284,,01,영업/정상,,,
스타파크약국,,209246.187569379,428774.799450215,2026-04-08 21:32:14,I,0000,정상,2026-04-07 14:27:17,,2026-04-07,,,경기도 성남시 분당구 정자동 174-1 더샵스타파크 A동 7호,378000001120260012,3780000,000,"경기도 성남시 분당구 정자일로 121, A동 7호 (정자동, 더샵스타파크)",13560,,01,영업/정상,,,
2층스마일약국,,209246.187569379,428774.799450215,2026-04-08 21:32:14,I,0000,정상,2026-04-07 14:34:58,,2026-04-07,,,경기도 성남시 분당구 정자동 174-1 더샵스타파크,378000001120260013,3780000,000,"경기도 성남시 분당구 정자일로 121 (정자동, 더샵스타파크)",13560,,01,영업/정상,,,
한대큰사랑약국,,186763.014967958,422892.124895277,2026-04-08 21:32:12,I,0000,정상,2026-04-07 09:43:31,,2026-04-07,,,경기도 안산시 상록구 이동 716-9 한대프라자,393000001120260009,3930000,000,"경기도 안산시 상록구 광덕1로 376, 한대프라자 108, 109호 (이동)",15495,,01,영업/정상,,,
보세온누리약국,,186549.925105847,422820.866954737,2026-04-08 21:32:12,I,0000,정상,2026-04-07 10:37:55,,2026-04-07,0,,경기도 안산시 상록구 이동 714-3 데코스포텔,393000001120260010,3930000,000,"경기도 안산시 상록구 광덕1로 355, 데코스포텔 101, 102호 (이동)",15494,,01,영업/정상,,,031-415-7755
매일여는365약국,,,,2026-04-11 03:03:03,U,0000,정상,2026-04-09 10:12:35,,2026-04-07,0,,"경기도 오산시 궐동 819-6 108호, 109호",400000001120260003,4000000,000,"경기도 오산시 죽담1로 29, 108호, 109호 (궐동)",18124,,01,영업/정상,,,
김포현대약국,,166708.693536204,460397.294027501,2026-04-08 21:02:13,I,0000,정상,2026-04-07 09:02:50,,2026-04-07,,,경기도 김포시 구래동 6879-5 지오프라자,409000001120260007,4090000,000,"경기도 김포시 김포한강4로 543, 지오프라자 1층 106호 (구래동)",10071,,01,영업/정상,,,
산들약국,,203038.041887993,462564.347474152,2026-04-09 22:02:10,I,0000,정상,2026-04-08 17:07:02,,2026-04-08,,,서울특별시 도봉구 방학동 632-57,309000001120260003,3090000,000,"서울특별시 도봉구 도당로13길 17, 산들약국 1층 (방학동)",01357,,01,영업/정상,,,070-4369-0101
금강약국,,209247.599133964,444240.553764982,2026-04-09 22:02:11,I,0000,정상,2026-04-08 13:17:17,,2026-04-08,,,서울특별시 송파구 석촌동 273 102호,323000001120260010,3230000,000,"서울특별시 송파구 가락로 82, 102호 (석촌동)",05696,,01,영업/정상,,,
경인약국,,175775.117477888,449082.603023564,2026-04-09 22:32:16,I,0000,정상,2026-04-08 13:18:46,,2026-04-08,,,인천광역시 계양구 계산동 928-27 로얄프라자 107호,355000001120260003,3550000,000,"인천광역시 계양구 경명대로 1077, 로얄프라자 107호 (계산동)",21040,,01,영업/정상,,,
감일드림약국,,213626.321165845,445022.753828606,2026-04-09 21:32:11,I,0000,정상,2026-04-08 09:48:15,,2026-04-08,,,경기도 하남시 감이동 512 현대타워,404000001120260006,4040000,000,"경기도 하남시 감일백제로 169, 현대타워 115,116호 (감이동)",13003,,01,영업/정상,,,
