사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리주체,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
연세대학교 원주세브란스기독병원,종합병원,,283684.602363569,427758.377832632,2026-04-10 03:03:03,U,1,정상,80044.14,1877,221,2026-04-09 17:41:42,,1977-05-01,80044.14,,,,,,시도,197764200002000001,6530000,"강원특별자치도 원주시 일산로 20-0,  (일산동)층 (일산동)",,01,영업/정상,910,,,033-741-0114
근로복지공단 태백병원,종합병원,,378094.499102264,402124.576851536,2026-04-14 03:03:03,U,1,정상,19923.76,184,83,2026-04-13 10:26:40,,1977-05-01,19923.76,,,,,,시도,197764200002000003,6530000,"강원특별자치도 태백시 보드미길 8,  (장성동)층 (장성동)",,01,영업/정상,273,,,033-580-3114
강원대학교병원,종합병원,,265438.256393839,486072.554860519,2026-04-10 03:03:03,U,1,정상,75746.3,1040,193,2026-04-09 17:49:08,,1982-07-08,75746.3,,,,,의사,시도,198264200002000001,6530000,"강원특별자치도 춘천시 백령로 156, (효자동)층 (효자동)",,01,영업/정상,693,,,033-258-2000
강원특별자치도영월의료원,종합병원,,330027.341653817,410409.983715698,2026-04-10 03:03:03,U,1,정상,14267,150,65,2026-04-09 17:45:57,,1983-07-01,14267,,강원특별자치도 영월군 영월읍 영흥리 1072번지 0호 영월의료원 0호,,,,시도,198364200002000002,6530000,"강원특별자치도 영월군 영월읍 중앙1로 59-0, 영월의료원층 (영월의료원)",,01,영업/정상,209,,,033-370-9101
의료법인 동해동인병원,종합병원,,386215.362120528,449619.01724887,2026-04-10 03:03:03,U,1,정상,11981.9,98,87,2026-04-09 17:37:01,,1983-07-25,11981.9,,,,,,시도,198364200002000003,6530000,"강원특별자치도 동해시 하평로 26,  (평릉동)층 (평릉동)",,01,영업/정상,337,,,033-530-0114
강원특별자치도삼척의료원,종합병원,,,,2026-04-10 03:03:03,U,1,정상,27548.12,172,81,2026-04-09 17:36:51,,1983-07-01,27548.12,,강원특별자치도 삼척시 정상동  367번지 14호 강원특별자치도삼척의료원 14호,,,의사,시도,198364200002000005,6530000,"강원특별자치도 삼척시 오십천로 473-0, 강원특별자치도삼척의료원층 (정상동,강원특별자치도삼척의료원)",,01,영업/정상,237,,,033-572-1141
강원특별자치도속초의료원,종합병원,,339079.48882574,524917.714740154,2026-04-14 03:03:03,U,1,정상,17738.46,102,76,2026-04-13 08:50:22,,1983-07-01,17738.46,,,,,,시도,198364200002000007,6530000,"강원특별자치도 속초시 영랑호반길 3,  (영랑동)층 (영랑동)",,01,영업/정상,258,,,033-630-6000
근로복지공단 동해병원,종합병원,,386254.528257327,449765.816314041,2026-04-10 03:03:03,U,1,정상,17470.16,201,74,2026-04-09 17:41:35,,1983-01-25,17470.16,,,,,,시도,198364200002000008,6530000,"강원특별자치도 동해시 하평로 11,  (평릉동)층 (평릉동)",,01,영업/정상,261,,,033-530-3100
한림대학교춘천성심병원,종합병원,,264995.790705309,487048.050495199,2026-04-10 03:03:03,U,1,정상,28462.8,740,90,2026-04-09 17:46:02,,1984-12-10,28462.8,,,,,,시도,198464200002000001,6530000,"강원특별자치도 춘천시 삭주로 77, 77층 (교동)",,01,영업/정상,439,,,033-240-5000
일산참사랑요양병원,요양병원(일반요양병원),,179415.194722872,462371.641551543,2026-04-11 03:03:03,U,13,영업중,1787.41,28,48,2026-04-10 09:15:30,,2007-02-16,1787.41,410-837,"경기도 고양시 일산동구 장항2동 733번지 2호 남정시티프라자8차 3층, 4층, 6층, 8층",101 102 113 114 115 120 122 306,"내과, 신경과, 이비인후과, 피부과, 비뇨의학과, 재활의학과, 가정의학과, 한방재활의학과",요양병원(일반요양병원),시군구,PHMA220073940139021200006,3940000,"경기도 고양시 일산동구 무궁화로 31-16 (장항동, 남정시티프라자8차 3층, 4층, 6층, 8층)",10364,01,영업/정상,263,,,031-918-1070
고려대학교의과대학부속안산병원,종합병원,,184436.090447315,424158.8252823,2026-04-11 03:03:03,U,13,영업중,53829.71,1701,203,2026-04-10 08:56:13,,1986-01-01,53829.71,,,101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 122 123 124 125 402 403 404 406 407,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과",종합병원,시군구,PHMA219863930154021200001,3930000,경기도 안산시 단원구 적금로 123 (고잔동),15355,01,영업/정상,767,,,031-1577-7516
동산한방병원,한방병원,2026-04-09,186448.126290385,422858.055730807,2026-04-10 03:03:03,U,03,폐업,724.65,7,8,2026-04-09 13:23:01,,2008-12-03,724.65,,,109 301 302 303 304 305 306 307 308,"마취통증의학과, 한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",한방병원,시군구,PHMA220083930162021200003,3930000,"경기도 안산시 상록구 석호로 43, 2층 (이동, 굿모닝오피스텔)",15494,03,폐업,40,,,031-502-5975
동국대학교일산불교병원,종합병원,,182859.165827012,463795.707030926,2026-04-11 03:03:03,U,13,영업중,81344,924,193,2026-04-10 09:14:42,,2005-05-31,81344,,,101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 122 123 125 402,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 핵의학과, 응급의학과, 구강악안면외과",종합병원,시군구,PHMA220053940139021200001,3940000,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",10326,01,영업/정상,673,,,031-1577-7000
의료법인 세경의료재단 새빛안과병원,병원,,,,2026-04-11 03:03:03,U,13,영업중,4090.99,65,14,2026-04-10 09:15:59,,2005-10-19,4090.99,410-360,경기도 고양시 일산동구 백석2동 1334-3,112 109 101,"내과, 마취통증의학과, 안과",병원,시군구,PHMA220053940139021200002,3940000,경기도 고양시 일산동구 중앙로 1065 (백석동),10447,01,영업/정상,50,,,031-900-7700
