건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,주식회사 레이어엔터테인먼트(LAYER ENTERTAINMENT),,205191.945639108,448719.112936294,,,2026-04-07 22:07:33,I,13,영업중,,,,,2026-04-06 19:29:40,,2026-04-06,,서울특별시 성동구 성수동*가 ***-** 성수에이원센터,CDFF3241092026000015,3030000,,"서울특별시 성동구 뚝섬로**가길 **, 성수에이원센터 **층 ****호 (성수동*가)",04785,01,영업/정상,,,,070-4167-3055,,
,클라이맥스(Climax),2026-04-06,194547.30240389,448932.68291005,유통관련업,대중문화예술기획업,2026-04-07 03:03:03,U,15,전출,"매니지먼트, 음반제작, 공연기획",,,,2026-04-06 11:35:27,,2018-11-15,,서울특별시 마포구 용강동 ***-** 브라보빌딩,CDFF3241092018000057,3130000,,"서울특별시 마포구 대흥로*길 **, 브라보빌딩 *층 (용강동)",04162,05,제외/삭제/전출,,,,02-333-0191,,
,주식회사 식스티디그리즈,,194557.62483498,449044.348887409,,,2026-04-07 22:10:10,I,13,영업중,,,,,2026-04-06 17:45:13,,2022-01-06,,서울특별시 마포구 용강동 ***-**,CDFF3241092026000020,3130000,,"서울특별시 마포구 토정로**길 *, *층 (용강동)",04159,01,영업/정상,,,,,,
,가나에이전시,,168550.236751174,447868.866036182,,,2026-04-07 23:00:07,I,13,영업중,,,,,2026-04-06 08:59:22,,2026-04-06,,인천광역시 서구 청라동 ***-** 커낼힐스빌 ****호,CDFF3241092026000002,3560000,,"인천광역시 서구 청라커낼로 ***, 커낼힐스빌 ****호 (청라동)",22762,01,영업/정상,,,,,,
,클라이맥스(Climax),,180190.887946941,444108.418696073,,,2026-04-07 21:07:30,I,13,영업중,,,,,2026-04-06 17:36:19,,2018-11-15,,경기도 부천시 원미구 중동 ****-* 중동아크로텔,CDFF3241092026000005,3860000,,"경기도 부천시 원미구 신흥로 ***, ***호 (중동)",14580,01,영업/정상,,,,,,
,우주비컴퍼니,,207768.170265506,450449.09185176,,,2026-04-09 22:07:31,I,13,영업중,,,,,2026-04-08 08:23:29,,2026-04-08,,서울특별시 광진구 중곡동 **-**,CDFF3241092026000002,3040000,,"서울특별시 광진구 용마산로*길 *, *층 (중곡동)",04950,01,영업/정상,,,,,,
,주식회사 타이코 서울지점,,206043.965959549,444226.948191583,,,2026-04-09 22:07:35,I,13,영업중,,,,,2026-04-08 17:43:55,,2026-04-08,,서울특별시 강남구 대치동 ** 우성*차아파트,CDFF3241092026000064,3220000,,"서울특별시 강남구 영동대로 ***, 지하층 (대치동, 우성*차아파트)",06285,01,영업/정상,,,,,,
,주식회사 더블유에버,,190335.496775957,452758.642764785,유통관련업,대중문화예술기획업,2026-04-07 03:03:03,U,13,영업중,에이전시,34.39,,,2026-04-06 09:52:02,,2015-07-28,,서울특별시 마포구 상암동 **** DMC이안오피스텔,CDFF3241092025000047,3130000,,"서울특별시 마포구 월드컵북로 ***, DMC이안오피스텔 ****호 (상암동)",03908,01,영업/정상,,,,,,
,주식회사 컴퍼니소설,2026-04-07,204241.913997006,441094.345173034,유통관련업,대중문화예술기획업,2026-04-08 03:03:03,U,15,전출,매니지먼트,,,,2026-04-07 13:34:20,,2023-06-27,,서울특별시 서초구 양재동 ***-*,CDFF3241092023000031,3210000,,"서울특별시 서초구 논현로*길 **, 지하*층 (양재동)",06783,05,제외/삭제/전출,,,,,,
,주식회사 왓에버미디어컴,2026-04-08,197287.50506674,448662.153501017,유통관련업,대중문화예술기획업,2026-04-09 03:03:03,U,15,전출,연예매니지먼트,,,,2026-04-08 13:15:47,,2018-06-27,,서울특별시 용산구 원효로*가 ** 용산더프라임,CDFF3241092018000006,3020000,,"서울특별시 용산구 원효로**길 **, 주거동 ***동 비***호내 **호 (원효로*가, 용산더프라임)",04315,05,제외/삭제/전출,,,,070-4242-4534,,
