영업소면적,사업장명,사업장구분명,업태구분명,폐업일자,위탁업체명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,실험실면적,실험실반,실험실번지,실험실산,실험실지역코드,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소건물층구분,실험실도로명주소코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소시군구코드,실험실도로명주소우편번호,실험실도로명특수주소,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실통,실험실호,실험실우편번호,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,(주)영동환경이앤텍,측정대행업,,,,284028.975216268,424549.946849535,2026-04-09 03:03:03,U,N,신규,,,,,,,,,,,,,,,,,,,,,2026-04-08 15:04:48,2026-04-08,220-912,강원특별자치도 원주시 판부면 서곡리  2011번지 -6번지,653000008202300024,6530000,강원특별자치도 원주시 판부면 오성마을길 63-7,,,01,영업/정상,,,
,주식회사 대동환경,측정대행업,,,,,,2026-04-09 03:03:03,U,N,신규,,,,,,,,,,,,,,,,,,,,,2026-04-08 15:06:00,2026-04-08,,,653000008202300034,6530000,강원특별자치도 원주시 흥업면 원문로 865-5,,,01,영업/정상,,,033-744-6701
,(주)세이빈엔지니어링,측정대행업,,,,203611.969197773,444002.309741999,2026-04-14 03:03:03,U,BBBB,영업,,,729,1,1168010100,16,,0,4166644,1168010100,1,11680,06225,201호 (역삼동),,,201,,20,,2026-04-13 13:02:04,2019-04-03,,서울특별시 강남구 역삼동 729-20 2층,322000066201900001,3220000,"서울특별시 강남구 역삼로33길 16 (역삼동,2층)",,,01,영업/정상,,,02-558-0451
,케이제이환경,측정대행업,,,,200462.904342577,421790.893527276,2026-04-08 03:03:03,U,BBBB,영업,,,379,1,4111113500,27,3,0,3174005,4111113500,1,41111,16306,(송죽동),,,,,15,,2026-04-07 16:19:38,2020-03-03,,경기도 수원시 장안구 송죽동 379-15 케이제이환경,374000066202000002,3740000,"경기도 수원시 장안구 송원로 27-3, 케이제이환경 (송죽동)",16306,,01,영업/정상,,,031-303-9841
,(주)이너턴스,측정대행업,,,,196646.039662109,448864.595289127,2026-04-07 03:03:03,U,BBBB,영업,,,5,1,1117011900,16,,0,4106553,1117011900,1,11170,04312,201호 (효창동),,,201,,23,,2026-04-06 09:16:10,2020-07-16,,서울특별시 용산구 효창동 5-23 201호,302000066202000002,3020000,"서울특별시 용산구 효창원로72길 16, 201호 (효창동)",04312,,01,영업/정상,,,02-707-1545
,(주)한국보건환경연구소,측정대행업,"측정, 시험, 항해, 제어 및 기타 정밀 기기 제조업; 광학 기기 제외",,,205328.899267705,449397.07280351,2026-04-14 03:03:03,U,BBBB,영업,,,278,1,1120011500,20,,0,4109035,1120011500,1,11200,04796,"이글타운아파트형공장 403, 404호 (성수동2가)",이글타운아파트형공장,,,,20,,2026-04-13 16:16:46,2010-10-23,,서울특별시 성동구 성수동2가 278-20 이글타운아파트형공장,303000066201000001,3030000,"서울특별시 성동구 광나루로6길 20, 이글타운아파트형공장 403, 404호 (성수동2가)",04796,,01,영업/정상,,,02-453-7315
,한국인터텍테스팅서비스(주),측정대행업,,,,204521.152570283,449380.265328485,2026-04-07 03:03:03,U,BBBB,영업,,,284,1,1120011500,7,,0,4109395,1120011500,1,11200,04793,"아주디지털타워 3,4층 (성수동2가)",아주디지털타워,,,,56,,2026-04-06 10:21:34,2013-09-24,,서울특별시 성동구 성수동2가 284-56 아주디지털타워 1층,303000066201300001,3030000,"서울특별시 성동구 아차산로5길 7, 1층 (성수동2가, 아주디지털타워 )",,,01,영업/정상,,,30909500
,한국공인시험연구원(주),측정대행업,,,,196672.538007023,402687.290402848,2026-04-09 21:53:41,I,BBBB,영업,,,242,1,4159125330,84,,0,4430512,4159125330,0,41591,18624,,,,,,2,,2026-04-08 17:41:45,2026-04-08,,경기도 화성시 만세구 향남읍 길성리 242-2,553000066202600001,5530000,경기도 화성시 만세구 향남읍 발안로474번길 84,18624,,01,영업/정상,,,031-377-7772
,(주)푸른환경산업연구소,측정대행업,,,,196293.25961572,442941.188639656,2026-04-09 03:03:03,U,BBBB,영업,,,,,,9,,0,4160731,1162010100,1,11620,,(봉천동),,,,,,,2026-04-08 11:15:48,2016-03-21,,서울특별시 관악구 봉천동 1729-1 그린빌딩,320000066201600002,3200000,"서울특별시 관악구 청림3길 9, 그린빌딩 (봉천동)",08732,,01,영업/정상,,,
,혜성이앤텍 주식회사,측정대행업,,,,201285.950433738,416683.806401347,2026-04-07 03:03:03,U,BBBB,영업,,,1113,1,4111312600,11,,0,4325349,4111312600,1,41113,16589,1층 (세류동),,,,,14,,2026-04-06 15:59:52,2026-01-07,,경기도 수원시 권선구 세류동 1125-1 혜성 빌딩,374000066202600001,3740000,"경기도 수원시 권선구 세지로4번길 18, 혜성 빌딩 4층 (세류동)",16589,,01,영업/정상,,,031-223-0044
,유앤아이환경기술(주),측정대행업,,,,215489.920945354,436659.439393206,2026-04-11 03:03:03,U,BBBB,영업,,,442,1,4113310500,531,,0,2179001,4113310500,1,41133,13216,쌍용IT트윈타워 B동 610호 (상대원동),쌍용IT트윈타워 B동,,,,5,,2026-04-10 21:13:41,2019-01-03,,경기도 성남시 중원구 상대원동 442-5 쌍용IT트윈타워 B동,378000066201900001,3780000,"경기도 성남시 중원구 둔촌대로 531, 쌍용IT트윈타워 B동 610호 (상대원동)",13216,,01,영업/정상,,,031-733-0505
,(주)청룡환경,측정대행업,,,,190571.928127507,442598.144798533,2026-04-08 03:03:03,U,BBBB,영업,,,197,1,1153010200,20,,0,4148335,1153010200,1,11530,,(구로동),,,,,22,,2026-04-07 17:49:06,2010-03-23,,서울특별시 구로구 구로동 197-22 에이스테크노타워5차 209호,316000066201000003,3160000,"서울특별시 구로구 디지털로31길 20, 209호 (구로동, 에이스테크노타워5차)",,,01,영업/정상,,,02-851-3811
,(주)대명환경기술연구소,측정대행업,,,,190527.763560976,442532.319933427,2026-04-07 03:03:03,U,BBBB,영업,,,197,1,1153010200,19,,0,4148335,1153010200,1,11530,,(구로동),,,,,7,,2026-04-06 16:07:08,2010-03-24,,서울특별시 구로구 구로동 197-7 에이스타워 2차 401호,316000066201000004,3160000,"서울특별시 구로구 디지털로31길 19, 401호 (구로동)",,,01,영업/정상,,,02-854-3397
,(주)여러가지환경문제연구소,측정대행업,,,,190402.032127103,442203.137447127,2026-04-07 03:03:03,U,BBBB,영업,86,,237,1,1153010200,243,,0,3000026,1153010200,1,11530,08382,지하이시티 701~703호 (구로동),지하이시티,,,,,,2026-04-06 16:06:50,2024-02-01,,서울특별시 구로구 구로동 237 지하이시티,316000066202400001,3160000,"서울특별시 구로구 디지털로 243, 지하이시티 701~703호 (구로동)",08382,,01,영업/정상,,,02-2224-0002
,(주)산업공해연구소,측정대행업,,,,189472.091898625,441483.675018356,2026-04-10 03:03:03,U,BBBB,영업,,,345,1,1154510100,130,,0,3000026,1154510100,1,11545,08589,"남성프라자 10,11층 (가산동)",남성프라자,,,,30,,2026-04-09 11:04:39,2010-03-02,,서울특별시 금천구 가산동 345-30 남성플라자빌딩 10층,317000066201000001,3170000,"서울특별시 금천구 디지털로 130, 10층 (가산동, 남성플라자빌딩)",,,01,영업/정상,,,02-2026-1250
,(주)로터스이앤티,측정대행업,,,,190021.956927088,440609.209534256,2026-04-09 03:03:03,U,BBBB,영업,,,680,1,1154510100,2,,0,3117001,1154510100,1,11545,08591,우림라이온스밸리2차 206호 (가산동),우림라이온스밸리2차,,,,,,2026-04-08 11:02:08,2020-04-28,,서울특별시 금천구 가산동 673,317000066202000002,3170000,"서울특별시 금천구 가산디지털1로 16, SK V1 AP tower 403호 (가산동)",08591,,01,영업/정상,,,02-863-9694
