자동확산소화기대수,건물형태구분명,사업장명,조식제공여부,일산화탄소감지기대수,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,완강기대수,상세영업상태코드,상세영업상태명,피난구유도등개수,유도표지개수,소화기개수,가스누설경보기대수,객실수,주택면적,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,휴대용비상조명등대수,방면적비율,도로명주소,도로명우편번호,화장실수,화장실종류명,영업상태구분코드,영업상태명,단독경보형감지기개수,휴업시작일자,휴업종료일자,소재지전화번호,용도지역,오수처리시설용량
0,,사계절,,0,2026-04-08,152079.972789872,454870.237949074,2026-04-10 03:03:03,U,0,3,폐업,0,0,2,0,7,283.68,2026-04-09 08:47:11,2006-05-01,640,417-862,인천광역시 강화군 화도면 동막리 22번지 사계절민박,AGCV035700002019000122,3570000,0,,"인천광역시 강화군 화도면 해안남로1502번길 8, 사계절민박",23062,,,03,폐업,7,,,032-937-6937,,
1,,가족펜션 스토리파파,,1,,145898.888870816,476723.0548527,2026-04-10 03:03:03,U,0,1,정상,1,0,4,1,3,199.51,2026-04-09 17:58:50,2025-12-26,662,417-881,인천광역시 강화군 양사면 교산리 1281-8,AGCV035700002025000092,3570000,2,,인천광역시 강화군 양사면 배우개길69번길 59-8,23011,3,,01,영업/정상,4,,,,계획관리지역,8
2,,아리아나펜션 3호,,4,2026-04-13,164692.428826697,412955.522056414,2026-04-14 03:03:03,U,1,3,폐업,3,0,3,1,2,175.71,2026-04-13 11:32:58,2024-07-24,437,425-340,경기도 안산시 단원구 대부남동 3-775,AGCV039300002024000067,3930000,5,,경기도 안산시 단원구 대호1길 29-3 (대부남동),15650,,,03,폐업,5,,,,생산녹지지역,
1,,뜰하우스,,1,2026-04-06,174079.534422405,474932.279648634,2026-04-08 03:03:03,U,0,3,폐업,0,1,2,1,2,211.93,2026-04-07 08:59:44,2021-06-22,211.93,413-841,경기도 파주시 탄현면 법흥리 497-114 바늘이야기,AGCV040600002021000009,4060000,3,212,"경기도 파주시 탄현면 법흥로 100-1, 바늘이야기",10861,2,,03,폐업,3,,,,계획관리지역,
0,,casa de 215,,1,,,,2026-04-08 03:03:03,U,0,1,정상,0,0,3,1,,132.6,2026-04-07 15:54:09,2023-02-15,331,,,AGCV040700002023000001,4070000,2,,경기도 이천시 호법면 관진로 32,17396,,,01,영업/정상,5,,,,계획관리지역,
1,,랜드마크 케이,,1,,164695.535451174,413401.797659965,2026-04-14 03:03:03,U,0,1,정상,2,0,3,2,4,199.76,2026-04-13 19:27:13,2024-11-04,863,425-340,경기도 안산시 단원구 대부남동 3-421,AGCV039300002024000097,3930000,9,,경기도 안산시 단원구 부흥로 287-220 (대부남동),15650,,,01,영업/정상,8,,,,자연녹지,
0,,비자보나 펜션,,0,2026-03-17,247818.076123512,462569.852222494,2026-04-10 03:03:03,U,0,3,폐업,0,1,1,0,1,67.74,2026-04-09 13:22:23,2013-10-11,187,477-855,경기도 가평군 설악면 위곡리 15-32,AGCV041600002013000041,4160000,1,68,경기도 가평군 설악면 한서로 501-35,12463,2,,03,폐업,1,,,,계획관리지역,
0,,쿠잉풀빌라앤스파펜션,,0,2026-04-09,240257.625022168,479550.415874027,2026-04-14 03:03:03,U,0,3,폐업,0,4,4,0,4,198.91,2026-04-13 16:55:01,2015-08-24,330,477-806,경기도 가평군 가평읍 두밀리 19-3,AGCV041600002015000046,4160000,4,199,경기도 가평군 가평읍 태봉두밀로406번길 14-40,12425,,,03,폐업,4,,,,관리지역,
0,,가평펜션 뒹굴뒹굴,,0,,245354.936776184,462276.384294711,2026-04-07 03:03:03,U,0,1,정상,0,3,4,0,1,141.12,2026-04-06 10:06:25,2026-01-13,674,477-855,경기도 가평군 설악면 위곡리 868,AGCV041600002026000002,4160000,4,141,경기도 가평군 설악면 사당골길 30-14,12463,2,,01,영업/정상,4,,,,계획관리지역,8
2,,미롱터,,2,2026-04-08,238319.290757499,499944.199195544,2026-04-10 03:03:03,U,0,3,폐업,0,3,3,0,1,88.02,2026-04-09 11:29:22,2022-05-19,496,477-841,경기도 가평군 북면 적목리 564-10,AGCV041600002022000032,4160000,3,88,경기도 가평군 북면 가화로 3289-33,12400,1,,03,폐업,3,,,,보전관리지역,2
0,,올데이 펜션,,0,2026-04-09,252962.900963475,480879.418047174,2026-04-10 03:03:03,U,0,3,폐업,0,0,8,0,8,202.84,2026-04-09 17:57:09,2019-06-28,373,,강원특별자치도 춘천시 남산면 강촌리 645-6,AGCV041810002019000369,4181000,0,,강원특별자치도 춘천시 남산면 북한강변길 822,24465,,,03,폐업,12,,,,관리,8
2,,노팅힐,,1,2026-02-14,239187.910925497,444600.251890993,2026-04-08 03:03:03,U,0,3,폐업,1,0,3,0,1,92.4,2026-04-07 16:00:22,2022-10-27,342,,,AGCV041700002022000041,4170000,1,92,경기도 양평군 강하면 강남로 528-23,12575,2,,03,폐업,2,,,,계획관리지역 외4,2
0,,버선발,,0,,366798.737827623,478899.766342412,2026-04-10 03:03:03,U,0,1,정상,0,2,2,0,2,224.57,2026-04-09 17:05:54,2020-05-15,896,,강원특별자치도 강릉시 저동 64-6,AGCV042010002020000062,4201000,2,225,강원특별자치도 강릉시 저동골길 25 (저동),25461,4,,01,영업/정상,6,,,,계획관리지역,
1,,라온하제펜션,,4,2026-04-09,,,2026-04-10 03:03:03,U,0,3,폐업,0,2,1,1,1,74.16,2026-04-09 11:35:47,2020-06-09,343,,,AGCV042010002020000078,4201000,2,74,강원특별자치도 강릉시 사천면 중앙서로 92-54,25437,1,,03,폐업,3,,,,,
0,,동강솔펜션,,0,2026-04-07,333624.795448173,412358.640046425,2026-04-08 03:03:03,U,0,3,폐업,0,0,2,0,2,85.3,2026-04-07 14:31:12,2014-04-18,180.4,,강원특별자치도 영월군 영월읍 삼옥리 1577번지 7호 동강솔펜션,AGCV042710002019000015,4271000,0,,"강원특별자치도 영월군 영월읍 동강로 261, 동강솔펜션",26223,,,03,폐업,4,,,,보전관리,
0,,야루정,,0,,281172.130286562,466707.034360347,2026-04-14 03:03:03,U,0,2,휴업,0,0,2,0,4,228.88,2026-04-13 16:35:17,2014-08-21,821.38,,강원특별자치도 홍천군 홍천읍 검율리 138-2,AGCV042510002020000263,4251000,0,,강원특별자치도 홍천군 홍천읍 야루정길 95-3,25128,4,,02,휴업,5,2026-03-01,2026-04-20,,자연녹지지역,10
