축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,식육포장처리업,(주)런온푸드,,214491.002718875,483422.710841635,2026-04-11 03:03:03,U,0000,정상,2026-04-10 18:00:28,,2022-02-17,2202,,경기도 포천시 선단동 487-10 나동 3호,식육포장처리업,560000010420220002,5600000,L00,"경기도 포천시 호국로 989-1, 나동 3호 (선단동)",11161,,01,영업/정상,,,
,식육포장처리업,농업회사법인 고담 주식회사,,211637.474665383,476656.332997447,2026-04-11 03:03:03,U,0000,정상,2026-04-09 15:09:34,,2023-11-22,999,,경기도 포천시 소흘읍 무봉리 458-20,식육포장처리업,560000010420230008,5600000,L00,"경기도 포천시 소흘읍 거친봉이1길 38, 1층",11183,,01,영업/정상,,,
,식육포장처리업,우진,2026-04-08,198243.152856772,485086.282404034,2026-04-09 03:03:03,U,0002,폐업,2026-04-08 17:49:20,,2009-07-30,660,,경기도 양주시 남면 상수리 526-5,식육포장처리업,559000000420090004,5590000,000,경기도 양주시 남면 감악산로83번길 439-71,11409,,03,폐업,,,
,식육포장처리업,백푸드,,169136.663311513,444590.360175471,2026-04-11 03:03:03,U,0000,정상,2026-04-10 17:12:25,,2023-01-04,0,,인천광역시 서구 석남동 223-218,식육포장처리업,356000010420230001,3560000,L00,인천광역시 서구 건지로97번길 33-11(석남동),22772,,01,영업/정상,,,
,식육포장처리업,한길,,,,2026-04-11 03:03:03,U,0001,휴업,2026-04-10 16:53:23,,2024-09-09,0,,경기도 화성시 효행구 봉담읍 하가등리 293-6,식육포장처리업,553000010420240017,5530000,000,"경기도 화성시 효행구 봉담읍 하가등안길 19, 5동",18336,,02,휴업,2026-04-09,2029-04-08,
,식육포장처리업,주식회사 앤알글로벌,,194690.389880186,405108.841140492,2026-04-11 03:03:03,U,0000,정상,2026-04-10 09:43:18,,2024-11-06,0,,경기도 화성시 효행구 봉담읍 하가등리 213-4,식육포장처리업,553000010420240019,5530000,L00,경기도 화성시 효행구 봉담읍 하가등안길 46-78,18336,,01,영업/정상,,,
,식육포장처리업,(주)바른돈,,203577.461494572,451975.718163641,2026-04-08 03:03:03,U,0000,정상,2026-04-07 16:02:58,,2025-07-30,0,,"서울특별시 성동구 마장동 761-37 1층, 지하1층",식육포장처리업,303000010420250014,3030000,L00,서울특별시 성동구 마장로35라길 13 (마장동),04752,,01,영업/정상,,,02-6080-8384
,식육포장처리업,농가축산 주식회사,,203435.324054899,452008.31663065,2026-04-08 03:03:03,U,0000,정상,2026-04-07 16:03:49,,2014-02-26,0,,서울특별시 성동구 마장동 507-1 3층,식육포장처리업,303000010420140007,3030000,L00,서울특별시 성동구 고산자로26길 18 (마장동),04748,,01,영업/정상,,,
,식육포장처리업,한강푸드,,,,2026-04-14 03:03:03,U,0000,정상,2026-04-13 17:09:51,,2018-01-11,371,,경기도 광주시 매산동 137-7,식육포장처리업,554000010420180002,5540000,000,경기도 광주시 매산동 매자리길 183-4,12798,2022-12-20,01,영업/정상,,,
,식육포장처리업,토방,,,,2026-04-08 03:03:03,U,0000,정상,2026-04-07 17:21:40,,2007-09-03,892,,경기도 광주시 문형동 262-59,식육포장처리업,554000010420180008,5540000,000,경기도 광주시 문형동 오포로 589-18,12774,,01,영업/정상,,,
,식육포장처리업,신호미트,,203493.988257114,451837.081821492,2026-04-09 03:03:03,U,0000,정상,2026-04-08 16:45:53,,2022-03-17,0,,"서울특별시 성동구 마장동 481-56 지하1층, 지상1층",식육포장처리업,303000010420220005,3030000,000,"서울특별시 성동구 마장로35나길 7-10, 지하1층, 지상1층 (마장동)",04752,,01,영업/정상,,,
