건물지상층수,건물소유구분명,건물지하층수,사업장명,욕실수,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,발한실여부,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,임대,0,솔잎여성전용한증막,1,한증막업,2026-04-06,,,,206814.61345332,456135.882474094,2026-04-07 03:03:03,U,02,폐업,,2026-04-06 13:11:53,2008-05-28,543.10,131-853,서울특별시 중랑구 묵동 245-4 지하1층,N,,3060000-202-2008-00001,3060000,"서울특별시 중랑구 동일로 865 (묵동,지하1층)",02010,03,폐업,한증막업,Y,,,1,,1
0,,0,천지연사우나,2,공동탕업,,,,,391874.449727905,439616.20408832,2026-04-08 03:03:03,U,01,영업,,2026-04-07 09:36:45,2004-04-07,566.97,,강원특별자치도 삼척시 남양동 55-122,N,,4241000-202-2004-00001,4241000,강원특별자치도 삼척시 중앙로 174-33 (남양동),25929,01,영업/정상,공동탕업,Y,033-573-7750,0,0,0,0
0,자가,0,평창목욕탕,0,공동탕업,,,,,323451.837376166,430496.730352471,2026-04-08 03:03:03,U,01,영업,,2026-04-07 15:06:30,1964-10-28,387.04,,강원특별자치도 평창군 평창읍 하리 135-1,N,,4281000-202-1964-00001,4281000,강원특별자치도 평창군 평창읍 백오1길 44,25376,01,영업/정상,공동탕업,Y,,1,0,2,0
2,자가,1,성문안CC클럽하우스사우나,6,목욕장업 기타,,,,,273637.755611219,433018.579166202,2026-04-14 03:03:03,U,01,영업,0,2026-04-13 10:40:05,2022-07-19,"1,093.90",,강원특별자치도 원주시 지정면 월송리 산 121-53,Y,0,4191000-202-2022-00002,4191000,"강원특별자치도 원주시 지정면 월송석화로 431, 1층",26357,01,영업/정상,목욕장업 기타,N,033-730-3153,1,0,0,0
2,,0,오크밸리CC클럽하우스사우나,0,목욕장업 기타,,,,,272180.340244021,437530.697566021,2026-04-14 03:03:03,U,01,영업,,2026-04-13 10:35:53,2024-03-19,"1,108.00",,강원특별자치도 원주시 지정면 월송리 1039 오크밸리,N,,4191000-202-2024-00002,4191000,"강원특별자치도 원주시 지정면 월송석화로 950, 오크밸리 2층",26357,01,영업/정상,목욕장업 기타,N,033-730-3029,3,1,0,0
2,,0,월송리CC클럽하우스사우나,2,목욕장업 기타,,,,,272712.999971269,434963.299074854,2026-04-14 03:03:03,U,01,영업,,2026-04-13 10:43:22,2024-03-19,300.70,,강원특별자치도 원주시 지정면 월송리 995-16 퍼블릭클럽하우스,N,,4191000-202-2024-00003,4191000,"강원특별자치도 원주시 지정면 오크밸리2길 250, 퍼블릭클럽하우스 2층",26357,01,영업/정상,목욕장업 기타,N,033-730-3029,2,0,0,0
1,,4,원주시티호텔사우나,0,목욕장업 기타,,,,,,,2026-04-14 03:03:03,U,01,영업,,2026-04-13 13:15:43,2024-08-26,994.83,,강원특별자치도 원주시 지정면 신평리 170-16,Y,,4191000-202-2024-00004,4191000,"강원특별자치도 원주시 지정면 신무로 54-8, A동 1동 1,2층",26348,01,영업/정상,목욕장업 기타,N,,1,0,2,0
3,자가,2,로만바스,12,공동탕업+찜질시설서비스영업,,,,,213861.261150304,414643.533773932,2026-04-10 03:03:03,U,01,영업,,2026-04-09 09:25:18,2003-12-26,"5,548.79",449-060,경기도 용인시 처인구 삼가동 421-3 외6필지,N,,4050000-202-2003-00004,4050000,"경기도 용인시 처인구 지삼로 470 (삼가동,외6필지)",17090,01,영업/정상,공동탕업+찜질시설서비스영업,N,031-335-1118,1,1,3,1
0,임대,0,썬 사우나(sun sauna),1,공동탕업,2026-04-09,,,,201068.542900042,443409.058378452,2026-04-10 03:03:03,U,02,폐업,0,2026-04-09 11:51:36,2017-12-08,275.00,137-874,서울특별시 서초구 서초동 1573-14 지하 2층,Y,0,3210000-202-2017-00002,3210000,"서울특별시 서초구 반포대로30길 81, 웅진타워 지하 2층 (서초동)",06644,03,폐업,공동탕업,N,,0,2,0,2
0,,0,피트니스신,1,목욕장업 기타,,,,,,,2026-04-11 21:56:37,I,01,영업,0,2026-04-10 15:50:39,2026-04-10,3.30,480-100,경기도 의정부시 가능동 0,N,0,3820000-202-2026-00001,3820000,"경기도 의정부시 서부로720번길 16, 4층 404호 (가능동)",11611,01,영업/정상,목욕장업 기타,Y,,,,,
