사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,판매방식명,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
사담청,기타,2026-04-14,211568.452310676,447678.663054515,2026-04-14 03:03:03,U,03,폐업처리,2026-04-13 17:32:22,,2024-06-26,,서울특별시 강동구 성내동 ***,2025324028930200743,인터넷,3240000,"서울특별시 강동구 천호대로***길 **, *층 (성내동)",05390,,03,폐업,,,
기부앤드투게더[GIBU AND TOGETHER],의류/패션/잡화/뷰티,2026-04-13,205089.782281972,446395.391526039,2026-04-14 03:03:03,U,05,타시군구이관,2026-04-13 09:31:06,,2025-02-07,,서울특별시 강남구 삼성동 **-* 청구아파트,2025322024930202604,인터넷,3220000,"서울특별시 강남구 영동대로***길 *, ***동 ***호 (삼성동, 청구아파트)",06078,,05,제외/삭제/전출,,,
주식회사 옴니커넥트,기타,,204842.620168646,445010.636361278,2026-04-14 03:03:03,U,01,정상영업,2026-04-13 15:06:16,,2024-02-27,,서울특별시 강남구 삼성동 ***-** 제이에스타워,2024322024930201636,인터넷,3220000,"서울특별시 강남구 테헤란로**길 *, *층 브이**** 제이에스타워 (삼성동)",06158,,01,영업/정상,,,02-2088-3524
(주)아이디에프히스토리,의류/패션/잡화/뷰티,,200640.368396868,450287.641642924,2026-04-14 03:03:03,U,01,정상영업,2026-04-13 16:09:00,,2023-12-05,,서울특별시 중구 신당동 ***-** 럭스빌,2023301020530202047,인터넷,3010000,"서울특별시 중구 동호로**길 ***, 럭스빌 지하*층 (신당동)",04604,,01,영업/정상,,,
진글로비90,종합몰,2026-04-13,200949.551476636,443483.146383375,2026-04-14 03:03:03,U,03,폐업처리,2026-04-13 13:35:53,,2025-10-14,,서울특별시 서초구 서초동 ****-* 중앙빌딩,2025321015330203368,인터넷,3210000,"서울특별시 서초구 서초대로 ***, 중앙빌딩 ***호 (서초동)",06596,,03,폐업,,,
엠엑스제이(MXJ),기타,,207002.785697952,450846.436421639,2026-04-14 03:03:03,U,01,정상영업,2026-04-13 15:39:36,,2025-07-07,,서울특별시 광진구 중곡동 ***-*,2025304019030200937,"인터넷, 기타",3040000,"서울특별시 광진구 긴고랑로**길 **, 지층 (중곡동)",04918,,01,영업/정상,,,
산들리에,종합몰,,166256.323884613,460148.444048209,2026-04-14 03:03:03,U,01,정상영업,2026-04-13 17:51:37,,2025-09-30,,경기도 김포시 구래동 ****-** 디원시티 시그니처 지식산업센터,2025409051630208146,인터넷,4090000,"경기도 김포시 김포한강**로***번길 ***, 디원시티 시그니처 지식산업센터 ***호 (구래동)",10071,,01,영업/정상,,,
인포넥트,종합몰,2026-04-13,210314.39,462650.455,2026-04-14 03:03:03,U,05,타시군구이관,2026-04-13 13:16:55,,2025-08-21,,경기도 남양주시 별내동 ***-*,2025399033630201639,인터넷,3990000,"경기도 남양주시 별내*로 ***, *층 ***호 (별내동)",12097,,05,제외/삭제/전출,,,
주식회사 리앤게임즈,기타,2026-04-13,198970.787652119,442743.133288345,2026-04-14 03:03:03,U,05,타시군구이관,2026-04-13 14:59:16,,2025-04-30,,서울특별시 서초구 방배동 ***-**,2025321015330201297,기타,3210000,"서울특별시 서초구 방배중앙로 **, ***호 (방배동)",06570,,05,제외/삭제/전출,,,
마이니치,의류/패션/잡화/뷰티,,192892.410139593,433504.765378432,2026-04-14 03:03:03,U,01,정상영업,2026-04-13 10:45:16,,2024-04-01,,경기도 안양시 만안구 안양동 ***-*,2024384003330200272,인터넷,3830000,"경기도 안양시 만안구 만안로 ***, ***호 (안양동)",13991,,01,영업/정상,,,
