사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업내용,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
형제광고,2026-04-30,199736.479307639,447610.157246344,2026-05-15 03:03:03,U,40,폐업,2026-05-14 11:30:14,2008-10-02,서울특별시 용산구 보광동 ***-***,2001302007708200007,3020000,서울특별시 용산구 우사단로*길 ** (보광동),04413,,광고물제작 및 대행,03,폐업,,,02-794-4940
주식회사 드래프타입,,204390.581096285,449825.862130952,2026-05-15 03:03:03,U,20,정상,2026-05-14 16:37:52,2025-09-01,서울특별시 성동구 성수동*가 **-***,2024303014108500012,3030000,"서울특별시 성동구 상원**길 **, *층 ***호 (성수동*가)",04791,,"소프트웨어 개발 및 공급업, 시스템 소프트웨어 개발 및 공급업
광고 기획, 디자인, 제작, 판매업",01,영업/정상,,,
주식회사 대광엘에스,,185894.50946257,451570.248347401,2026-05-15 03:03:03,U,30,휴업,2026-05-14 08:09:06,2010-07-08,서울특별시 강서구 등촌동 ***,2010315012708500005,3150000,"서울특별시 강서구 강서로 ***, ***호 (등촌동, 평안빌딩)",,,"옥외광고물등 제작, 설치 및 대행업",02,휴업,2023-06-01,2036-05-31,
신장아트기획,,173099.788570862,440748.168889992,2026-05-15 22:42:04,I,20,정상,2018-11-29 09:54:57,2006-06-14,인천광역시 부평구 십정동 ***-**,2006354007808200016,3540000,인천광역시 부평구 백범로***번길 ** (십정동),,,옥외광고물 제작 및 시공,01,영업/정상,,,032-424-3370
보문사,,175277.710207869,446533.15089385,2026-05-15 22:42:04,I,20,정상,2025-05-19 09:23:09,2007-05-21,인천광역시 부평구 청천동 ***-*,2007354007808200002,3540000,"인천광역시 부평구 부평대로***번길 *, *층 ***호 (청천동)",21315,,옥외광고물 제작 및 시공,01,영업/정상,,,032-501-6345
디자인창조,,175135.327461576,443232.027214413,2026-05-15 22:42:04,I,20,정상,2015-04-01 16:20:56,2004-03-25,인천광역시 부평구 부평동 ***-**,2009354009208500001,3540000,인천광역시 부평구 경원대로 **** (부평동),,,옥외광고물 제작 및 시공,01,영업/정상,,,032-427-4200
다리기획,,173776.363213506,446378.091814322,2026-05-15 22:42:04,I,20,정상,2019-11-29 09:12:40,2003-08-27,인천광역시 부평구 청천동 **-**,2009354009208500002,3540000,인천광역시 부평구 마장로***번길 * (청천동),21304,,옥외광고물 제작 및 시공,01,영업/정상,,,
에이원광고공사,,173233.829234788,440938.174781166,2026-05-15 22:42:05,I,20,정상,2024-06-19 13:19:02,2018-03-06,인천광역시 부평구 십정동 ***-*,2009354009208500005,3540000,"인천광역시 부평구 백범로***번길 **, *층 ***호 (십정동)",21453,,옥외광고물 제작 및 시공,01,영업/정상,,,
문화광고,,175142.284400073,442657.908538876,2026-05-15 22:42:05,I,20,정상,2020-07-21 17:18:39,2020-07-21,인천광역시 부평구 부평동 ***-*,2010354009208500001,3540000,인천광역시 부평구 경인로 *** (부평동),21424,,옥외광고물 제작 및 시공,01,영업/정상,,,032-438-2589
솔로몬광고,,172761.403540309,441714.72958737,2026-05-15 22:42:05,I,20,정상,2014-11-12 18:53:51,1999-10-18,인천광역시 부평구 십정동 ***,2010354009208500006,3540000,인천광역시 부평구 경원대로 ****  (십정동),,,옥외광고물 제작 및 시공,01,영업/정상,,,032-863-9191
디자인 존,,174223.600255476,441578.35680995,2026-05-15 22:42:05,I,20,정상,2015-12-04 14:38:15,2010-12-01,인천광역시 부평구 십정동 ***-**,2010354009208500009,3540000,인천광역시 부평구 경인로 ***  (십정동),,,옥외광고물 제작,01,영업/정상,,,032-515-0088
간판스타,,172640.520223188,441810.56028638,2026-05-15 22:42:05,I,20,정상,2014-11-12 19:17:20,2010-12-23,인천광역시 부평구 십정동 ***-*,2010354009208500010,3540000,인천광역시 부평구 열우물로 ***  (십정동),,,광고물 제작,01,영업/정상,,,
하늘기획,,175285.39719887,446652.103596373,2026-05-15 22:42:06,I,20,정상,2022-01-07 15:55:30,2022-01-07,인천광역시 부평구 청천동 ***-* 부평 제이타워*차 지식산업센터,2011354009208500014,3540000,"인천광역시 부평구 부평대로 ***, 부평 제이타워*차 지식산업센터 ***호 (청천동)",21315,,"LED 제품(간판,안내판,싸인볼)  LED응용제품(etc)",01,영업/정상,,,070-8273-8850
아트솔루션,,173995.089841923,443969.173965834,2026-05-15 22:42:07,I,20,정상,2024-11-18 10:05:51,2012-07-24,인천광역시 부평구 산곡동 ***-*,2012354009208500004,3540000,"인천광역시 부평구 마장로***번길 **, *층 **,**호 (산곡동)",21380,,옥외광고업(제작.설치),01,영업/정상,,,032-202-8970
가나기업,,176366.058514252,443980.217981429,2026-05-15 22:42:08,I,20,정상,2024-07-14 16:57:42,2012-09-24,인천광역시 부평구 부평동 ***-**,2012354009208500009,3540000,인천광역시 부평구 부흥로 *** (부평동),,,간판(옥외광고),01,영업/정상,,,032-505-7331
주식회사 피알파트너,,176066.771862286,443336.473935036,2026-05-15 22:42:08,I,20,정상,2015-12-04 16:50:52,2012-11-28,인천광역시 부평구 부평동,2013354009208500001,3540000,인천광역시 부평구 장제로 ** (부평동),,,옥상광고,01,영업/정상,,,032-550-7134
조은광고기획,,172761.403540309,441714.72958737,2026-05-15 22:42:09,I,20,정상,2015-12-04 14:39:16,2013-05-21,인천광역시 부평구 십정동 *** *층,2013354009208500007,3540000,"인천광역시 부평구 경원대로 ****, *층 (십정동)",,,현수막 제조,01,영업/정상,,,
싸인종합광고,,175038.203391524,446135.088587101,2026-05-15 22:42:09,I,20,정상,2021-08-25 16:20:27,2021-08-25,인천광역시 부평구 청천동 ***-*,2013354009208500009,3540000,"인천광역시 부평구 평천로***번길 **, 부평테크노파크 ***호 (청천동)",21315,,광고물인쇄스크린,01,영업/정상,,,
애드윙,,174341.725162156,442030.52296511,2026-05-15 22:42:09,I,20,정상,2015-12-04 17:10:19,2013-08-01,인천광역시 부평구 십정동 ***-* *층,2013354009208500010,3540000,인천광역시 부평구 경인로 *** (십정동),,,"간판, 현수막제작",01,영업/정상,,,032-527-6900
씨티종합광고,,176104.092907521,444470.256925456,2026-05-15 22:42:09,I,20,정상,2025-04-14 16:47:44,2013-08-29,인천광역시 부평구 부평동 ***-* (*층),2013354009208500011,3540000,"인천광역시 부평구 장제로 ***, *층 (부평동)",,,간판 및 현수막제작,01,영업/정상,,,
퍼스트애드벤처,,172884.094574028,441325.084672874,2026-05-15 22:42:10,I,20,정상,2018-09-17 11:49:41,2018-09-17,인천광역시 부평구 십정동 ***-** 오성이큐빌,2013354009208500014,3540000,"인천광역시 부평구 백범로***번길 **-* (십정동, 오성이큐빌)",21450,,옥외광고대행업,01,영업/정상,,,
주식회사 디앤사인브라더스,,175822.304081398,445934.810716632,2026-05-15 22:42:18,I,20,정상,2023-12-07 13:11:24,2022-01-17,인천광역시 부평구 갈산동 ** 인천테크노밸리 U*센터,2022354017608500002,3540000,"인천광역시 부평구 주부토로 ***, 인천테크노밸리 U*센터 D동 ***호 (갈산동)",21330,,간판제작,01,영업/정상,,,
(주)휴리스,,172382.246561614,441380.189836308,2026-05-15 22:42:18,I,20,정상,2022-01-27 13:36:03,2003-12-23,인천광역시 부평구 십정동 ***-* 경인센타,2022354017608500003,3540000,"인천광역시 부평구 백범로***번길 **, 경인센타 *층 ***호 (십정동)",21449,,광고물제작,01,영업/정상,,,
서애디자인,,177023.258256025,442663.60498788,2026-05-15 22:42:18,I,20,정상,2022-02-24 16:45:19,2022-02-24,인천광역시 부평구 부개동 ***-*,2022354017608500005,3540000,인천광역시 부평구 경인로 **** (부개동),21419,,광고물 제작,01,영업/정상,,,
