영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,임대,세븐일레븐(SK내트럭인천점),,166691.286380498,436724.029116679,2026-05-15 03:03:03,U,01,영업,0,0,0,1,,,,0,,2026-05-14 17:35:58,2014-07-02,21.40,400-103,인천광역시 중구 신흥동*가 ** *층,N,,3490000-134-2014-00014,,3490000,"인천광역시 중구 축항대로***번길 *** (신흥동*가, *층)",22343,01,영업/정상,영업장판매,032-891-7119,,,상수도전용
,임대,8사공병,,200637.414598293,477430.603560963,2026-05-15 03:03:03,U,01,영업,0,,,,,,,,,2026-05-14 14:05:11,2011-07-27,1.00,482-833,경기도 양주시 백석읍 방성리 ***,N,,5590000-134-2011-00059,,5590000,,,01,영업/정상,영업장판매,031-855-3594,,,상수도전용
,임대,73여단(위),,196944.648530934,482120.339483973,2026-05-15 03:03:03,U,01,영업,0,,,,,,,,,2026-05-14 14:21:53,2011-07-22,1.00,482-843,경기도 양주시 광적면 덕도리 ***,N,,5590000-134-2011-00042,,5590000,"경기도 양주시 광적면 광적로 ***, 맹호마트(**여단 P.X)",11413,01,영업/정상,영업장판매,031-836-1333,,,상수도전용
,,8사수색,,203809.125646346,477194.61085311,2026-05-15 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-05-14 18:27:31,2013-12-26,,482-100,경기도 양주시 산북동 ***,N,,5590000-134-2013-00056,,5590000,경기도 양주시 평화로 ****-* (산북동),11498,01,영업/정상,영업장판매,070-4166-8220,,,
,,프라임,,201626.404482442,417670.194501205,2026-05-15 03:03:03,U,01,영업,0,,,,,,,,,2026-05-14 17:30:24,2025-12-12,,441-821,경기도 수원시 권선구 권선동 ***,N,,3740000-134-2025-00737,,3740000,"경기도 수원시 권선구 권선로 ***, *층 전체호 (권선동)",16564,01,영업/정상,영업장판매,,,,
,자가,세븐일레븐오산연수원점,,208018.967388178,406100.360015321,2026-05-15 03:03:03,U,01,영업,0,,,,,,,,,2026-05-14 15:04:59,2022-01-18,.75,447-050,경기도 오산시 부산동 **,N,,4000000-134-2022-00011,,4000000,"경기도 오산시 경기동로***번길 *, 롯데인재개발원 지하*층 일부 (부산동)",18148,01,영업/정상,영업장판매,,,,
,,J&P Trading(제이엔피 트레이딩),2026-05-14,,,2026-05-15 03:03:03,U,02,폐업,0,,,,,,,,,2026-05-14 12:24:22,2015-07-09,,138-888,서울특별시 송파구 문정동 ***-*,N,,3230000-134-2015-00151,,3230000,"서울특별시 송파구 법원로*길 **, C동 ***호 (문정동, 에이치비지니스파크)",05836,03,폐업,영업장판매,070-4814-1389,,,
,자가,주식회사 쇼윈도부부,,210903.759856826,460069.251203247,2026-05-15 03:03:03,U,01,영업,1.2,,,,,,,,,2026-05-14 11:46:58,2023-03-23,3.30,472-501,경기도 남양주시 별내동 *** 힐스테이트 별내역 ***동 ****호,N,,3990000-134-2023-00203,,3990000,"경기도 남양주시 별내*로 *, 힐스테이트 별내역 ***동 ****호 (별내동)",12113,01,영업/정상,전자상거래(통신판매업),,,,
,임대,세븐일레븐오산궐동드림점,,204724.457532906,406215.365222222,2026-05-15 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-05-14 10:40:45,2020-09-22,.00,447-140,경기도 오산시 궐동 ***-* 드라마타워 ***호,N,,4000000-134-2020-00051,,4000000,"경기도 오산시 대호로 **, 드라마타워 ***호 (궐동)",18123,01,영업/정상,영업장판매,031-372-6837,,,
,자가,(주)디앤투웬티랩,,170994.854084375,448859.418461275,2026-05-15 03:03:03,U,01,영업,69.24,,,,,,,,,2026-05-14 10:00:19,2025-11-18,84.93,404-833,인천광역시 서구 심곡동 ***-*,N,,3560000-134-2025-00415,,3560000,"인천광역시 서구 승학로 ***, *층 (심곡동)",22730,01,영업/정상,방문판매,,,,
,자가,에스티와이글로벌,2026-05-14,212432.197818938,455843.387167702,2026-05-15 03:03:03,U,02,폐업,23,,,,,,,,,2026-05-14 15:45:13,2022-07-11,23.00,471-740,경기도 구리시 인창동 ***-* 세신인창종합상가 ***호,N,,3980000-134-2022-00087,,3980000,"경기도 구리시 건원대로**번길 **, 세신인창종합상가 ***호 (인창동)",11921,03,폐업,다단계판매,,,,
,,티씨엔코리아 주식회사,,200182.534630661,451347.193947525,2026-05-15 03:03:03,U,01,영업,0,,,,,,,,,2026-05-14 16:33:48,2020-03-24,,100-400,서울특별시 중구 쌍림동 ***-* 한림빌딩,N,,3010000-134-2020-00039,,3010000,"서울특별시 중구 동호로 ***, 한림빌딩 **층 ****호,****호,****호 (쌍림동)",04560,01,영업/정상,전자상거래(통신판매업),,,,
,자가,케이엠무역,2026-05-14,211458.648093395,450316.255472825,2026-05-15 03:03:03,U,02,폐업,0,,,,,,,,,2026-05-14 17:53:33,2022-08-30,.00,134-855,서울특별시 강동구 암사동 ***-** 정산아파트,N,,3240000-134-2022-00485,,3240000,"서울특별시 강동구 고덕로 **, *층 ***-**호 (암사동, 정산아파트)",05238,03,폐업,전자상거래(통신판매업),,,,
