사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
***,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1997-03-05,3,직권취소,2026-05-14 09:08:54,2009-10-12,1997-03-05,,강원특별자치도 강릉시 강동면 안인리 174-3호,1997420000005600112,4201000,,,04,취소/말소/만료/정지/중지,,,033-644-6890
***,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1995-04-01,3,직권취소,2026-05-14 09:17:49,2009-10-12,1995-04-01,,강원특별자치도 강릉시 성산면 송암리 127호,1995420000005600277,4201000,,,04,취소/말소/만료/정지/중지,,,033-644-1088
파스텔암사점,,212077.60759176,449777.650216735,2009년11월법개정전자료,2026-05-15 03:03:03,U,2006-07-24,0,정상영업,2026-05-14 09:46:44,,2006-07-24,,서울특별시 강동구 암사동 476-20,2006324011905600085,3240000,서울특별시 강동구 구천면로 349(암사동),05259,01,영업/정상,,,
사천상점,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1998-11-24,3,직권취소,2026-05-14 09:06:17,2009-10-12,1998-11-24,,강원특별자치도 강릉시 강동면 안인진리 66호,1998420000005600188,4201000,,,04,취소/말소/만료/정지/중지,,,
***,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1998-11-16,3,직권취소,2026-05-14 09:01:37,2009-10-12,1998-11-16,,강원특별자치도 강릉시 홍제동 992-1호 시외터미널 1층 7호,1998420000005600214,4201000,,,04,취소/말소/만료/정지/중지,,,
강부슈퍼,,368207.824665536,475480.477870768,2009년11월법개정전자료,2026-05-15 03:03:03,U,1995-04-01,3,직권취소,2026-05-14 09:44:23,2009-10-12,1995-04-01,,강원특별자치도 강릉시 포남동 1149-1호,1995420000005600160,4201000,,,04,취소/말소/만료/정지/중지,,,033-643-8958
워터에너지,2026-05-14,175482.036925311,424886.004191604,제7조의3제3항에따른경우,2026-05-15 03:03:03,U,2025-03-06,2,폐업처리,2026-05-14 14:19:11,,2025-03-06,,경기도 시흥시 정왕동 1374-5 주식회사동안산기 3마206,2025401031705600013,4010000,"경기도 시흥시 경기과기대로 95, 주식회사동안산기 3마206 (정왕동)",15112,03,폐업,,,
***,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1998-04-25,3,직권취소,2026-05-14 09:07:47,2008-03-17,1998-04-25,,강원특별자치도 강릉시 연곡면 영진리 305-19호,1998420000005600145,4201000,,,04,취소/말소/만료/정지/중지,,,
지에스(GS)25 고등호반써밋점,,208396.090658305,436216.29733614,제7조의3제2항에따른경우,2026-05-15 03:03:03,U,2023-04-06,0,정상영업,2026-05-14 17:54:08,,2023-04-06,,경기도 성남시 수정구 고등동 594-7,2023379003405600012,3780000,"경기도 성남시 수정구 청계산로1길 11, 1층 (고등동)",13105,01,영업/정상,,,
연안낚시,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1995-04-01,3,직권취소,2026-05-14 09:24:45,2009-10-12,1995-04-01,,강원특별자치도 강릉시 교동 941-23호,1995420000005600253,4201000,,,04,취소/말소/만료/정지/중지,,,033-647-3086
관동인의 휴게실,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1995-04-01,3,직권취소,2026-05-14 09:33:48,2009-10-12,1995-04-01,,강원특별자치도 강릉시 내곡동 290-9호,1995420000005600234,4201000,,,04,취소/말소/만료/정지/중지,,,033-646-6474
금강미니슈퍼,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1997-11-25,3,직권취소,2026-05-14 09:16:12,2009-10-12,1997-11-25,,강원특별자치도 강릉시 연곡면 방내리 31호,1997420000005600073,4201000,,,04,취소/말소/만료/정지/중지,,,
일당 미니슈퍼,,368245.481025315,475801.147843804,2009년11월법개정전자료,2026-05-15 03:03:03,U,1995-04-01,3,직권취소,2026-05-14 09:43:01,2009-10-12,1995-04-01,,강원특별자치도 강릉시 포남동 1173호,1995420000005600162,4201000,강원특별자치도 강릉시 성덕포남로188번길 20 (포남동),,04,취소/말소/만료/정지/중지,,,033-647-5508
***,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1995-04-01,3,직권취소,2026-05-14 09:45:06,2009-10-12,1995-04-01,,강원특별자치도 강릉시 주문진읍 주문리 호,1995420000005600029,4201000,,,04,취소/말소/만료/정지/중지,,,033-662-4757
승민편의점,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1998-02-03,3,직권취소,2026-05-14 09:01:21,2009-10-12,1998-02-03,,강원특별자치도 강릉시 홍제동 125-21호,1998420000005600216,4201000,,,04,취소/말소/만료/정지/중지,,,
***,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1998-11-16,3,직권취소,2026-05-14 09:04:27,2009-10-12,1998-11-16,,강원특별자치도 강릉시 옥계면 현내리 354-4호,1998420000005600197,4201000,,,04,취소/말소/만료/정지/중지,,,
보안대,,,,2009년11월법개정전자료,2026-05-15 03:03:03,U,1995-04-01,3,직권취소,2026-05-14 09:37:27,2009-10-12,1995-04-01,,강원특별자치도 강릉시 포남동 911호,1995420000005600170,4201000,,,04,취소/말소/만료/정지/중지,,,033-648-0113
