사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
씨유 가락중앙점,,210639.862165409,444038.428158165,2026-05-15 03:03:03,U,13,영업중,2026-05-14 09:41:36,,2022-07-19,,서울특별시 송파구 가락동 **-**,PHMG120223230034047000372,3230000,"서울특별시 송파구 오금로**길 **, *층 ***호 (가락동)",05706,01,영업/정상,,,02-407-9106,
오성메디칼,,211047.581577928,460377.706809703,2026-05-15 03:03:03,U,13,영업중,2026-05-14 15:56:43,,2025-02-26,,경기도 남양주시 별내동 ****-*,PHMG120253990310047000017,3990000,"경기도 남양주시 별내중앙로 **, *층 ***-L**호 (별내동)",12113,01,영업/정상,,,,
주식회사 라온메디,,211458.648093395,450316.255472825,2026-05-15 03:03:03,U,13,영업중,2026-05-14 15:07:09,,2023-04-25,,서울특별시 강동구 암사동 ***-** 정산아파트,PHMG120233240033047000055,3240000,"서울특별시 강동구 고덕로 **, *층 ***-**호 (암사동, 정산아파트)",05238,01,영업/정상,,,070-4264-8299,
GS25 신봉센트레빌점,2026-05-13,205850.5595433,425445.696188721,2026-05-15 03:03:03,U,03,폐업,2026-05-14 11:08:02,,2026-05-13,,경기도 용인시 수지구 신봉동 *** 신봉마을 동부센트레빌 *단지,PHMG120244050149047000043,4050000,"경기도 용인시 수지구 신봉*로 ***, 상가동 ***, ***, ***호 (신봉동, 신봉마을 동부센트레빌 *단지)",16811,03,폐업,,,,
하나엔지니어링코리아(주),,208394.416382167,448165.279999905,2026-05-15 03:03:03,U,15,전출,2026-05-14 18:39:02,,2020-03-03,,서울특별시 광진구 구의동 ***-* 테크노-마트**,PHMG120233040033047000113,3040000,"서울특별시 광진구 광나루로**길 **, 테크노-마트** 판매동 *층 비구역 **~**호 (구의동)",05116,05,제외/삭제/전출,,,02-312-1371,
홍익인간부동산중개사무소,2026-05-13,193314.124814503,450682.987554634,2026-05-15 03:03:03,U,03,폐업,2026-05-14 09:19:18,,2025-05-28,,서울특별시 마포구 동교동 ***-** 효성홍익인간오피스텔,PHMG120253130033047000044,3130000,"서울특별시 마포구 양화로 ***, 효성홍익인간오피스텔 ***호 (동교동)",03994,03,폐업,,,,
제이앤티메디칼(J&T Medical),,210726.755874418,447381.53172133,2026-05-15 03:03:03,U,13,영업중,2026-05-14 15:19:47,,2021-06-15,,서울특별시 강동구 성내동 ***-** 장성글로벌빌딩,PHMG120213240033047000123,3240000,"서울특별시 강동구 성내로*길 **, 장성글로벌빌딩 *층 ****호 (성내동)",05398,01,영업/정상,,,02-6959-4373,
(주)제이더블유커뮤니케이션스,2026-04-05,199096.873608411,451430.950357021,2026-05-15 03:03:03,U,03,폐업,2026-05-14 15:02:31,,2023-03-20,,서울특별시 중구 저동*가 *-*,PHMG120233010033047000029,3010000,"서울특별시 중구 을지로**길 **, *층 알****호 (저동*가)",04550,03,폐업,,,,
메디넥스,,175908.078280783,446410.65035303,2026-05-15 03:03:03,U,13,영업중,2026-05-14 14:10:23,,2025-03-10,,인천광역시 부평구 갈산동 **-* *층 일부(***호)호,PHMG120253540021047000014,3540000,"인천광역시 부평구 주부토로***번길 *, *층 일부(***호)호 (갈산동)",21317,01,영업/정상,,,,28
지메디칼,2026-05-14,192369.358550109,442037.017489517,2026-05-15 03:03:03,U,03,폐업,2026-05-14 15:37:29,,2016-02-15,,서울특별시 관악구 신림동 ****번지 *호,PHMG120163200033047000012,3200000,"서울특별시 관악구 난곡로 ***, *층 *호 (신림동)",08771,03,폐업,,,,
지에스 더 프레시 송파가락점,,211693.932828168,443503.427857478,2026-05-15 03:03:03,U,13,영업중,2026-05-14 09:59:00,,2021-05-04,,서울특별시 송파구 가락동 ***-**,PHMG120213230034047000101,3230000,"서울특별시 송파구 오금로**길 **, *층 (가락동)",05785,01,영업/정상,,,02-401-4600,
