사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
대신한화밸류애드제1호일반사모부동산투자회사,7358703841,5종,손해 보험업,,199682.108862983,452278.243885668,2026-05-15 03:03:03,U,11,영업,150,10,대기배출업소관리,2026-05-14 14:38:52,2018-05-28,,서울특별시 종로구 인의동 112-1 하나손해보험빌딩,300000021201800003,3000000,,150,,"서울특별시 종로구 창경궁로 117, 하나손해보험빌딩 (인의동)",03137,,01,영업/정상,,,02-2142-8384,손해 보험업
엘지이노텍(주),1058174316,4종,,,185102.925888382,451165.579794021,2026-05-15 03:03:03,U,11,영업,,,대기배출업소관리,2026-05-14 14:08:53,2017-11-16,,"서울특별시 강서구 마곡동 770-1 E1,E3",315000021201700009,3150000,,,,"서울특별시 강서구 마곡중앙10로 10, E1,E3호 (마곡동)",07796,,01,영업/정상,,,02-6987-3080,
공덕경우개발(주),2148866268,4종,부동산 임대업,,195616.580723896,448973.867131637,2026-05-15 03:03:03,U,11,영업,365,12,대기배출업소관리,2026-05-14 15:49:25,2017-04-13,,서울특별시 마포구 도화동 25-13 효성해링턴 스퀘어,313000021201700001,3130000,,365,,"서울특별시 마포구 마포대로 92, 효성해링턴 스퀘어 (도화동)",04168,,01,영업/정상,,,02-3274-3712,부동산 임대업
대림3유수지 종합체육시설,1078301977,4종,지방행정 집행기관,,190630.345629051,444661.794725256,2026-05-15 03:03:03,U,11,영업,,,대기배출업소관리,2026-05-14 15:38:37,2025-10-31,,서울특별시 영등포구 대림동 611,318000021202500006,3180000,,330,,서울특별시 영등포구 도신로 1 (대림동),07376,,01,영업/정상,,,02-2670-3696,지방행정 집행기관
역삼청소년센터,2208300214,5종,교육 서비스업,,203548.538951818,443531.31262457,2026-05-15 03:03:03,U,11,영업,180,10,대기배출업소관리,2026-05-14 09:16:32,2016-02-02,,서울특별시 강남구 역삼동 776-8,322000021201600009,3220000,,180,,서울특별시 강남구 논현로64길 7 (역삼동),,,01,영업/정상,,,02-550-3613,교육 서비스업
대일CST,1300170105,5종,기타 가정용 전기기기 제조업,,179635.152060389,446731.984546025,2026-05-15 03:03:03,U,11,영업,280,24,대기배출업소관리,2026-05-14 15:22:20,2010-09-15,,경기도 부천시 오정구 삼정동 225-1,386000021201000040,3860000,콘덴서 커버,280,,경기도 부천시 오정구 신흥로437번길 94 (삼정동),,,01,영업/정상,,,032-684-6199,기타 가정용 전기기기 제조업
(주)메카로,1318159560,4종,그외 기타 분류안된 화학제품 제조업,,206970.014835483,393077.82103646,2026-05-15 03:03:03,U,11,영업,365,24,대기배출업소관리,2026-05-14 16:13:06,2019-12-23,,경기도 평택시 모곡동 437-11,391000021201900046,3910000,히터블럭,365,,경기도 평택시 산단로121번길 89 (모곡동),17745,,01,영업/정상,,,031-646-4400,그외 기타 분류안된 화학제품 제조업
(주)스마트코리아피씨비 제2공장,1408146360,4종,인쇄회로판 제조업,,179025.911905386,424687.104308424,2026-05-15 03:03:03,U,11,영업,,,대기배출업소관리,2026-05-14 11:33:16,2016-12-07,,경기도 안산시 단원구 성곡동 646-11,393000021201600282,3930000,FCB(연성인쇄회로기판),,,경기도 안산시 단원구 만해로229번길 19 (성곡동),,,01,영업/정상,,,031-492-7844,인쇄회로판 제조업
(주)스마트코리아피씨비,1408146360,4종,인쇄회로기판 제조업,,179071.815166988,424710.431145524,2026-05-15 03:03:03,U,11,영업,,,대기배출업소관리,2026-05-14 11:32:10,2017-02-01,,경기도 안산시 단원구 성곡동 646-4,393000021201700033,3930000,인쇄회로기판,,,경기도 안산시 단원구 만해로229번길 21 (성곡동),,,01,영업/정상,,,031-431-0504,인쇄회로기판 제조업
(주)피오씨,,5종,,,178641.288132261,423402.651306051,2026-05-15 03:03:03,U,11,영업,,,대기배출업소관리,2026-05-14 10:28:59,2016-03-25,,경기도 안산시 단원구 성곡동 630-5,393000021201600008,3930000,,,,경기도 안산시 단원구 해봉로 101 (성곡동),15423,,01,영업/정상,,,,
