자동환기여부,건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,편의시설여부,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상구여부,비상계단여부,기타내역2,기존게임업외업종명,제작취급품목내용,시설면적,소방시설여부,지상층수,청소년실수,청소년실여부,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,조명시설유무,조명시설조도,관리번호,개방자치단체코드,통로너비,제공게임물명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,방음시설여부,음향시설여부,특수조명여부,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총게임기수,총층수,지하층수,비디오재생기명
,근린생활시설,TNT ZONE PC방,2015-09-08,192166.504347874,456841.083566889,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,265.54,,2,,,,2015-09-08 10:00:30,,2008-05-28,122-814,서울특별시 은평구 갈현동 498-4 2층,,,CDFF2241022008000071,3110000,,,일반주거지역,"서울특별시 은평구 서오릉로 196  (갈현동,2층)",,03,폐업,,,,학교정화(상대),,,,,3,1,
,근린생활시설,피씨&PC,2008-10-13,192496.449574315,454034.625120471,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,140.07,,,,,,2008-10-14 09:38:28,,2008-05-28,122-924,서울특별시 은평구 응암동 599-39 2층,,,CDFF2241022008000072,3110000,,,일반주거지역,"서울특별시 은평구 응암로11길 10  (응암동,2층)",,03,폐업,,,,기타,,,,,,,
,근린생활시설,인터붐,2008-10-30,194023.15094564,457026.045013541,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,142.95,,4,,,,2009-08-04 10:33:30,,2008-05-30,,서울특별시 은평구 불광동 8-275 2층,,,CDFF2241022008000073,3110000,,,일반주거지역,"서울특별시 은평구 불광로 98  (불광동,2층)",,03,폐업,,,,기타,,,,,5,1,
,,파워PC방,2010-03-24,193374.599635896,456254.627148879,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,99.5,,,,,,2010-03-24 16:54:16,,2008-06-04,,서울특별시 은평구 대조동 38-2 3층,,,CDFF2241022008000074,3110000,,,,"서울특별시 은평구 진흥로 145  (대조동,3층)",,03,폐업,,,,,,,,,,,
,,온라인 PC게임,2009-04-21,192775.441248036,457293.41165271,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,107.53,,5,,,,2009-04-22 10:08:36,,2008-06-17,122-959,서울특별시 은평구 갈현동 456-24 3층,,,CDFF2241022008000079,3110000,,,,"서울특별시 은평구 연서로27길 8-6  (갈현동,3층)",,03,폐업,,,,학교정화(상대),,,,,6,1,
,근린생활시설,제노PC방,2021-10-25,192223.209383039,454032.895006566,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,181.8,,3,,,,2021-10-25 17:13:05,,2008-06-20,,서울특별시 은평구 증산동 159-1 3층,,,CDFF2241022008000080,3110000,,전체이용가,일반주거지역,"서울특별시 은평구 증산로 361, 3층 (증산동)",03497,03,폐업,,,,주택가주변,,,,,4,1,
,,라이코스 PC,2009-05-01,192269.597949979,456846.810108031,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,146.65,,4,,,,2009-05-11 19:27:49,,2008-06-23,,서울특별시 은평구 갈현동 490-11 2층,,,CDFF2241022008000082,3110000,,,,"서울특별시 은평구 연서로17길 40  (갈현동,2층)",,03,폐업,,,,,,,,,4,,
,,맥스피드 PC방,2021-08-20,192791.012986875,457234.787719721,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,204.13,,5,,,,2021-08-20 14:29:59,,2008-06-23,,서울특별시 은평구 갈현동 460-5 지층,,,CDFF2241022008000083,3110000,,,,"서울특별시 은평구 연서로 211, 지층 (갈현동)",03333,03,폐업,,,,,,,,,7,2,
,,사이버파크 연신내,2009-07-20,193109.419843332,457278.802885165,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,219.74,,10,,,,2009-07-22 15:19:19,,2008-06-23,,서울특별시 은평구 불광동 304-2 4층,,,CDFF2241022008000084,3110000,,,,"서울특별시 은평구 통일로 830  (불광동,4층)",,03,폐업,,,,,,,,,12,2,
,,공룡코딱지 PC방,2009-12-24,193814.07118236,455415.979099363,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,120.96,,3,,,,2009-12-28 10:09:03,,2008-06-27,,서울특별시 은평구 응암동 74-14 지층,,,CDFF2241022008000085,3110000,,,,"서울특별시 은평구 은평로 208  (응암동,지층)",,03,폐업,,,,,,,02-355-0525,,4,1,
,근린생활시설,블랙Q PC방,2009-07-09,193482.909063502,456271.248152724,유통관련업,인터넷컴퓨터게임시설제공업,,2026-05-17 22:34:28,I,03,폐업,,,,,,130.5,,,,,,2009-07-09 16:39:27,,2008-06-27,,서울특별시 은평구 녹번동 131-158 신명빌딩 3층,,,CDFF2241022008000086,3110000,,,,"서울특별시 은평구 진흥로 156  (녹번동,신명빌딩 3층)",,03,폐업,,,,,,,,,,,
