번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),실험실면적,사업장구분명,영업소면적,위탁업체명,실험실지역코드,실험실우편번호,실험실산,실험실번지,실험실호,실험실통,실험실반,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실도로명주소시군구코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소코드,실험실도로명특수주소,실험실도로명주소건물층구분,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소우편번호,
1,환경측정대행업,09_30_17_P,3930000,393000066201800001,2018-12-19,,01,영업/정상,BBBB,영업,,,,,0314035833,,,경기도 안산시 단원구 원시동 777-6 반월공단종합상가,"경기도 안산시 단원구 동산로 60, 반월공단종합상가 401,419,420호 (원시동)",15434,다운환경(주),2026-03-27 17:11:27,U,2026-03-29 02:40:00,,181941.56702977,423458.285743027,0,측정대행업,0,,4127310500,,1,777,6,,,반월공단종합상가,,,41273,4127310500,1,3191020,반월공단종합상가 419~420호 (원시동),0,60,,15434,
2,환경측정대행업,09_30_17_P,3150000,315000066201500002,2015-02-09,,01,영업/정상,BBBB,영업,,,,,6210-1400,,,서울특별시 강서구 가양동 1488-6,서울특별시 강서구 허준로 202-26 (가양동),157-810,재단법인환경보건기술연구원,2026-03-27 17:15:37,U,2026-03-29 02:40:00,,187561.265938558,450958.580192166,490,측정대행업,0,,1150010400,,1,1488,6,,,,,,11500,1150010400,1,3115013,(가양동),0,202,26,,
3,환경측정대행업,09_30_17_P,3930000,393000066201900015,2019-01-04,,01,영업/정상,BBBB,영업,,,,,4314850,,,경기도 안산시 단원구 성곡동 802,경기도 안산시 단원구 엠티브이10로10번길 5 (성곡동),15656,(주)하이텍환경,2026-03-27 17:51:51,U,2026-03-29 02:40:00,,177030.533761654,422661.039947603,0,측정대행업,0,,4127310400,,1,802,,,,,,,41273,4127310400,1,4373505,"1,2층 (성곡동)",0,5,,15656,
4,환경측정대행업,09_30_17_P,3930000,393000066201900016,2019-01-04,,01,영업/정상,BBBB,영업,,,,,4314850,,,경기도 안산시 단원구 성곡동 802,경기도 안산시 단원구 엠티브이10로10번길 5 (성곡동),15656,(주)하이텍환경,2026-03-27 17:51:34,U,2026-03-29 02:40:00,,177030.533761654,422661.039947603,0,측정대행업,0,,4127310400,,1,802,,,,,,,41273,4127310400,1,4373505,"1,2층 (성곡동)",0,5,,15656,
5,환경측정대행업,09_30_17_P,3930000,393000066201900018,2019-01-04,,01,영업/정상,BBBB,영업,,,,,4314850,,,경기도 안산시 단원구 성곡동 802,경기도 안산시 단원구 엠티브이10로10번길 5 (성곡동),15656,(주)하이텍환경,2026-03-27 17:51:43,U,2026-03-29 02:40:00,,177030.533761654,422661.039947603,0,측정대행업,0,,4127310400,,1,802,,,,,,,41273,4127310400,1,4373505,"1,2층 (성곡동)",0,5,,15656,
6,환경측정대행업,09_30_17_P,3930000,393000066201900034,2019-05-08,,01,영업/정상,BBBB,영업,,,,,031-407-2084,,,경기도 안산시 상록구 사동 1639-20,경기도 안산시 상록구 해양3로 15 (사동),15596,(주)한국EHS연구소,2026-03-27 17:11:11,U,2026-03-29 02:40:00,,184702.325981498,420438.075575488,120,측정대행업,0,,4127110300,,1,1639,20,,,,,,41271,4127110300,1,3352758,(사동),0,15,,15596,
8,환경측정대행업,09_30_17_P,3930000,393000066201900036,2019-12-02,,01,영업/정상,BBBB,영업,,,,,,,,경기도 안산시 단원구 성곡동 676-13 (주)해남화학,경기도 안산시 단원구 진흥로38번길 33 (주)해남화학 204호 (성곡동),,(주)에이치엔,2026-03-27 17:11:34,U,2026-03-29 02:40:00,,177026.97158168,423275.709559123,100,측정대행업,0,,4127310400,,1,676,13,,,(주)해남화학,,,41273,4127310400,1,4373393,(주)해남화학 (성곡동),0,33,,15618,
9,환경측정대행업,09_30_17_P,4010000,401000066202300001,2023-06-12,,01,영업/정상,BBBB,영업,,,,,0314931351,,,경기도 시흥시 광석동 481,"경기도 시흥시 시흥대로 500, 8층 4호 (광석동)",14991,(주)우원이엔지,2026-03-27 15:22:51,U,2026-03-29 02:40:00,,182710.478373604,431458.530005125,50,측정대행업,0,,4139011800,,1,863,,,,,,,41390,4139011800,1,3351831,301호 (능곡동),0,55,,15121,
11,환경측정대행업,09_30_17_P,3990000,399000066202000007,2020-05-26,,01,영업/정상,BBBB,영업,,,,,0318226666,,,경기도 남양주시 다산동 6060-1,"경기도 남양주시 다산중앙로123번길 22-16, 샤르망프라자 7층 704호 (다산동)",12248,에코환경,2026-03-26 19:33:34,U,2026-03-29 02:40:00,,213287.69508987,458013.931086065,0,측정대행업,0,,4136011200,,1,6060,1,,,,,,41360,4136011200,1,3351600,7층 704호 (다산동),0,22,16,12248,
12,환경측정대행업,09_30_17_P,3060000,306000066202100002,2021-11-08,,01,영업/정상,BBBB,영업,,,,,1661-5451,,,경기도 남양주시 화도읍 마석우리 258-10,"경기도 남양주시 화도읍 경춘로 1995, 2층",12180,(주)엔플러스이,2026-03-27 09:06:16,U,2026-03-29 02:40:00,,227284.107082183,461040.739754909,40,측정대행업,0,,1126010600,,1,821,2,,,,,,11260,1126010600,1,3106013,A동 3층 12호 (신내동),0,111,,02262,
